strain	isotype	lat	long	geo	elevation	ASR	annual_rainfall	annual_temperature
BRC20391	BRC20391	25.016672	121.557423	Taiwan	55.3079566955566	1535.31616210938	2906.62036132812	23.2866058349609
BRC20400	BRC20400	25.016672	121.557423	Taiwan	55.3079566955566	1535.31616210938	2906.62036132812	23.2866058349609
BRC20464	BRC20464	24.822726	121.735653	Taiwan	265.500854492188	1584.5234375	3722.06616210938	22.5302581787109
BRC20548	BRC20548	22.753556	120.731306	Taiwan	428.846008300781	1377.6884765625	1904.80541992188	22.6309814453125
NIC1541	NIC1541	25.05792	121.77076	Taiwan	447.164886474609	1605.66394042969	3932.41552734375	21.4266681671143
NIC1542	NIC1542	25.05704	121.77109	Taiwan	447.164886474609	1605.66394042969	3932.41552734375	21.4266681671143
NIC1543	NIC1543	25.05704	121.77109	Taiwan	447.164886474609	1605.66394042969	3932.41552734375	21.4266681671143
NIC1544	NIC1544	25.05343	121.77265	Taiwan	328.326202392578	1576.29187011719	3500.4453125	21.9222602844238
NIC1545	NIC1545	25.05343	121.77265	Taiwan	328.326202392578	1576.29187011719	3500.4453125	21.9222602844238
NIC1546	NIC1546	25.05343	121.77265	Taiwan	328.326202392578	1576.29187011719	3500.4453125	21.9222602844238
NIC1547	NIC1547	25.05343	121.77265	Taiwan	328.326202392578	1576.29187011719	3500.4453125	21.9222602844238
NIC1548	NIC1548	25.05343	121.77265	Taiwan	328.326202392578	1576.29187011719	3500.4453125	21.9222602844238
NIC1549	NIC1549	25.05343	121.77265	Taiwan	328.326202392578	1576.29187011719	3500.4453125	21.9222602844238
NIC1550	NIC1550	25.05343	121.77265	Taiwan	328.326202392578	1576.29187011719	3500.4453125	21.9222602844238
NIC1551	NIC1551	25.02212	121.73275	Taiwan	268.304870605469	1531.58483886719	3453.77612304688	22.0787448883057
NIC1553	NIC1553	25.02212	121.73275	Taiwan	268.304870605469	1531.58483886719	3453.77612304688	22.0787448883057
NIC1555	NIC1555	25.02132	121.73295	Taiwan	268.304870605469	1531.58483886719	3453.77612304688	22.0787448883057
NIC1556	NIC1556	25.02132	121.73295	Taiwan	268.304870605469	1531.58483886719	3453.77612304688	22.0787448883057
NIC1557	NIC1557	25.01713	121.73247	Taiwan	420.936706542969	1505.18835449219	3706.09692382812	21.5338687896729
NIC1559	NIC1559	25.01519	121.73311	Taiwan	420.936706542969	1505.18835449219	3706.09692382812	21.5338687896729
NIC1560	NIC1560	25.01519	121.73311	Taiwan	420.936706542969	1505.18835449219	3706.09692382812	21.5338687896729
