Region,Outcrossing_Rate,SD
C_tropicalis_All,0.000895519266492784,0.000945986704789137
C_tropicalis_Africa,0.000779598465797449,0.000531898137310367
C_tropicalis_Australia,0.0881613716663452,1.40460943306319
C_tropicalis_Caribbean,0.000575275435849676,0.00128682293119765
C_tropicalis_Central_America,0.00549034258970948,0.01183216458643
C_tropicalis_Hawaii,0.000507097304804915,0.000318009873608166
C_tropicalis_South_America,0.00601726405923841,0.0194588050703199
C_tropicalis_Taiwan,0.00101202045863147,0.000874464849848828
C_elegans_All,0.000761035547014899,0.000646898642227361
C_elegans_Hawaii,0.000843808839661619,0.000690886056034002
C_briggsae,0.00033035480781507,0.000281649784918436
