Region,π value,θ value,Tajima's D,Number of strains
All,0.001871,0.002572,-1.37119,518
Africa,0.001181,0.00134,-0.165038,17
Australia,1.4e-05,1e-05,1.656174,6
Caribbean,0.001258,0.001033,-0.075403,63
Central_America,0.000935,0.000777,-0.790721,83
Hawaii,0.0032,0.001883,1.68073,56
South_America,0.000735,0.001171,-1.554065,242
Taiwan,0.001697,0.001835,-0.319802,51
