Region,π value,θ value,Tajima's D,Number of strains
All,0.0023,0.0031,-0.9345,622
Africa,0.0014,0.0018,-0.4222,17
Australia,0.00001,0.0013,-3.8399,6
Caribbean,0.0016,0.0012,-0.1271,64
Central_America,0.0011,0.0009,-0.6970,87
Hawaii,0.0037,0.0023,0.9410,60
Indonesia,0.0031,0.0028,-0.1180,4
Micronesia,0.0018,0.0012,0.6919,69
South_America,0.0009,0.0013,-1.2988,261
Taiwan,0.0020,0.0022,-0.4902,54
