"identical alleles","total genome-wide SNVs","strain1","strain2"
167337,1584966,"BRC20391","BRC20400"
159484,1567935,"BRC20391","BRC20464"
179414,1568475,"BRC20391","BRC20548"
441575,1523073,"BRC20391","ECA1299"
440335,1519653,"BRC20391","ECA1300"
441386,1519643,"BRC20391","ECA1301"
437072,1509158,"BRC20391","ECA1302"
441536,1521000,"BRC20391","ECA1303"
438629,1513444,"BRC20391","ECA1304"
439582,1515562,"BRC20391","ECA1305"
140215,1567481,"BRC20391","ECA1306"
434620,1516147,"BRC20391","ECA1307"
139684,1567227,"BRC20391","ECA1309"
140341,1567793,"BRC20391","ECA1310"
154827,1556484,"BRC20391","ECA1311"
154041,1556570,"BRC20391","ECA1312"
154949,1565266,"BRC20391","ECA1313"
439305,1516097,"BRC20391","ECA1401"
438647,1512452,"BRC20391","ECA1403"
441465,1524061,"BRC20391","ECA1405"
264051,1537497,"BRC20391","ECA1445"
264884,1541469,"BRC20391","ECA1447"
264068,1538153,"BRC20391","ECA1449"
265502,1545305,"BRC20391","ECA1451"
259222,1487772,"BRC20391","ECA1453"
140673,1572339,"BRC20391","ECA1481"
139832,1565287,"BRC20391","ECA1518"
139440,1563504,"BRC20391","ECA1579"
139960,1566866,"BRC20391","ECA1581"
138748,1559761,"BRC20391","ECA1583"
140069,1568067,"BRC20391","ECA1585"
139832,1567575,"BRC20391","ECA1599"
139446,1556704,"BRC20391","ECA1603"
137404,1545249,"BRC20391","ECA2087"
138698,1559406,"BRC20391","ECA2898"
138342,1555842,"BRC20391","ECA2899"
139716,1568875,"BRC20391","ECA2900"
147867,1566258,"BRC20391","ECA2909"
138690,1560568,"BRC20391","ECA2910"
141163,1569316,"BRC20391","ECA2920"
145367,1555589,"BRC20391","ECA2954"
145779,1557615,"BRC20391","ECA2955"
148539,1571327,"BRC20391","ECA2976"
149086,1569844,"BRC20391","ECA3053"
433872,1502737,"BRC20391","ECA788"
429259,1489098,"BRC20391","ECA789"
126663,1560657,"BRC20391","ECA790"
150517,1554876,"BRC20391","ECA791"
150896,1556000,"BRC20391","ECA792"
147999,1564387,"BRC20391","ECA793"
127666,1566384,"BRC20391","ECA794"
134494,1553321,"BRC20391","ECA795"
165710,1559122,"BRC20391","ECA796"
131147,1516131,"BRC20391","ECA797"
151133,1552000,"BRC20391","ECA798"
136032,1563871,"BRC20391","ECA799"
133082,1575419,"BRC20391","ECA800"
145953,1568126,"BRC20391","ECA801"
131434,1565942,"BRC20391","ECA802"
116385,1511720,"BRC20391","ECA803"
123974,1531353,"BRC20391","ECA804"
139043,1559161,"BRC20391","ECA805"
299036,1534055,"BRC20391","ECA806"
196564,1584279,"BRC20391","EG5889"
207239,1582418,"BRC20391","EG6180"
164485,1572863,"BRC20391","HPT25"
307217,1539595,"BRC20391","HPT33"
168492,1580488,"BRC20391","HPT39"
160361,1584540,"BRC20391","HPT56"
303332,1527914,"BRC20391","JU1373"
300142,1516081,"BRC20391","JU1374"
155760,1615257,"BRC20391","JU1428"
154923,1608782,"BRC20391","JU1429"
155621,1614420,"BRC20391","JU1430"
307512,1543977,"BRC20391","JU1630"
309888,1547115,"BRC20391","JU1631"
302946,1524325,"BRC20391","JU1632"
304212,1528824,"BRC20391","JU1633"
305008,1532525,"BRC20391","JU1634"
188634,1609020,"BRC20391","JU1635"
304458,1529876,"BRC20391","JU1636"
306597,1536700,"BRC20391","JU1639"
305356,1533591,"BRC20391","JU1640"
305241,1533743,"BRC20391","JU1641"
303336,1530209,"BRC20391","JU1800"
309812,1546472,"BRC20391","JU1818"
158854,1618481,"BRC20391","JU1819"
149336,1602639,"BRC20391","JU1821"
149441,1609479,"BRC20391","JU1831"
147392,1604788,"BRC20391","JU1835"
150737,1601358,"BRC20391","JU1836"
154494,1616187,"BRC20391","JU1838"
154546,1616032,"BRC20391","JU1839"
155251,1621094,"BRC20391","JU1845"
159362,1616831,"BRC20391","JU1846"
160252,1617471,"BRC20391","JU1847"
153282,1606633,"BRC20391","JU1848"
169978,1608459,"BRC20391","JU1849"
149271,1605681,"BRC20391","JU1850"
148402,1609041,"BRC20391","JU1851"
168755,1617988,"BRC20391","JU1870"
148576,1608104,"BRC20391","JU1871"
148200,1605739,"BRC20391","JU1872"
150143,1597166,"BRC20391","JU1975"
170146,1606981,"BRC20391","JU1976"
153062,1614858,"BRC20391","JU2505"
166086,1590439,"BRC20391","JU2750"
164740,1585098,"BRC20391","JU2751"
179754,1592717,"BRC20391","JU2752"
313631,1544293,"BRC20391","JU3170"
163688,1615093,"BRC20391","NIC1000"
162914,1608618,"BRC20391","NIC1001"
164287,1615053,"BRC20391","NIC1004"
177849,1610451,"BRC20391","NIC1005"
166837,1614981,"BRC20391","NIC1012"
165966,1615222,"BRC20391","NIC1015"
166052,1615039,"BRC20391","NIC1016"
164047,1609915,"BRC20391","NIC1028"
152824,1613920,"BRC20391","NIC1029"
