species	species_id_method	strain	isotype	previous_names	release	source_lab	latitude	longitude	landscape	locality_description	substrate	substrate_comments	substrate_temp	ambient_temp	ambient_humidity	associated_organism	sampled_by	isolated_by	sampling_date	notes	strain_set	issues	issue_notes	isotype_ref_strain	sequenced
Caenorhabditis tropicalis	mating, ITS2	NIC58	NIC58	H1.1	20210901	NIC	4.08731	-52.67866	Forest	Trail RG, next to river	Rotting_nut/pod/seed/fruit	Fruit, Naucleopsis sp., material was thought to be rotting, but no data are known, Trail RG, next to river	NA	NA	NA	NA	C. Braendle, M.-A. Felix	C. Braendle	2009-11-24	Fruit (Naucleopsis sp.), Trail RG, next to river, Nouragues Forest Station, French Guiana.24/11/2009. CB/MAF. 4.08731, -52.67866	D	False	NA	True	True
Caenorhabditis tropicalis	mating	QG3042	NIC58		20210901	QG	9.164216667	-79.83736667	Forest	Barro Colorado Island, Panama	Rotting_nut/pod/seed/fruit	Substrate sample MR251.2, Spondias mombin	NA	NA	NA	NA	M. Rockman	J. Jackson	2018-08-25			False	NA	False	True
