Region,π value,θ value,Tajima's D,Number of strains
All,0.001989,0.002717,-1.369273,622
Africa,0.001163,0.001325,-0.165644,17
Australia,1.1e-05,8e-06,1.719133,6
Caribbean,0.001267,0.001019,-0.032068,64
Central_America,0.000936,0.000764,-0.756696,87
Hawaii,0.00311,0.00184,1.603841,60
Indonesia,0.002546,0.002098,0.958983,4
Micronesia,0.001544,0.000869,1.685206,69
South_America,0.000744,0.001158,-1.537008,261
Taiwan,0.001684,0.001804,-0.294351,54
