Region	Autosomes arm	Autosomes center	ChromX arm	ChromX center	fold change Autosomes arm/center	fold change ChromX arm/center	Stat
All	0.003	0.0015	0.0018	7e-04	2	2.57	pi
Africa	0.0016	8e-04	0.0014	6e-04	2	2.33	pi
Caribbean	0.0022	0.001	4e-04	1e-04	2.2	4	pi
Central America	0.0015	9e-04	4e-04	0	1.67	Inf	pi
Hawaii	0.004	0.0025	0.004	0.0022	1.6	1.82	pi
Micronesia	0.0026	0.0011	9e-04	3e-04	2.36	3	pi
South America	0.001	7e-04	5e-04	1e-04	1.43	5	pi
Taiwan	0.0028	0.0011	0.0012	4e-04	2.55	3	pi
All	0.0037	0.002	0.0031	0.002	1.85	1.55	theta
Africa	0.0017	9e-04	0.0022	9e-04	1.89	2.44	theta
Caribbean	0.0017	8e-04	4e-04	2e-04	2.12	2	theta
Central America	0.0013	6e-04	4e-04	2e-04	2.17	2	theta
Hawaii	0.0024	0.0015	0.0024	0.0013	1.6	1.85	theta
Micronesia	0.0015	5e-04	5e-04	2e-04	3	2.5	theta
South America	0.0015	8e-04	0.0017	9e-04	1.88	1.89	theta
Taiwan	0.0026	0.0014	0.0018	0.0012	1.86	1.5	theta
All	-1.1422	-1.4369	-1.4702	-1.9661	-	-	Tajima's D
Africa	-0.0307	-0.1612	-0.6373	-0.3782	-	-	Tajima's D
Caribbean	0.2628	-0.0561	-0.3497	-0.664	-	-	Tajima's D
Central America	-0.4783	-0.7058	-1.1315	-1.6942	-	-	Tajima's D
Hawaii	1.6193	1.5388	1.703	1.6247	-	-	Tajima's D
Micronesia	1.7912	1.6442	1.6085	1.3995	-	-	Tajima's D
South America	-1.3205	-1.4632	-2.0589	-2.325	-	-	Tajima's D
Taiwan	0.058	-0.5448	-0.5122	-0.9513	-	-	Tajima's D
