species,group,mean_dxy_nonHDR
C. tropicalis,Hw3 and LAC,0.0013
C. tropicalis,Af and LAC,0.0011
C. tropicalis,Hw1 and LAC,7e-4
C. tropicalis,HC and LAC,7e-4
C. tropicalis,Mic2 and LAC,7e-4
C. tropicalis,Mic1 and LAC,7e-4
C. tropicalis,Tw3 and LAC,7e-4
C. tropicalis,Tw1 and LAC,7e-4
C. briggsae,AD and Tropical,0.012
C. briggsae,KD and Tropical,0.0118
C. briggsae,TD1 and Tropical,0.0043
C. briggsae,Temperate and Tropical,0.0049
C. briggsae,TH and Tropical,0.0044
