Samples,Ne_value
All,139787.681128005
Africa,72839.6415202441
Australia,523.088550624413
Caribbean,56134.0034921994
Central America,42233.6798311901
Hawaii,102315.102178612
South America,63655.0324798662
Taiwan,99713.8077560032
All_Ce,207767.282293209
Big_island_Ce,133679.746132041
Hawaii_Ce,211271.701544802
Cb,280356.152952726
