N	eigenvalue	difference	twstat	p-value	effect.n
117	1.187364	-0.009276	-11.220	1	791.359
118	1.178984	-0.008379	-11.366	1	791.287
119	1.176919	-0.002066	-11.021	1	791.170
120	1.163308	-0.013610	-11.582	1	791.154
121	1.158508	-0.004800	-11.460	1	790.971
122	1.157946	-0.000563	-10.999	1	790.821
123	1.150828	-0.007118	-11.053	1	790.808
124	1.147149	-0.003679	-10.834	1	790.777
125	1.141009	-0.006140	-10.810	1	790.811
126	1.135634	-0.005375	-10.726	1	790.852
127	1.134786	-0.000848	-10.271	1	790.918
128	1.133560	-0.001226	-9.837	1	791.124
129	1.124076	-0.009484	-10.073	1	791.468
130	1.117733	-0.006344	-10.059	1	791.738
131	1.113007	-0.004726	-9.912	1	792.013
132	1.109051	-0.003956	-9.699	1	792.335
133	1.107084	-0.001967	-9.314	1	792.728
134	1.104291	-0.002793	-8.990	1	793.248
135	1.098998	-0.005294	-8.871	1	793.878
136	1.090005	-0.008993	-9.067	1	794.551
137	1.084868	-0.005137	-8.942	1	795.162
138	1.082141	-0.002727	-8.607	1	795.817
139	1.068930	-0.013211	-9.175	1	796.591
140	1.047718	-0.021212	-10.465	1	797.175
141	1.031532	-0.016186	-11.357	1	797.328
142	1.017262	-0.014270	-12.107	1	797.191
143	1.012832	-0.004430	-12.009	1	796.810
144	1.002320	-0.010511	-12.452	1	796.456
145	0.997527	-0.004794	-12.398	1	795.958
146	0.989706	-0.007821	-12.617	1	795.472
147	0.982981	-0.006724	-12.744	1	794.913
148	0.980687	-0.002295	-12.476	1	794.308
149	0.970631	-0.010056	-12.908	1	793.784
150	0.961900	-0.008730	-13.232	1	793.117
151	0.953392	-0.008508	-13.547	1	792.341
152	0.944011	-0.009381	-13.952	1	791.460
153	0.938681	-0.005330	-13.996	1	790.445
154	0.932709	-0.005972	-14.102	1	789.410
155	0.925933	-0.006776	-14.286	1	788.334
156	0.916998	-0.008935	-14.679	1	787.193
157	0.911744	-0.005254	-14.738	1	785.923
158	0.897460	-0.014283	-15.647	1	784.626
159	0.889498	-0.007962	-15.985	1	783.044
160	0.878732	-0.010766	-16.595	1	781.352
161	0.875507	-0.003226	-16.509	1	779.470
162	0.863157	-0.012350	-17.286	1	777.603
163	0.855752	-0.007404	-17.611	1	775.500
164	0.852244	-0.003509	-17.573	1	773.294
165	0.846501	-0.005743	-17.748	1	771.087
166	0.842499	-0.004002	-17.762	1	768.820
167	0.841343	-0.001156	-17.505	1	766.537
168	0.837062	-0.004282	-17.543	1	764.315
169	0.835504	-0.001558	-17.322	1	762.071
170	0.831984	-0.003520	-17.285	1	759.878
171	0.827121	-0.004863	-17.379	1	757.685
172	0.824737	-0.002384	-17.236	1	755.453
173	0.822790	-0.001947	-17.049	1	753.250
174	0.822441	-0.000350	-16.704	1	751.091
175	0.818656	-0.003785	-16.687	1	749.021
176	0.814126	-0.004530	-16.744	1	746.944
177	0.809908	-0.004218	-16.772	1	744.839
178	0.807316	-0.002592	-16.643	1	742.714
179	0.799729	-0.007587	-17.002	1	740.616
180	0.798189	-0.001540	-16.776	1	738.399
181	0.796124	-0.002065	-16.597	1	736.237
182	0.791410	-0.004714	-16.678	1	734.116
183	0.788698	-0.002712	-16.563	1	731.959
184	0.783885	-0.004813	-16.656	1	729.825
185	0.776590	-0.007295	-16.999	1	727.650
186	0.773925	-0.002665	-16.888	1	725.361
187	0.772599	-0.001327	-16.643	1	723.091
188	0.769871	-0.002727	-16.534	1	720.883
189	0.768138	-0.001733	-16.323	1	718.696
190	0.764865	-0.003274	-16.264	1	716.561
191	0.759524	-0.005341	-16.414	1	714.432
192	0.754526	-0.004998	-16.533	1	712.244
193	0.753765	-0.000761	-16.227	1	710.007
194	0.752464	-0.001301	-15.970	1	707.851
195	0.736504	-0.015960	-17.202	1	705.763
196	0.736114	-0.000390	-16.873	1	703.283
197	0.734356	-0.001758	-16.677	1	700.890
198	0.728815	-0.005541	-16.867	1	698.543
199	0.724918	-0.003897	-16.892	1	696.125
200	0.717352	-0.007566	-17.297	1	693.685
201	0.714912	-0.002440	-17.184	1	691.109
202	0.712859	-0.002052	-17.029	1	688.554
203	0.708980	-0.003879	-17.060	1	686.032
204	0.701916	-0.007064	-17.424	1	683.487
205	0.699951	-0.001965	-17.267	1	680.818
206	0.697473	-0.002478	-17.161	1	678.182
207	0.696763	-0.000710	-16.869	1	675.565
208	0.695238	-0.001525	-16.657	1	673.022
209	0.692690	-0.002549	-16.549	1	670.532
210	0.689942	-0.002748	-16.461	1	668.061
211	0.684431	-0.005511	-16.662	1	665.604
212	0.676914	-0.007517	-17.079	1	663.070
213	0.675216	-0.001697	-16.894	1	660.392
214	0.669277	-0.005939	-17.153	1	657.756
215	0.661057	-0.008221	-17.661	1	655.027
216	0.652856	-0.008201	-18.178	1	652.128
217	0.646729	-0.006127	-18.487	1	649.061
218	0.643434	-0.003295	-18.501	1	645.890
219	0.640114	-0.003320	-18.519	1	642.700
220	0.632465	-0.007649	-18.999	1	639.491
221	0.632321	-0.000144	-18.690	1	636.130
222	0.629021	-0.003300	-18.712	1	632.843
223	0.628394	-0.000627	-18.449	1	629.535
224	0.621484	-0.006910	-18.854	1	626.288
225	0.617439	-0.004045	-18.961	1	622.911
226	0.614696	-0.002743	-18.931	1	619.489
227	0.612736	-0.001960	-18.818	1	616.062
228	0.609126	-0.003610	-18.880	1	612.652
229	0.606501	-0.002625	-18.838	1	609.210
230	0.603041	-0.003460	-18.886	1	605.766
231	0.594389	-0.008652	-19.493	1	602.294
232	0.592722	-0.001667	-19.361	1	598.640
233	0.591812	-0.000910	-19.147	1	595.009
234	0.590371	-0.001441	-18.986	1	591.422
235	0.587009	-0.003362	-19.030	1	587.866
236	0.586646	-0.000363	-18.752	1	584.284
237	0.583583	-0.003063	-18.761	1	580.765
238	0.581656	-0.001927	-18.649	1	577.229
239	0.580502	-0.001154	-18.452	1	573.711
240	0.577412	-0.003091	-18.460	1	570.234
241	0.576294	-0.001117	-18.257	1	566.740
242	0.575585	-0.000709	-18.008	1	563.290
243	0.573154	-0.002430	-17.939	1	559.896
244	0.571294	-0.001860	-17.809	1	556.508
245	0.566041	-0.005253	-18.042	1	553.143
246	0.564481	-0.001560	-17.883	1	549.694
247	0.561387	-0.003094	-17.887	1	546.278
248	0.559437	-0.001950	-17.768	1	542.845
249	0.557910	-0.001528	-17.602	1	539.431
250	0.556872	-0.001038	-17.381	1	536.051
251	0.555327	-0.001544	-17.211	1	532.721
252	0.553014	-0.002313	-17.121	1	529.426
253	0.552432	-0.000582	-16.843	1	526.143
254	0.551486	-0.000946	-16.599	1	522.928
255	0.550584	-0.000902	-16.346	1	519.772
256	0.549144	-0.001440	-16.146	1	516.678
257	0.548771	-0.000373	-15.827	1	513.630
258	0.548490	-0.000281	-15.492	1	510.667
259	0.548294	-0.000196	-15.140	1	507.796
260	0.548294	-0.000000	-14.758	1	505.024
261	0.548294	-0.000000	-14.368	1	502.362
262	0.548294	-0.000000	-13.969	1	499.817
263	0.548294	-0.000000	-13.560	1	497.394
264	0.548294	-0.000000	-13.140	1	495.100
265	0.548294	-0.000000	-12.709	1	492.942
266	0.548294	-0.000000	-12.266	1	490.928
267	0.548294	-0.000000	-11.810	1	489.067
268	0.548294	-0.000000	-11.340	1	487.367
269	0.548294	-0.000000	-10.855	1	485.840
270	0.548294	-0.000000	-10.355	1	484.498
271	0.548294	-0.000000	-9.837	1	483.352
272	0.547373	-0.000920	-9.407	1	482.418
273	0.546560	-0.000814	-8.948	1	481.664
274	0.540180	-0.006379	-9.120	1	481.108
275	0.521635	-0.018546	-10.728	1	480.465
276	0.519766	-0.001869	-10.445	1	479.094
277	0.514419	-0.005347	-10.564	1	477.832
278	0.509672	-0.004747	-10.621	1	476.502
279	0.508866	-0.000806	-10.211	1	475.133
280	0.502626	-0.006239	-10.440	1	473.931
281	0.499661	-0.002965	-10.287	1	472.612
282	0.494389	-0.005272	-10.410	1	471.347
283	0.494268	-0.000121	-9.913	1	470.010
284	0.485460	-0.008808	-10.464	1	468.886
285	0.482192	-0.003268	-10.358	1	467.495
