N	eigenvalue	difference	twstat	p-value	effect.n
1	31.127523	NA	100.905	1.5058e-295	127.126
2	21.175001	-9.952523	78.717	2.9326e-204	161.282
3	19.439002	-1.735998	85.684	1.06686e-231	182.917
4	13.275072	-6.163930	51.518	4.55806e-109	209.139
5	13.076928	-0.198143	57.461	3.95348e-128	220.957
6	11.173758	-1.903170	46.302	3.25996e-93	235.351
7	11.032021	-0.141738	50.989	2.02317e-107	246.122
8	10.588260	-0.443760	52.768	5.48586e-113	258.860
9	10.022327	-0.565933	52.825	3.60339e-113	272.657
10	9.669722	-0.352605	55.170	1.17527e-120	286.901
11	9.455330	-0.214392	59.549	4.55089e-135	302.543
12	9.220138	-0.235192	64.170	7.37191e-151	320.604
13	8.629677	-0.590461	63.388	3.80814e-148	341.482
14	8.311990	-0.317687	66.355	1.57898e-158	362.726
15	8.237285	-0.074705	74.045	1.61484e-186	386.279
16	7.956939	-0.280347	78.946	3.83465e-205	415.108
17	7.380835	-0.576103	77.578	6.96775e-200	448.240
18	7.017870	-0.362966	79.595	1.18705e-207	481.916
19	6.764024	-0.253846	83.926	1.1502e-224	518.444
20	6.005262	-0.758762	74.114	8.87253e-187	559.794
21	4.984305	-1.020957	52.291	1.74106e-111	595.748
22	4.625051	-0.359254	46.053	1.77296e-92	619.011
23	4.155781	-0.469270	34.951	8.67331e-62	639.448
24	3.969255	-0.186526	31.696	1.28439e-53	654.698
25	3.921249	-0.048006	32.740	3.41016e-56	668.724
26	3.825343	-0.095907	32.128	1.11354e-54	683.529
27	3.668590	-0.156752	29.164	1.52384e-47	698.342
28	3.414730	-0.253860	22.217	3.11776e-32	712.025
29	3.357184	-0.057546	21.983	9.39831e-32	722.795
30	3.096811	-0.260373	13.890	7.5086e-17	733.639
31	2.957806	-0.139005	9.901	7.58614e-11	741.285
32	2.811905	-0.145901	5.370	9.39123e-06	747.510
33	2.757863	-0.054041	4.244	0.000129164	752.190
34	2.732865	-0.024999	4.223	0.000135515	756.534
35	2.686105	-0.046760	3.303	0.000939651	760.915
36	2.577967	-0.108139	-0.196	0.206325	765.028
