"SampleID","Longitude","Latitude","HFI"
"BRC20391",121.557423,25.016672,46.3151893615723
"BRC20400",121.557423,25.016672,46.3151893615723
"BRC20464",121.735653,24.822726,30.9417591094971
"BRC20548",120.731306,22.753556,14.2654418945312
"ECA1299",-157.8095,21.34198,16.9027271270752
"ECA1300",-157.8096,21.34202,16.9027271270752
"ECA1301",-157.8096,21.34202,16.9027271270752
"ECA1302",-157.8096,21.34202,16.9027271270752
"ECA1303",-157.8096,21.34202,16.9027271270752
"ECA1304",-157.8096,21.34202,16.9027271270752
"ECA1305",-157.822,21.34091,28.9931793212891
"ECA1306",-157.8239,21.34293,28.9931793212891
"ECA1307",-157.8095,21.34198,16.9027271270752
"ECA1310",-157.8239,21.34293,28.9931793212891
"ECA1311",-155.4413,20.04062,14.937126159668
"ECA1312",-155.4413,20.04062,14.937126159668
"ECA1313",-155.4413,20.04062,14.937126159668
"ECA1401",-157.821547,21.342699,28.9931793212891
"ECA1403",-157.821547,21.342699,28.9931793212891
"ECA1405",-157.821547,21.342699,28.9931793212891
"ECA1445",-155.1527495,19.8552394,14.402569770813
"ECA1447",-155.1527495,19.8552394,14.402569770813
"ECA1449",-155.1527495,19.8552394,14.402569770813
"ECA1451",-155.1527495,19.8552394,14.402569770813
"ECA1453",-155.15326,19.854497,14.402569770813
"ECA1481",-157.9002278,21.39448889,19.7230453491211
"ECA1518",-157.8914889,21.39774444,17.1603965759277
"ECA1579",-157.81937,21.317253,24.8548889160156
"ECA1581",-157.81937,21.317253,24.8548889160156
"ECA1583",-157.81937,21.317253,24.8548889160156
"ECA1585",-157.81937,21.317253,24.8548889160156
"ECA1599",-157.90023,21.394489,19.7230453491211
"ECA1603",-157.9005111,21.39578611,19.7230453491211
"ECA2087",-157.90023,21.394489,19.7230453491211
"ECA2898",-157.7645652,21.355658,28.7520313262939
"ECA2899",-157.7645652,21.355658,28.7520313262939
"ECA2900",-157.7645652,21.355658,28.7520313262939
"ECA2910",-157.7645652,21.355658,28.7520313262939
"ECA2954",-159.3522759,22.0638967,22.6317939758301
"ECA2955",-159.3522759,22.0638967,22.6317939758301
"ECA3053",-155.4399684,20.0389764,14.937126159668
"ECA788",-157.779914,21.362625,16.6482791900635
"ECA789",-157.799786,21.336056,19.035945892334
"ECA790",-159.367837,22.053952,22.7915115356445
"ECA791",-159.478956,22.193317,5.83440637588501
"ECA792",-159.478956,22.193317,5.83440637588501
"ECA793",-159.478478,22.194578,5.83440637588501
"ECA794",-159.367837,22.053952,22.7915115356445
"ECA796",-155.139322,19.905167,19.7971172332764
"ECA797",-155.067906,19.590717,15.6490364074707
"ECA798",-155.141275,19.906725,19.7971172332764
"ECA799",-155.068069,19.589467,15.6490364074707
"ECA800",-156.0650423,20.78352803,5.07233619689941
"ECA801",-156.0650423,20.78352803,5.07233619689941
"ECA802",-156.0650423,20.78352803,5.07233619689941
"ECA803",-156.0650423,20.78352803,5.07233619689941
"ECA804",-156.096654,20.807406,11.6096296310425
"ECA805",-156.096654,20.807406,11.6096296310425
"ECA806",-156.118573,20.813647,9.96642398834229
"EG5889",-65.8,18.3,9.83378314971924
"EG6180",-65.8,18.3,9.83378314971924
"JU1373",55.6885,-21.0473,32.2090873718262
"JU1374",55.6878,-21.0484,32.2090873718262
"JU1428",-52.68,4.08,0.0780067294836044
"JU1630",-25.1222,17.1064,13.2283725738525
"JU1631",-25.1261,17.1404,14.6914300918579
"JU1632",-25.1314,17.1508,14.9269800186157
"JU1633",-25.05,17.115,15.9323759078979
"JU1634",-25.049,17.12,15.9323759078979
"JU1635",-25.0492,17.121,15.9323759078979
"JU1636",-25.0966,17.129,14.0456800460815
"JU1639",-25.0696,17.149,15.3398847579956
"JU1640",-23.5215,15.084,10.9363889694214
"JU1641",-23.6049,14.9174,17.2501335144043
"JU1800",55.6887,-21.0471,32.2090873718262
"JU1818",-52.262633,4.595467,8.53645324707031
"JU1819",-52.675667,4.08805,0.320644646883011
"JU1821",-52.675167,4.087967,0.320644646883011
"JU1835",-52.6791,4.085783,0.317805469036102
"JU1836",-52.680033,4.087883,0.317805469036102
"JU1838",-52.681917,4.085517,0.317805469036102
"JU1845",-52.67705,4.089583,0.317805469036102
"JU1846",-52.674633,4.0911,0.320644646883011
"JU1847",-52.67465,4.090833,0.320644646883011
"JU1848",-52.674933,4.090933,0.320644646883011
"JU1849",-52.68165,4.086683,0.317805469036102
"JU1850",-52.68165,4.086683,0.317805469036102
"JU1851",-52.682217,4.087367,0.317805469036102
"JU1870",-52.679783,4.082883,0.0780067294836044
"JU1871",-52.679783,4.082883,0.0780067294836044
"JU1975",-59.84,-2.96,7.25230073928833
"JU1976",-59.84,-2.96,7.25230073928833
"JU2505",-84.6452,10.4708,33.1908073425293
"JU2750",-61.6951,16.1761,12.7305335998535
"JU2752",-61.6951,16.1761,12.7305335998535
"JU3170",6.612,0.289,22.7993202209473
"NIC1000",-52.6675,4.0391,1.26688122749329
"NIC1004",-52.66843,4.03896,1.26688122749329
"NIC1005",-52.66843,4.03896,1.26688122749329
"NIC1012",-52.67185,4.03793,1.26688122749329
"NIC1016",-52.67185,4.03793,1.26688122749329
"NIC1028",-52.66843,4.03896,1.26688122749329
"NIC1033",-52.67196,4.03724,1.26688122749329
"NIC1038",-52.66843,4.03896,1.26688122749329
"NIC105",-52.67394,4.08747,0.320644646883011
"NIC1112",-71.377696,-12.829016,7.93695020675659
"NIC1116",-71.365178,-12.838824,11.6864395141602
"NIC1121",-69.49736402,-12.87416004,5.56949186325073
"NIC1126",-69.49602501,-12.874715,5.56949186325073
"NIC1136",-69.49788203,-12.872141,5.56949186325073
"NIC1137",-69.49788203,-12.872141,5.56949186325073
"NIC114",-61.643,16.0435,10.3136072158813
"NIC1140",-69.49927501,-12.87255297,5.56949186325073
