"SampleID","Longitude","Latitude","HFI"
"CB4854",-118.131,34.189,38
"CB4856",-157.86,21.33,38.4275131225586
"CB4932",-3.1,51.02,42.0108604431152
"CX11254",-118.114835,34.130138,34.4006614685059
"CX11262",-118.114835,34.130138,34.4006614685059
"CX11264",-118.114835,34.130138,34.4006614685059
"CX11271",-118.12532,34.13712,37.9906272888184
"CX11276",-118.21198,34.20111,36.6335525512695
"CX11285",-118.05496,34.14331,38
"CX11292",-118.30582,34.13531,22.1650638580322
"CX11307",-118.10987,34.12946,34.4006614685059
"CX11314",-118.10987,34.12946,34.4006614685059
"CX11315",-118.10987,34.12946,34.4006614685059
"DL200",38.74,9.03,46.0591087341309
"DL226",-123.2821,44.5633,48.6477890014648
"DL238",-155.81,19.11,4.00082588195801
"ECA396",-155.235493,19.449831,11.2611255645752
"ECA189",-155.2225,19.423889,15.8883953094482
"ECA1891",-155.81956,19.120367,2.72984623908997
"ECA1901",-156.28091,20.837038,12.4917707443237
"ECA191",-155.221944,19.424167,15.8883953094482
"ECA1919",-156.27704,20.826518,11.3074636459351
"ECA1925",-159.64984,22.134164,8.7205810546875
"ECA1937",-155.81958,19.120128,2.72984623908997
"ECA1939",-155.81958,19.120128,2.72984623908997
"ECA1943",-155.81958,19.120128,2.72984623908997
"JU2592",-2.403836,48.628558,30.5917072296143
"JU2593",2.222334,48.822556,46.9775352478027
"JU2600",1.9496,49.1242,36.6931648254395
"JU2610",1.7915,49.1075,26.1852264404297
"JU2619",-117.275428,32.998352,NA
"JU2800",2.331,48.79,38.0269508361816
"JU2811",151.219453,-33.8632,NA
"JU2825",2.3862,48.8092,47.4715194702148
"JU2829",1.064,46.632,42.5698432922363
"JU2838",-97.98832,20.205961,38.6597671508789
"JU2841",176,-40,4.4730281829834
"JU2853",-7.545,41.19,46.2121772766113
"JU2862",0.1264,52.1944,45.1863670349121
"JU2866",-118.4409,34.0751,37.1162223815918
"JU2878",-99.098769,19.29732,32.0425186157227
"JU2879",-99.098769,19.29732,32.0425186157227
"JU2906",11.2806,43.8023,39.1218605041504
"JU2907",11.2906,43.8021,39.1218605041504
"KR314",-123.13,49.28,49.523811340332
"LKC34",46,-18,6.49980401992798
"AB1",138.59,-34.93,46.0019721984863
"BRC20067",121.169736,24.072954,23.3194980621338
"BRC20263",151.2069889,-33.86748611,50
"ECA1069",-56.15794301,-34.89411879,38.2632102966309
"ECA1074",-56.15625241,-34.89623486,38.4574546813965
"ECA1185",-155.3020167,19.44006389,10.9823799133301
"ECA1186",-155.8201944,19.11456944,4.00082588195801
"ECA1187",-155.3012944,19.44189167,10.2309398651123
"ECA1191",-155.3017222,19.44285556,10.2309398651123
"ECA1192",-155.3050667,19.43996944,10.9823799133301
"ECA1193",-155.3050667,19.43996944,10.9823799133301
"ECA1194",-155.3040139,19.43961111,10.9823799133301
"ECA1195",-155.3040139,19.43961111,10.9823799133301
"ECA1196",-155.3017222,19.44285556,10.2309398651123
"ECA1200",-155.4403861,20.03956944,14.937126159668
"ECA1202",-155.9490944,19.71897222,10.4740858078003
"ECA1206",-155.9490944,19.71897222,10.4740858078003
"ECA1208",-155.9515361,19.71895278,10.4740858078003
"ECA1212",-155.9488722,19.71876389,10.4740858078003
"ECA1216",-155.9476528,19.720575,10.4740858078003
"ECA1223",-155.9544833,19.7188,11.602014541626
"ECA1225",-155.9544833,19.7188,11.602014541626
"ECA1228",-155.9473333,19.72135556,10.4740858078003
"ECA1229",-155.697525,19.10540278,8.00003433227539
"ECA1232",-155.3014944,19.44023611,10.9823799133301
"ECA1237",-155.3046194,19.44180278,10.2309398651123
"ECA1238",-155.3033667,19.438925,10.9823799133301
"ECA1240",-155.304625,19.44179722,10.2309398651123
"ECA1242",-155.3033389,19.43860278,10.9823799133301
"ECA1243",-155.8196139,19.12013889,2.72984623908997
"ECA1247",-155.9477056,19.7205,10.4740858078003
"ECA1251",-155.3034417,19.43866111,10.9823799133301
"ECA1252",-155.3033667,19.438925,10.9823799133301
"ECA1253",-155.3033667,19.438925,10.9823799133301
"ECA1255",-155.4438278,20.04141111,11.6829652786255
"ECA1257",-155.4438278,20.04141111,11.6829652786255
"ECA1260",-155.8196833,19.12068611,2.72984623908997
"ECA1261",-155.8191083,19.11523611,4.00082588195801
"ECA1269",-155.8196833,19.12068611,2.72984623908997
"ECA1271",-155.8196556,19.12069167,2.72984623908997
"ECA1276",-155.4437722,20.04086389,11.6829652786255
"ECA1278",-155.4437722,20.04086389,11.6829652786255
"ECA1281",-155.9486167,19.72010278,10.4740858078003
"ECA1283",-155.9486167,19.72010278,10.4740858078003
"ECA1284",-155.4399778,20.03859444,14.937126159668
"ECA1286",-155.8197528,19.12063056,2.72984623908997
