strain	bam	bai	coverage	percent_mapped
BRC20391	BRC20391.bam	BRC20391.bam.bai	0	0
BRC20400	BRC20400.bam	BRC20400.bam.bai	0	0
BRC20464	BRC20464.bam	BRC20464.bam.bai	0	0
BRC20548	BRC20548.bam	BRC20548.bam.bai	0	0
ECA1299	ECA1299.bam	ECA1299.bam.bai	0	0
ECA1300	ECA1300.bam	ECA1300.bam.bai	0	0
ECA1301	ECA1301.bam	ECA1301.bam.bai	0	0
ECA1302	ECA1302.bam	ECA1302.bam.bai	0	0
ECA1303	ECA1303.bam	ECA1303.bam.bai	0	0
ECA1304	ECA1304.bam	ECA1304.bam.bai	0	0
ECA1305	ECA1305.bam	ECA1305.bam.bai	0	0
ECA1306	ECA1306.bam	ECA1306.bam.bai	0	0
ECA1307	ECA1307.bam	ECA1307.bam.bai	0	0
ECA1309	ECA1309.bam	ECA1309.bam.bai	0	0
ECA1310	ECA1310.bam	ECA1310.bam.bai	0	0
ECA1311	ECA1311.bam	ECA1311.bam.bai	0	0
ECA1312	ECA1312.bam	ECA1312.bam.bai	0	0
ECA1313	ECA1313.bam	ECA1313.bam.bai	0	0
ECA1401	ECA1401.bam	ECA1401.bam.bai	0	0
ECA1403	ECA1403.bam	ECA1403.bam.bai	0	0
ECA1405	ECA1405.bam	ECA1405.bam.bai	0	0
ECA1445	ECA1445.bam	ECA1445.bam.bai	0	0
ECA1447	ECA1447.bam	ECA1447.bam.bai	0	0
ECA1449	ECA1449.bam	ECA1449.bam.bai	0	0
ECA1451	ECA1451.bam	ECA1451.bam.bai	0	0
ECA1453	ECA1453.bam	ECA1453.bam.bai	0	0
ECA1481	ECA1481.bam	ECA1481.bam.bai	0	0
ECA1518	ECA1518.bam	ECA1518.bam.bai	0	0
ECA1579	ECA1579.bam	ECA1579.bam.bai	0	0
ECA1581	ECA1581.bam	ECA1581.bam.bai	0	0
ECA1583	ECA1583.bam	ECA1583.bam.bai	0	0
ECA1585	ECA1585.bam	ECA1585.bam.bai	0	0
ECA1599	ECA1599.bam	ECA1599.bam.bai	0	0
ECA1603	ECA1603.bam	ECA1603.bam.bai	0	0
ECA2087	ECA2087.bam	ECA2087.bam.bai	0	0
ECA2898	ECA2898.bam	ECA2898.bam.bai	0	0
ECA2899	ECA2899.bam	ECA2899.bam.bai	0	0
ECA2900	ECA2900.bam	ECA2900.bam.bai	0	0
ECA2909	ECA2909.bam	ECA2909.bam.bai	0	0
ECA2910	ECA2910.bam	ECA2910.bam.bai	0	0
ECA2920	ECA2920.bam	ECA2920.bam.bai	0	0
ECA2954	ECA2954.bam	ECA2954.bam.bai	0	0
ECA2955	ECA2955.bam	ECA2955.bam.bai	0	0
ECA2976	ECA2976.bam	ECA2976.bam.bai	0	0
ECA3053	ECA3053.bam	ECA3053.bam.bai	0	0
ECA788	ECA788.bam	ECA788.bam.bai	0	0
ECA789	ECA789.bam	ECA789.bam.bai	0	0
ECA790	ECA790.bam	ECA790.bam.bai	0	0
ECA791	ECA791.bam	ECA791.bam.bai	0	0
ECA792	ECA792.bam	ECA792.bam.bai	0	0
ECA793	ECA793.bam	ECA793.bam.bai	0	0
ECA794	ECA794.bam	ECA794.bam.bai	0	0
ECA796	ECA796.bam	ECA796.bam.bai	0	0
ECA797	ECA797.bam	ECA797.bam.bai	0	0
ECA798	ECA798.bam	ECA798.bam.bai	0	0
ECA799	ECA799.bam	ECA799.bam.bai	0	0
ECA800	ECA800.bam	ECA800.bam.bai	0	0
ECA801	ECA801.bam	ECA801.bam.bai	0	0
ECA802	ECA802.bam	ECA802.bam.bai	0	0
ECA803	ECA803.bam	ECA803.bam.bai	0	0
ECA804	ECA804.bam	ECA804.bam.bai	0	0
ECA805	ECA805.bam	ECA805.bam.bai	0	0
ECA806	ECA806.bam	ECA806.bam.bai	0	0
EG5889	EG5889.bam	EG5889.bam.bai	0	0
EG6180	EG6180.bam	EG6180.bam.bai	0	0
HPT25	HPT25.bam	HPT25.bam.bai	0	0
HPT33	HPT33.bam	HPT33.bam.bai	0	0
HPT39	HPT39.bam	HPT39.bam.bai	0	0
HPT56	HPT56.bam	HPT56.bam.bai	0	0
JU1373	JU1373.bam	JU1373.bam.bai	0	0
JU1374	JU1374.bam	JU1374.bam.bai	0	0
JU1428	JU1428.bam	JU1428.bam.bai	0	0
JU1630	JU1630.bam	JU1630.bam.bai	0	0
JU1631	JU1631.bam	JU1631.bam.bai	0	0
JU1632	JU1632.bam	JU1632.bam.bai	0	0
JU1633	JU1633.bam	JU1633.bam.bai	0	0
JU1634	JU1634.bam	JU1634.bam.bai	0	0
JU1635	JU1635.bam	JU1635.bam.bai	0	0
JU1636	JU1636.bam	JU1636.bam.bai	0	0
JU1639	JU1639.bam	JU1639.bam.bai	0	0
JU1640	JU1640.bam	JU1640.bam.bai	0	0
JU1641	JU1641.bam	JU1641.bam.bai	0	0
JU1800	JU1800.bam	JU1800.bam.bai	0	0
JU1818	JU1818.bam	JU1818.bam.bai	0	0
JU1819	JU1819.bam	JU1819.bam.bai	0	0
JU1821	JU1821.bam	JU1821.bam.bai	0	0
JU1835	JU1835.bam	JU1835.bam.bai	0	0
JU1836	JU1836.bam	JU1836.bam.bai	0	0
JU1838	JU1838.bam	JU1838.bam.bai	0	0
JU1845	JU1845.bam	JU1845.bam.bai	0	0
JU1846	JU1846.bam	JU1846.bam.bai	0	0
JU1847	JU1847.bam	JU1847.bam.bai	0	0
JU1848	JU1848.bam	JU1848.bam.bai	0	0
JU1849	JU1849.bam	JU1849.bam.bai	0	0
JU1850	JU1850.bam	JU1850.bam.bai	0	0
JU1851	JU1851.bam	JU1851.bam.bai	0	0
JU1870	JU1870.bam	JU1870.bam.bai	0	0
JU1871	JU1871.bam	JU1871.bam.bai	0	0
JU1975	JU1975.bam	JU1975.bam.bai	0	0
JU1976	JU1976.bam	JU1976.bam.bai	0	0
JU2505	JU2505.bam	JU2505.bam.bai	0	0
JU2750	JU2750.bam	JU2750.bam.bai	0	0
JU2752	JU2752.bam	JU2752.bam.bai	0	0
JU3170	JU3170.bam	JU3170.bam.bai	0	0
