N	eigenvalue	difference	twstat	p-value	effect.n
1	46.682218	NA	124.335	0	82.663
2	25.297845	-21.384373	95.345	1.27191e-271	126.574
3	21.785583	-3.512263	99.906	3.37543e-291	148.875
4	17.483248	-4.302334	90.659	5.41217e-252	173.922
5	13.400811	-4.082437	68.866	1.68644e-167	195.440
6	13.042839	-0.357972	76.240	8.70286e-195	209.303
7	11.900449	-1.142390	75.011	3.82275e-190	226.194
8	10.780619	-1.119830	71.722	6.65153e-178	243.164
9	10.230463	-0.550156	74.276	2.20087e-187	259.452
10	9.900247	-0.330216	80.022	2.62395e-209	277.206
11	9.817836	-0.082411	90.866	7.53694e-253	297.848
12	9.552204	-0.265632	100.759	6.5303e-295	324.118
13	9.281477	-0.270728	112.545	0	356.536
14	8.321784	-0.959693	110.261	0	397.349
15	7.551030	-0.770753	108.326	0	438.606
16	6.753104	-0.797927	101.844	1.17757e-299	480.509
17	6.466128	-0.286975	106.952	2.51973e-322	520.133
18	6.130821	-0.335307	110.390	0	564.816
19	5.712780	-0.418041	110.006	0	613.935
20	4.709227	-1.003553	83.707	8.55115e-224	665.032
21	4.273797	-0.435430	73.456	2.54936e-184	700.397
22	3.249645	-1.024151	34.127	1.1054e-59	730.844
23	3.219592	-0.030054	35.203	1.95105e-62	743.332
24	3.096177	-0.123415	31.946	3.13353e-54	756.441
25	3.062356	-0.033821	32.618	6.84732e-56	768.499
26	2.944529	-0.117827	29.206	1.21377e-47	781.006
27	2.882450	-0.062079	28.226	2.34424e-45	792.393
28	2.766956	-0.115494	24.430	6.93094e-37	803.577
29	2.544432	-0.222524	14.831	2.08666e-18	813.509
30	2.495315	-0.049117	13.608	2.14526e-16	820.273
31	2.434566	-0.060749	11.691	2.03534e-13	826.718
32	2.306078	-0.128489	6.063	1.64907e-06	832.627
33	2.303586	-0.002492	6.908	1.75239e-07	836.909
34	2.255258	-0.048328	5.303	1.10488e-05	841.473
35	2.215891	-0.039366	4.108	0.000174186	845.613
36	2.126616	-0.089275	0.110	0.148898	849.447
37	2.099272	-0.027344	-0.617	0.306635	852.216
38	2.093271	-0.006001	-0.186	0.204348	854.813
39	2.068980	-0.024291	-0.772	0.349237	857.544
40	2.029139	-0.039841	-2.264	0.795437	860.138
41	1.978527	-0.050613	-4.426	0.997856	862.360
42	1.940190	-0.038336	-5.959	0.999997	864.047
43	1.908088	-0.032103	-7.183	1	865.367
44	1.901752	-0.006336	-6.954	1	866.400
45	1.892260	-0.009492	-6.905	1	867.494
46	1.885694	-0.006566	-6.686	1	868.606
47	1.869673	-0.016021	-7.020	1	869.778
48	1.851056	-0.018618	-7.521	1	870.876
49	1.841910	-0.009146	-7.476	1	871.859
50	1.821766	-0.020144	-8.089	1	872.859
51	1.813733	-0.008033	-7.995	1	873.717
52	1.809241	-0.004492	-7.688	1	874.602
53	1.801625	-0.007616	-7.564	1	875.566
54	1.789255	-0.012370	-7.730	1	876.567
55	1.766292	-0.022963	-8.551	1	877.533
56	1.749422	-0.016870	-9.023	1	878.303
57	1.727865	-0.021557	-9.800	1	878.965
58	1.715735	-0.012130	-10.015	1	879.443
59	1.707213	-0.008522	-10.012	1	879.873
60	1.682493	-0.024719	-11.027	1	880.306
61	1.670346	-0.012147	-11.278	1	880.502
62	1.662375	-0.007971	-11.275	1	880.641
63	1.624844	-0.037532	-13.147	1	880.780
64	1.616571	-0.008273	-13.204	1	880.492
65	1.609164	-0.007406	-13.208	1	880.189
66	1.603299	-0.005865	-13.115	1	879.884
67	1.598706	-0.004593	-12.940	1	879.598
68	1.592975	-0.005732	-12.835	1	879.351
69	1.582703	-0.010272	-13.025	1	879.126
70	1.571617	-0.011086	-13.274	1	878.856
71	1.544151	-0.027466	-14.600	1	878.528
72	1.531104	-0.013047	-15.012	1	877.900
73	1.522296	-0.008808	-15.155	1	877.179
74	1.520345	-0.001952	-14.851	1	876.423
75	1.519451	-0.000894	-14.472	1	875.731
76	1.517934	-0.001517	-14.128	1	875.119
77	1.515846	-0.002088	-13.816	1	874.582
78	1.506489	-0.009357	-13.984	1	874.113
79	1.502409	-0.004080	-13.803	1	873.603
80	1.500604	-0.001805	-13.467	1	873.132
81	1.500207	-0.000397	-13.030	1	872.737
82	1.500207	-0.000000	-12.558	1	872.441
83	1.495782	-0.004424	-12.377	1	872.256
84	1.483148	-0.012634	-12.754	1	872.113
85	1.479208	-0.003940	-12.546	1	871.878
86	1.458250	-0.020957	-13.506	1	871.692
87	1.448745	-0.009505	-13.699	1	871.275
88	1.435928	-0.012818	-14.128	1	870.811
89	1.430037	-0.005891	-14.087	1	870.243
90	1.426991	-0.003045	-13.848	1	869.681
91	1.414256	-0.012735	-14.283	1	869.173
92	1.393949	-0.020308	-15.262	1	868.560
93	1.388151	-0.005797	-15.241	1	867.716
94	1.386903	-0.001248	-14.899	1	866.873
95	1.376939	-0.009965	-15.169	1	866.105
96	1.373335	-0.003604	-14.995	1	865.270
97	1.359362	-0.013972	-15.557	1	864.472
98	1.353033	-0.006329	-15.587	1	863.539
99	1.342596	-0.010438	-15.913	1	862.595
100	1.341968	-0.000627	-15.541	1	861.572
101	1.337642	-0.004326	-15.429	1	860.629
102	1.334158	-0.003484	-15.256	1	859.708
103	1.333517	-0.000641	-14.873	1	858.822
104	1.333517	-0.000000	-14.437	1	858.023
105	1.327904	-0.005613	-14.403	1	857.324
106	1.316484	-0.011420	-14.796	1	856.629
107	1.314386	-0.002098	-14.513	1	855.835
108	1.312685	-0.001701	-14.196	1	855.106
109	1.303902	-0.008783	-14.399	1	854.450
110	1.287622	-0.016280	-15.165	1	853.740
111	1.280385	-0.007238	-15.275	1	852.842
112	1.266242	-0.014143	-15.905	1	851.912
113	1.248358	-0.017884	-16.832	1	850.827
114	1.238901	-0.009458	-17.144	1	849.521
115	1.237536	-0.001364	-16.853	1	848.137
116	1.233129	-0.004407	-16.787	1	846.814
117	1.218988	-0.014141	-17.460	1	845.500
118	1.211986	-0.007002	-17.604	1	844.026
119	1.200604	-0.011382	-18.086	1	842.511
120	1.196545	-0.004060	-18.019	1	840.881
121	1.194608	-0.001936	-17.789	1	839.260
122	1.188225	-0.006383	-17.897	1	837.683
123	1.185474	-0.002751	-17.729	1	836.075
124	1.175622	-0.009852	-18.106	1	834.499
125	1.172883	-0.002739	-17.942	1	832.829
126	1.169579	-0.003304	-17.819	1	831.190
127	1.168325	-0.001254	-17.536	1	829.572
128	1.167456	-0.000869	-17.218	1	828.012
129	1.166827	-0.000628	-16.877	1	826.519
130	1.166827	-0.000000	-16.480	1	825.100
131	1.166827	-0.000000	-16.076	1	823.768
132	1.166827	-0.000000	-15.666	1	822.527
133	1.166827	-0.000000	-15.247	1	821.381
134	1.163321	-0.003506	-15.099	1	820.332
135	1.153046	-0.010276	-15.486	1	819.315
136	1.147503	-0.005543	-15.507	1	818.196
137	1.146610	-0.000893	-15.157	1	817.065
138	1.141736	-0.004874	-15.120	1	816.017
139	1.120503	-0.021233	-16.400	1	814.972
140	1.107914	-0.012589	-17.012	1	813.602
141	1.101060	-0.006854	-17.174	1	812.076
142	1.096707	-0.004353	-17.137	1	810.504
143	1.090058	-0.006649	-17.288	1	808.934
144	1.084395	-0.005663	-17.362	1	807.321
