"","samples","cluster","frac_cluster","max_frac","strain","lat","long","geo"
"1","NIC1862","A",1e-05,0.301308,"NIC1862",14.843986,-61.214646,"Caribbean"
"2","QG800","A",0.113396,0.317444,"QG800",9.158057,-79.834221,"Central America"
"3","NIC1290","A",1e-05,0.325819,"NIC1290",3.605792988,-53.17799502,"South America"
"4","JU2750","A",1e-05,0.337759,"JU2750",16.1761,-61.6951,"Caribbean"
"5","QG942","A",1e-05,0.36635,"QG942",9.144538,-79.854772,"Central America"
"6","NIC1856","A",1e-05,0.367767,"NIC1856",14.674356,-61.095002,"Caribbean"
"7","QG3856","A",0.330864,0.370804,"QG3856",10.42540556,-84.00121667,"Central America"
"8","NIC1257","A",1e-05,0.374232,"NIC1257",4.085349999,-52.68294297,"South America"
"9","NIC57","A",1e-05,0.383859,"NIC57",4.08658,-52.67928,"South America"
"10","QG3795","A",0.131256,0.38401,"QG3795",10.42608333,-84.0092,"Central America"
"11","QG3547","A",0.076991,0.404674,"QG3547",10.42551667,-84.01403333,"Central America"
"12","NIC917","A",1.1e-05,0.414467,"NIC917",4.03446,-52.67816,"South America"
"13","NIC988","A",1e-05,0.418228,"NIC988",4.03726,-52.67243,"South America"
"14","NIC1393","A",1e-05,0.425826,"NIC1393",3.621482989,-53.21409596,"South America"
"15","NIC987","A",1e-05,0.428909,"NIC987",4.03726,-52.67243,"South America"
"16","NIC2363","A",1e-05,0.441129,"NIC2363",4.037193032,-52.67742399,"South America"
"17","NIC1157","A",1e-05,0.442186,"NIC1157",-12.990649,-69.507455,"South America"
"18","QG3024","A",0.047828,0.449212,"QG3024",9.1584,-79.84555,"Central America"
"19","JU1635","A",1e-05,0.454981,"JU1635",17.121,-25.0492,"Africa"
"20","NIC1156","A",1e-05,0.457543,"NIC1156",-12.990649,-69.507455,"South America"
"21","NIC2355","A",1e-05,0.464518,"NIC2355",4.041457996,-52.676275,"South America"
"22","HPT56","A",1e-05,0.466683,"HPT56",-8.52582,115.167492,"Indonesia"
"23","QG840","A",1e-05,0.469692,"QG840",9.161421,-79.837195,"Central America"
"24","JU1976","A",0.083417,0.471565,"JU1976",-2.96,-59.84,"South America"
"25","NIC443","A",1e-05,0.475331,"NIC443",4.08447,-52.67858,"South America"
"26","NIC1556","A",1e-05,0.47585,"NIC1556",25.02132,121.73295,"Taiwan"
"27","NIC1560","A",1e-05,0.475929,"NIC1560",25.01519,121.73311,"Taiwan"
"28","NIC1694","A",1e-05,0.476174,"NIC1694",25.02177,121.58537,"Taiwan"
"29","QG3522","A",0.477599,0.477599,"QG3522",10.42974,-84.00938,"Central America"
"30","QG3800","A",0.477781,0.477781,"QG3800",10.42974,-84.00938,"Central America"
"31","TWN2103","A",1e-05,0.477882,"TWN2103",25.16666667,121.5166667,"Taiwan"
"32","NIC407","A",1e-05,0.481685,"NIC407",5.41418,-53.65416,"South America"
"33","QG3808","A",0.483112,0.483112,"QG3808",10.43288,-84.00678,"Central America"
"34","NIC1432","A",1e-05,0.487156,"NIC1432",4.087813022,-52.67992197,"South America"
"35","JU3170","A",1e-05,0.491552,"JU3170",0.289,6.612,"Africa"
"36","QG2716","A",1e-05,0.492129,"QG2716",9.16835,-79.839279,"Central America"
"37","NIC479","A",1e-05,0.493255,"NIC479",4.08631,-52.67243,"South America"
"38","NIC1355","A",1e-05,0.494172,"NIC1355",4.057417978,-52.67890298,"South America"
"39","JU1819","A",1e-05,0.494851,"JU1819",4.08805,-52.675667,"South America"
"40","NIC2375","A",0.007551,0.497542,"NIC2375",4.042458963,-52.67848103,"South America"
"41","JU2505","A",0.502171,0.502171,"JU2505",10.4708,-84.6452,"Central America"
"42","NIC51","A",1e-05,0.503901,"NIC51",4.08729,-52.68139,"South America"
"43","JU1975","A",1e-05,0.507179,"JU1975",-2.96,-59.84,"South America"
"44","NIC773","A",1e-05,0.511237,"NIC773",15.3456,-61.30918,"Caribbean"
"45","NIC1192","A",1.1e-05,0.511255,"NIC1192",-12.849763,-69.45771201,"South America"
"46","NIC1163","A",1e-05,0.512551,"NIC1163",-12.875965,-69.49581496,"South America"
"47","QG3793","A",0.110535,0.516475,"QG3793",10.42583333,-84.00995,"Central America"
"48","NIC2373","A",1e-05,0.517875,"NIC2373",4.042470027,-52.67842798,"South America"
"49","NIC363","A",1e-05,0.520042,"NIC363",4.95234,-52.49148,"South America"
"50","NIC920","A",1e-05,0.52078,"NIC920",4.04232,-52.68144,"South America"
"51","NIC417","A",1e-05,0.523048,"NIC417",4.07829,-52.68732,"South America"
"52","JU2752","A",1e-05,0.523111,"JU2752",16.1761,-61.6951,"Caribbean"
"53","NIC2365","A",1e-05,0.523434,"NIC2365",4.038977036,-52.667358,"South America"
"54","NIC420","A",1e-05,0.523847,"NIC420",5.41089,-53.6565,"South America"
"55","JU1846","A",1e-05,0.526814,"JU1846",4.0911,-52.674633,"South America"
"56","NIC1433","A",1e-05,0.529284,"NIC1433",4.055725001,-52.67804501,"South America"
"57","NIC99","A",1e-05,0.530706,"NIC99",4.08747,-52.67394,"South America"
"58","NIC1376","A",1e-05,0.530971,"NIC1376",4.083392993,-52.68151998,"South America"
"59","QG3850","A",0.531842,0.531842,"QG3850",10.42972,-84.00718,"Central America"
"60","QG3828","A",0.414845,0.532415,"QG3828",10.42346389,-84.00128333,"Central America"
"61","QG3880","A",0.532888,0.532888,"QG3880",10.43089,-84.00684,"Central America"
"62","NIC1950","A",1e-05,0.534023,"NIC1950",14.743477,-61.095204,"Caribbean"
"63","NIC1679","A",1e-05,0.534499,"NIC1679",22.08922,120.84876,"Taiwan"
"64","QG3529","A",0.538598,0.538598,"QG3529",10.43288,-84.00678,"Central America"
"65","NIC1126","A",1.9e-05,0.540102,"NIC1126",-12.874715,-69.49602501,"South America"
"66","QG3848","A",0.458436,0.541302,"QG3848",10.43082,-84.01138,"Central America"
"67","NIC94","A",1e-05,0.5452,"NIC94",4.08747,-52.67394,"South America"
"68","NIC58","A",1e-05,0.548527,"NIC58",4.08731,-52.67866,"South America"
"69","NIC478","A",1e-05,0.548895,"NIC478",4.08855,-52.67645,"South America"
"70","ECA790","A",1e-05,0.554347,"ECA790",22.053952,-159.367837,"Hawaii"
"71","ECA794","A",1e-05,0.554463,"ECA794",22.053952,-159.367837,"Hawaii"
"72","NIC312","A",1e-05,0.557116,"NIC312",4.03892,-52.67656,"South America"
"73","NIC945","A",1e-05,0.557666,"NIC945",4.03707,-52.6772,"South America"
"74","NIC1383","A",1e-05,0.55956,"NIC1383",4.038909981,-52.673385,"South America"
"75","NIC1976","A",1e-05,0.559672,"NIC1976",14.67639,-61.090457,"Caribbean"
"76","NIC894","A",1e-05,0.561057,"NIC894",22.01967,121.57357,"Taiwan"
"77","NIC895","A",1e-05,0.561057,"NIC895",22.01967,121.57357,"Taiwan"
"78","NIC469","A",1e-05,0.561584,"NIC469",4.0883,-52.67541,"South America"
"79","NIC898","A",1e-05,0.563552,"NIC898",22.01967,121.57357,"Taiwan"
"80","NIC492","A",1.1e-05,0.56473,"NIC492",4.0864,-52.67639,"South America"
"81","NIC907","A",1e-05,0.565134,"NIC907",4.04842,-52.67683,"South America"
"82","QG4870","A",1e-05,0.566404,"QG4870",6.9204,158.2633,"Micronesia"
"83","QG4871","A",1e-05,0.566404,"QG4871",6.9204,158.2633,"Micronesia"
"84","QG4892","A",1e-05,0.566635,"QG4892",6.9204,158.2633,"Micronesia"
"85","QG4740","A",1e-05,0.566672,"QG4740",6.9204,158.2633,"Micronesia"
"86","NIC413","A",1e-05,0.567734,"NIC413",4.07244,-52.69034,"South America"
"87","NIC1555","A",1e-05,0.568409,"NIC1555",25.02132,121.73295,"Taiwan"
"88","NIC1886","A",1e-05,0.569766,"NIC1886",14.705951,-61.092991,"Caribbean"
"89","NIC114","A",1e-05,0.569932,"NIC114",16.0435,-61.643,"Caribbean"
"90","NIC944","A",1e-05,0.572903,"NIC944",4.03799,-52.6772,"South America"
"91","JU1849","A",1e-05,0.575614,"JU1849",4.086683,-52.68165,"South America"
"92","NIC940","A",1e-05,0.576919,"NIC940",4.03091,-52.68124,"South America"
"93","NIC55","A",1e-05,0.583094,"NIC55",4.08225,-52.67965,"South America"
"94","JU1835","A",1e-05,0.585004,"JU1835",4.085783,-52.6791,"South America"
"95","QG3514","A",0.240348,0.58612,"QG3514",10.43089,-84.00684,"Central America"
"96","NIC929","A",1e-05,0.590619,"NIC929",4.04027,-52.67537,"South America"
"97","NIC1477","A",1.1e-05,0.593186,"NIC1477",4.086242002,-52.67756699,"South America"
"98","NIC1028","A",1e-05,0.594503,"NIC1028",4.03896,-52.66843,"South America"
"99","NIC1927","A",1e-05,0.597081,"NIC1927",14.719237,-61.100187,"Caribbean"
"100","NIC939","A",1e-05,0.598484,"NIC939",4.03128,-52.68028,"South America"
"101","NIC925","A",1e-05,0.599243,"NIC925",4.03975,-52.67435,"South America"
"102","NIC393","A",1e-05,0.59927,"NIC393",4.04701,-52.67817,"South America"
"103","NIC1651","A",1.1e-05,0.601615,"NIC1651",25.02814,121.74912,"Taiwan"
"104","QG3818","A",0.198096,0.602322,"QG3818",10.4262,-84.0013167,"Central America"
"105","QG3863","A",0.603068,0.603068,"QG3863",10.42974,-84.00938,"Central America"
"106","NIC1338","A",1e-05,0.603942,"NIC1338",4.048259994,-52.67714798,"South America"
"107","NIC359","A",1e-05,0.605925,"NIC359",4.0911,-52.68536,"South America"
"108","NIC1341","A",1e-05,0.60658,"NIC1341",4.047429012,-52.67763203,"South America"
"109","ECA806","A",1e-05,0.609699,"ECA806",20.813647,-156.118573,"Hawaii"
"110","NIC2362","A",1e-05,0.609964,"NIC2362",4.038404971,-52.677023,"South America"
"111","JU1845","A",1e-05,0.610369,"JU1845",4.089583,-52.67705,"South America"
"112","NIC2367","A",1e-05,0.618338,"NIC2367",4.038957004,-52.66788497,"South America"
"113","NIC1928","A",1e-05,0.631905,"NIC1928",14.719237,-61.100187,"Caribbean"
"114","NIC384","A",1e-05,0.63264,"NIC384",4.06126,-52.67946,"South America"
"115","NIC314","A",1e-05,0.634359,"NIC314",4.03715,-52.67214,"South America"
"116","NIC955","A",1e-05,0.63913,"NIC955",4.04973,-52.67652,"South America"
"117","NIC1386","A",1e-05,0.639565,"NIC1386",3.602447016,-53.19164,"South America"
"118","QG3786","A",0.641115,0.641115,"QG3786",10.42963,-84.00833,"Central America"
"119","NIC436","A",1e-05,0.644451,"NIC436",4.08678,-52.67515,"South America"
"120","NIC1328","A",1e-05,0.646769,"NIC1328",4.048613962,-52.676549,"South America"
"121","JU1847","A",1e-05,0.646978,"JU1847",4.090833,-52.67465,"South America"
"122","NIC1188","A",1e-05,0.64705,"NIC1188",-12.88252903,-69.48456,"South America"
"123","NIC551","A",1e-05,0.648157,"NIC551",15.56923,-61.3744,"Caribbean"
"124","NIC535","A",1e-05,0.649071,"NIC535",15.23686,-61.34787,"Caribbean"
"125","QG3845","A",0.651005,0.651005,"QG3845",10.43082,-84.01138,"Central America"
"126","QG3799","A",0.651767,0.651767,"QG3799",10.43008,-84.00894,"Central America"
"127","NIC454","A",1e-05,0.653831,"NIC454",4.08318,-52.68343,"South America"
"128","NIC461","A",1e-05,0.653831,"NIC461",4.08318,-52.68343,"South America"
"129","NIC540","A",1e-05,0.654335,"NIC540",15.23686,-61.34787,"Caribbean"
"130","NIC1879","A",1e-05,0.656689,"NIC1879",14.746073,-61.086543,"Caribbean"
"131","NIC1929","A",1e-05,0.658096,"NIC1929",14.670499,-61.09485,"Caribbean"
"132","NIC983","A",1e-05,0.663194,"NIC983",4.03848,-52.67002,"South America"
"133","NIC56","A",1e-05,0.668599,"NIC56",4.08263,-52.67992,"South America"
"134","NIC1381","A",1e-05,0.670578,"NIC1381",4.039456984,-52.67586404,"South America"
"135","QG131","A",1e-05,0.672454,"QG131",22.22955,-159.4764,"Hawaii"
"136","NIC746","A",1e-05,0.672476,"NIC746",15.31929,-61.30588,"Caribbean"
"137","NIC458","A",1e-05,0.672912,"NIC458",4.08141,-52.68219,"South America"
"138","NIC424","A",1e-05,0.67473,"NIC424",5.41432,-53.65382,"South America"
"139","QG3868","A",0.2474,0.674765,"QG3868",10.43888,-84.01353,"Central America"
"140","NIC589","A",1e-05,0.675542,"NIC589",15.40528,-61.34618,"Caribbean"
"141","NIC1939","A",0.105576,0.676037,"NIC1939",14.80577,-61.147328,"Caribbean"
"142","NIC1177","A",1e-05,0.677945,"NIC1177",-12.881345,-69.49006297,"South America"
"143","QG3877","A",0.680811,0.680811,"QG3877",10.43008,-84.00894,"Central America"
"144","NIC2366","A",1e-05,0.680877,"NIC2366",4.038928002,-52.66763904,"South America"
"145","NIC1476","A",1e-05,0.681525,"NIC1476",4.086242002,-52.67756699,"South America"
"146","NIC459","A",1e-05,0.683241,"NIC459",4.08161,-52.68424,"South America"
"147","QG823","A",1e-05,0.685203,"QG823",9.152413,-79.850852,"Central America"
"148","QG5305","A",1e-05,0.686234,"QG5305",6.9194,158.271,"Micronesia"
"149","QG3831","A",0.195852,0.686552,"QG3831",10.43182,-84.01499,"Central America"
"150","QG3871","A",0.694583,0.694583,"QG3871",10.44027,-84.01227,"Central America"
"151","NIC1422","A",1e-05,0.696159,"NIC1422",3.639726033,-53.20330401,"South America"
"152","QG4646","A",1e-05,0.699346,"QG4646",6.8567,158.2236,"Micronesia"
