"","samples","cluster","frac_cluster","max_frac","strain","lat","long","geo"
"1","NIC1382","A",1e-05,0.374311,"NIC1382",4.038440008,-52.67334703,"South America"
"2","NIC492","A",0.162563,0.389333,"NIC492",4.0864,-52.67639,"South America"
"3","JU2750","A",1e-05,0.3915,"JU2750",16.1761,-61.6951,"Caribbean"
"4","NIC944","A",1e-05,0.409426,"NIC944",4.03799,-52.6772,"South America"
"5","NIC384","A",1e-05,0.41793,"NIC384",4.06126,-52.67946,"South America"
"6","NIC1592","A",1e-05,0.421629,"NIC1592",24.68622,121.13734,"Taiwan"
"7","NIC1594","A",1e-05,0.421805,"NIC1594",24.68622,121.13734,"Taiwan"
"8","JU2752","A",1e-05,0.444197,"JU2752",16.1761,-61.6951,"Caribbean"
"9","NIC496","A",0.103991,0.464489,"NIC496",4.08803,-52.67552,"South America"
"10","QG3880","A",1e-05,0.465269,"QG3880",10.43089,-84.00684,"Central America"
"11","NIC1170","A",1e-05,0.470318,"NIC1170",-12.87956603,-69.49155604,"South America"
"12","NIC986","A",1e-05,0.472528,"NIC986",4.03726,-52.67243,"South America"
"13","ECA790","A",1e-05,0.481049,"ECA790",22.053952,-159.367837,"Hawaii"
"14","ECA794","A",1e-05,0.481301,"ECA794",22.053952,-159.367837,"Hawaii"
"15","NIC1430","A",0.045977,0.487809,"NIC1430",4.049461037,-52.67627399,"South America"
"16","QG3024","A",1e-05,0.490381,"QG3024",9.1584,-79.84555,"Central America"
"17","QG3789","A",1e-05,0.492362,"QG3789",10.42608333,-84.0092,"Central America"
"18","NIC1862","A",1e-05,0.493504,"NIC1862",14.843986,-61.214646,"Caribbean"
"19","NIC1950","A",1e-05,0.495143,"NIC1950",14.743477,-61.095204,"Caribbean"
"20","NIC1419","A",0.498635,0.498635,"NIC1419",3.603130979,-53.19263603,"South America"
"21","QG2716","A",0.197368,0.503981,"QG2716",9.16835,-79.839279,"Central America"
"22","NIC1188","A",0.483882,0.515858,"NIC1188",-12.88252903,-69.48456,"South America"
"23","NIC478","A",1e-05,0.516765,"NIC478",4.08855,-52.67645,"South America"
"24","NIC1476","A",0.518262,0.518262,"NIC1476",4.086242002,-52.67756699,"South America"
"25","NIC1136","A",1e-05,0.518635,"NIC1136",-12.872141,-69.49788203,"South America"
"26","NIC443","A",0.230059,0.522199,"NIC443",4.08447,-52.67858,"South America"
"27","NIC1257","A",1e-05,0.523044,"NIC1257",4.085349999,-52.68294297,"South America"
"28","NIC125","A",1e-05,0.524179,"NIC125",16.0207,-61.597,"Caribbean"
"29","QG4870","A",1e-05,0.531618,"QG4870",6.9204,158.2633,"Micronesia"
"30","QG4871","A",1e-05,0.53162,"QG4871",6.9204,158.2633,"Micronesia"
"31","QG4892","A",1e-05,0.531901,"QG4892",6.9204,158.2633,"Micronesia"
"32","QG4740","A",1e-05,0.531915,"QG4740",6.9204,158.2633,"Micronesia"
"33","NIC280","A",1e-05,0.537897,"NIC280",4.08711,-52.67839,"South America"
"34","QG3795","A",1e-05,0.54394,"QG3795",10.42608333,-84.0092,"Central America"
"35","QG3799","A",1e-05,0.552647,"QG3799",10.43008,-84.00894,"Central America"
"36","QG3522","A",1e-05,0.552663,"QG3522",10.42974,-84.00938,"Central America"
"37","NIC1927","A",1e-05,0.566476,"NIC1927",14.719237,-61.100187,"Caribbean"
"38","QG853","A",1e-05,0.568303,"QG853",9.159372,-79.835975,"Central America"
"39","NIC56","A",0.166435,0.569131,"NIC56",4.08263,-52.67992,"South America"
"40","NIC1856","A",1e-05,0.570829,"NIC1856",14.674356,-61.095002,"Caribbean"
"41","NIC458","A",0.164915,0.57612,"NIC458",4.08141,-52.68219,"South America"
"42","NIC1651","A",1e-05,0.577603,"NIC1651",25.02814,121.74912,"Taiwan"
"43","NIC469","A",1e-05,0.580442,"NIC469",4.0883,-52.67541,"South America"
"44","NIC420","A",0.583387,0.583387,"NIC420",5.41089,-53.6565,"South America"
"45","QG3514","A",1e-05,0.583716,"QG3514",10.43089,-84.00684,"Central America"
"46","JU1635","A",1e-05,0.584273,"JU1635",17.121,-25.0492,"Africa"
"47","NIC424","A",1e-05,0.585385,"NIC424",5.41432,-53.65382,"South America"
"48","NIC1912","A",1e-05,0.586891,"NIC1912",14.724882,-61.105406,"Caribbean"
"49","NIC2360","A",1e-05,0.590826,"NIC2360",4.03893102,-52.67661296,"South America"
"50","NIC1555","A",1e-05,0.5943,"NIC1555",25.02132,121.73295,"Taiwan"
"51","QG800","A",1e-05,0.595259,"QG800",9.158057,-79.834221,"Central America"
"52","NIC1157","A",0.595674,0.595674,"NIC1157",-12.990649,-69.507455,"South America"
"53","QG131","A",1e-05,0.599571,"QG131",22.22955,-159.4764,"Hawaii"
"54","NIC1338","A",1e-05,0.60156,"NIC1338",4.048259994,-52.67714798,"South America"
"55","NIC1156","A",0.6031,0.6031,"NIC1156",-12.990649,-69.507455,"South America"
"56","QG3856","A",1e-05,0.603183,"QG3856",10.42540556,-84.00121667,"Central America"
"57","ECA806","A",1e-05,0.603209,"ECA806",20.813647,-156.118573,"Hawaii"
"58","QG2726","A",1e-05,0.604157,"QG2726",9.1598,-79.8399,"Central America"
"59","NIC193","A",1e-05,0.604895,"NIC193",16.0207,-61.597,"Caribbean"
"60","NIC85","A",0.097277,0.605666,"NIC85",4.08533,-52.6751,"South America"
"61","NIC249","A",1e-05,0.605727,"NIC249",16.0207,-61.597,"Caribbean"
"62","QG840","A",1e-05,0.605994,"QG840",9.161421,-79.837195,"Central America"
"63","NIC2355","A",0.198907,0.614443,"NIC2355",4.041457996,-52.676275,"South America"
"64","BRC20391","A",1e-05,0.62207,"BRC20391",25.016672,121.557423,"Taiwan"
"65","NIC1359","A",0.375709,0.624031,"NIC1359",4.053170029,-52.67738703,"South America"
"66","QG3863","A",1e-05,0.626234,"QG3863",10.42974,-84.00938,"Central America"
"67","NIC479","A",0.071924,0.632185,"NIC479",4.08631,-52.67243,"South America"
"68","NIC441","A",0.634036,0.634036,"NIC441",4.08399,-52.67769,"South America"
"69","NIC2375","A",1e-05,0.63521,"NIC2375",4.042458963,-52.67848103,"South America"
"70","NIC773","A",1e-05,0.635273,"NIC773",15.3456,-61.30918,"Caribbean"
"71","QG3529","A",1e-05,0.635784,"QG3529",10.43288,-84.00678,"Central America"
"72","NIC129","A",1.5e-05,0.636697,"NIC129",16.0207,-61.597,"Caribbean"
"73","NIC1886","A",1e-05,0.637646,"NIC1886",14.705951,-61.092991,"Caribbean"
"74","NIC1393","A",1e-05,0.639259,"NIC1393",3.621482989,-53.21409596,"South America"
"75","QG3821","A",1e-05,0.642206,"QG3821",10.42540556,-84.00121667,"Central America"
"76","QG3547","A",1e-05,0.643729,"QG3547",10.42551667,-84.01403333,"Central America"
"77","NIC1563","A",1e-05,0.6439,"NIC1563",25.00481,121.73369,"Taiwan"
