"","samples","cluster","frac_cluster","max_frac","strain","lat","long","geo","Lineage"
"1","NIC2373","A",1e-05,0.280246,"NIC2373",4.042470027,-52.67842798,"South America","LAC"
"2","NIC1257","A",1e-05,0.333054,"NIC1257",4.085349999,-52.68294297,"South America","LAC"
"3","NIC1156","A",0.060701,0.337824,"NIC1156",-12.990649,-69.507455,"South America","LAC"
"4","NIC1157","A",0.056057,0.342072,"NIC1157",-12.990649,-69.507455,"South America","LAC"
"5","NIC479","A",1e-05,0.381306,"NIC479",4.08631,-52.67243,"South America","LAC"
"6","NIC933","A",1e-05,0.385421,"NIC933",4.04237,-52.68256,"South America","LAC"
"7","NIC350","A",1e-05,0.387042,"NIC350",4.0903,-52.6842,"South America","LAC"
"8","NIC1886","A",1e-05,0.390869,"NIC1886",14.705951,-61.092991,"Caribbean","LAC"
"9","NIC413","A",1e-05,0.398268,"NIC413",4.07244,-52.69034,"South America","LAC"
"10","NIC443","A",1e-05,0.398514,"NIC443",4.08447,-52.67858,"South America","LAC"
"11","QG3789","A",1e-05,0.40157,"QG3789",10.42608333,-84.0092,"Central America","LAC"
"12","JU1849","A",1e-05,0.404595,"JU1849",4.086683,-52.68165,"South America","LAC"
"13","NIC436","A",1e-05,0.40557,"NIC436",4.08678,-52.67515,"South America","LAC"
"14","NIC57","A",1e-05,0.411047,"NIC57",4.08658,-52.67928,"South America","LAC"
"15","JU2752","A",1e-05,0.416442,"JU2752",16.1761,-61.6951,"Caribbean","LAC"
"16","NIC424","A",1e-05,0.431724,"NIC424",5.41432,-53.65382,"South America","LAC"
"17","QG3818","A",1e-05,0.435586,"QG3818",10.4262,-84.0013167,"Central America","LAC"
"18","NIC363","A",1e-05,0.437843,"NIC363",4.95234,-52.49148,"South America","LAC"
"19","QG2896","A",1e-05,0.439976,"QG2896",-16.10295,145.44645,"Australia","Au"
"20","QG2897","A",1e-05,0.440076,"QG2897",-16.10295,145.44645,"Australia","Au"
"21","QG2904","A",1e-05,0.440185,"QG2904",-16.10365,145.447317,"Australia","Au"
"22","QG2905","A",1e-05,0.440185,"QG2905",-16.10365,145.447317,"Australia","Au"
"23","BRC20391","A",0.191456,0.44042,"BRC20391",25.016672,121.557423,"Taiwan","Tw5"
"24","QG2898","A",1e-05,0.441522,"QG2898",-16.103617,145.4467,"Australia","Au"
"25","QG2899","A",1e-05,0.441612,"QG2899",-16.103617,145.4467,"Australia","Au"
"26","NIC1341","A",1e-05,0.446475,"NIC1341",4.047429012,-52.67763203,"South America","LAC"
"27","NIC51","A",1e-05,0.448038,"NIC51",4.08729,-52.68139,"South America","LAC"
"28","NIC2355","A",1e-05,0.448114,"NIC2355",4.041457996,-52.676275,"South America","LAC"
"29","NIC1563","A",0.18793,0.451529,"NIC1563",25.00481,121.73369,"Taiwan","Tw5"
"30","NIC1337","A",1e-05,0.454801,"NIC1337",4.048613962,-52.676549,"South America","LAC"
"31","NIC1962","A",1e-05,0.461157,"NIC1962",14.744117,-61.093023,"Caribbean","LAC"
