"","samples","cluster","frac_cluster","max_frac","strain","lat","long","geo","Lineage"
"1","NIC1862","A",1e-05,0.301308,"NIC1862",14.843986,-61.214646,"Caribbean","LAC"
"2","QG800","A",0.113396,0.317444,"QG800",9.158057,-79.834221,"Central America","LAC"
"3","NIC1290","A",1e-05,0.325819,"NIC1290",3.605792988,-53.17799502,"South America","LAC"
"4","JU2750","A",1e-05,0.337759,"JU2750",16.1761,-61.6951,"Caribbean","LAC"
"5","QG942","A",1e-05,0.36635,"QG942",9.144538,-79.854772,"Central America","LAC"
"6","NIC1856","A",1e-05,0.367767,"NIC1856",14.674356,-61.095002,"Caribbean","LAC"
"7","QG3856","A",0.330864,0.370804,"QG3856",10.42540556,-84.00121667,"Central America","LAC"
"8","NIC1257","A",1e-05,0.374232,"NIC1257",4.085349999,-52.68294297,"South America","LAC"
"9","NIC57","A",1e-05,0.383859,"NIC57",4.08658,-52.67928,"South America","LAC"
"10","QG3795","A",0.131256,0.38401,"QG3795",10.42608333,-84.0092,"Central America","LAC"
"11","QG3547","A",0.076991,0.404674,"QG3547",10.42551667,-84.01403333,"Central America","LAC"
"12","NIC917","A",1.1e-05,0.414467,"NIC917",4.03446,-52.67816,"South America","LAC"
"13","NIC988","A",1e-05,0.418228,"NIC988",4.03726,-52.67243,"South America","LAC"
"14","NIC1393","A",1e-05,0.425826,"NIC1393",3.621482989,-53.21409596,"South America","LAC"
"15","NIC987","A",1e-05,0.428909,"NIC987",4.03726,-52.67243,"South America","LAC"
"16","NIC2363","A",1e-05,0.441129,"NIC2363",4.037193032,-52.67742399,"South America","LAC"
"17","NIC1157","A",1e-05,0.442186,"NIC1157",-12.990649,-69.507455,"South America","LAC"
"18","QG3024","A",0.047828,0.449212,"QG3024",9.1584,-79.84555,"Central America","LAC"
"19","JU1635","A",1e-05,0.454981,"JU1635",17.121,-25.0492,"Africa","LAC"
"20","NIC1156","A",1e-05,0.457543,"NIC1156",-12.990649,-69.507455,"South America","LAC"
"21","NIC2355","A",1e-05,0.464518,"NIC2355",4.041457996,-52.676275,"South America","LAC"
"22","HPT56","A",1e-05,0.466683,"HPT56",-8.52582,115.167492,"Indonesia","Indo1"
"23","QG840","A",1e-05,0.469692,"QG840",9.161421,-79.837195,"Central America","LAC"
"24","JU1976","A",0.083417,0.471565,"JU1976",-2.96,-59.84,"South America","LAC"
"25","NIC443","A",1e-05,0.475331,"NIC443",4.08447,-52.67858,"South America","LAC"
"26","NIC1556","A",1e-05,0.47585,"NIC1556",25.02132,121.73295,"Taiwan","Tw2"
"27","NIC1560","A",1e-05,0.475929,"NIC1560",25.01519,121.73311,"Taiwan","Tw2"
"28","NIC1694","A",1e-05,0.476174,"NIC1694",25.02177,121.58537,"Taiwan","Tw2"
"29","QG3522","A",0.477599,0.477599,"QG3522",10.42974,-84.00938,"Central America","LAC"
"30","QG3800","A",0.477781,0.477781,"QG3800",10.42974,-84.00938,"Central America","LAC"
"31","TWN2103","A",1e-05,0.477882,"TWN2103",25.16666667,121.5166667,"Taiwan","Tw2"
"32","NIC407","A",1e-05,0.481685,"NIC407",5.41418,-53.65416,"South America","LAC"
"33","QG3808","A",0.483112,0.483112,"QG3808",10.43288,-84.00678,"Central America","LAC"
"34","NIC1432","A",1e-05,0.487156,"NIC1432",4.087813022,-52.67992197,"South America","LAC"
"35","JU3170","A",1e-05,0.491552,"JU3170",0.289,6.612,"Africa","Af"
"36","QG2716","A",1e-05,0.492129,"QG2716",9.16835,-79.839279,"Central America","LAC"
"37","NIC479","A",1e-05,0.493255,"NIC479",4.08631,-52.67243,"South America","LAC"
"38","NIC1355","A",1e-05,0.494172,"NIC1355",4.057417978,-52.67890298,"South America","LAC"
"39","JU1819","A",1e-05,0.494851,"JU1819",4.08805,-52.675667,"South America","LAC"
"40","NIC2375","A",0.007551,0.497542,"NIC2375",4.042458963,-52.67848103,"South America","LAC"
"41","JU2505","A",0.502171,0.502171,"JU2505",10.4708,-84.6452,"Central America","LAC"
"42","NIC51","A",1e-05,0.503901,"NIC51",4.08729,-52.68139,"South America","LAC"
"43","JU1975","A",1e-05,0.507179,"JU1975",-2.96,-59.84,"South America","LAC"
"44","NIC773","A",1e-05,0.511237,"NIC773",15.3456,-61.30918,"Caribbean","LAC"
"45","NIC1192","A",1.1e-05,0.511255,"NIC1192",-12.849763,-69.45771201,"South America","LAC"
"46","NIC1163","A",1e-05,0.512551,"NIC1163",-12.875965,-69.49581496,"South America","LAC"
"47","QG3793","A",0.110535,0.516475,"QG3793",10.42583333,-84.00995,"Central America","LAC"
"48","NIC2373","A",1e-05,0.517875,"NIC2373",4.042470027,-52.67842798,"South America","LAC"
"49","NIC363","A",1e-05,0.520042,"NIC363",4.95234,-52.49148,"South America","LAC"
"50","NIC920","A",1e-05,0.52078,"NIC920",4.04232,-52.68144,"South America","LAC"
"51","NIC417","A",1e-05,0.523048,"NIC417",4.07829,-52.68732,"South America","LAC"
"52","JU2752","A",1e-05,0.523111,"JU2752",16.1761,-61.6951,"Caribbean","LAC"
"53","NIC2365","A",1e-05,0.523434,"NIC2365",4.038977036,-52.667358,"South America","LAC"
"54","NIC420","A",1e-05,0.523847,"NIC420",5.41089,-53.6565,"South America","LAC"
"55","JU1846","A",1e-05,0.526814,"JU1846",4.0911,-52.674633,"South America","LAC"
"56","NIC1433","A",1e-05,0.529284,"NIC1433",4.055725001,-52.67804501,"South America","LAC"
"57","NIC99","A",1e-05,0.530706,"NIC99",4.08747,-52.67394,"South America","LAC"
"58","NIC1376","A",1e-05,0.530971,"NIC1376",4.083392993,-52.68151998,"South America","LAC"
"59","QG3850","A",0.531842,0.531842,"QG3850",10.42972,-84.00718,"Central America","LAC"
"60","QG3828","A",0.414845,0.532415,"QG3828",10.42346389,-84.00128333,"Central America","LAC"
"61","QG3880","A",0.532888,0.532888,"QG3880",10.43089,-84.00684,"Central America","LAC"
"62","NIC1950","A",1e-05,0.534023,"NIC1950",14.743477,-61.095204,"Caribbean","HC"
"63","NIC1679","A",1e-05,0.534499,"NIC1679",22.08922,120.84876,"Taiwan","Tw7"
"64","QG3529","A",0.538598,0.538598,"QG3529",10.43288,-84.00678,"Central America","LAC"
"65","NIC1126","A",1.9e-05,0.540102,"NIC1126",-12.874715,-69.49602501,"South America","LAC"
