"","samples","cluster","frac_cluster","max_frac","strain","lat","long","geo","Lineage"
"1","NIC920","A",0.001051,0.317213,"NIC920",4.04232,-52.68144,"South America","LAC"
"2","NIC1594","A",1e-05,0.326541,"NIC1594",24.68622,121.13734,"Taiwan","Tw6"
"3","NIC1592","A",1e-05,0.326604,"NIC1592",24.68622,121.13734,"Taiwan","Tw6"
"4","ECA794","A",1e-05,0.344725,"ECA794",22.053952,-159.367837,"Hawaii","HC"
"5","ECA790","A",1e-05,0.345147,"ECA790",22.053952,-159.367837,"Hawaii","HC"
"6","QG3871","A",1e-05,0.354254,"QG3871",10.44027,-84.01227,"Central America","LAC"
"7","NIC1382","A",1e-05,0.357197,"NIC1382",4.038440008,-52.67334703,"South America","LAC"
"8","NIC1862","A",0.296074,0.359876,"NIC1862",14.843986,-61.214646,"Caribbean","LAC"
"9","QG131","A",1e-05,0.362953,"QG131",22.22955,-159.4764,"Hawaii","HC"
"10","JU2750","A",0.240924,0.368563,"JU2750",16.1761,-61.6951,"Caribbean","LAC"
"11","NIC907","A",1e-05,0.372206,"NIC907",4.04842,-52.67683,"South America","LAC"
"12","NIC988","A",1e-05,0.39713,"NIC988",4.03726,-52.67243,"South America","LAC"
"13","NIC933","A",1e-05,0.398714,"NIC933",4.04237,-52.68256,"South America","LAC"
"14","NIC934","A",0.14193,0.405989,"NIC934",4.04783,-52.67766,"South America","LAC"
"15","NIC987","A",1e-05,0.407862,"NIC987",4.03726,-52.67243,"South America","LAC"
"16","NIC479","A",1e-05,0.408164,"NIC479",4.08631,-52.67243,"South America","LAC"
"17","NIC2373","A",1e-05,0.416431,"NIC2373",4.042470027,-52.67842798,"South America","LAC"
"18","NIC929","A",1e-05,0.420119,"NIC929",4.04027,-52.67537,"South America","LAC"
"19","NIC1257","A",0.119346,0.427302,"NIC1257",4.085349999,-52.68294297,"South America","LAC"
"20","NIC1290","A",1e-05,0.428819,"NIC1290",3.605792988,-53.17799502,"South America","LAC"
"21","NIC1341","A",1e-05,0.441255,"NIC1341",4.047429012,-52.67763203,"South America","LAC"
"22","NIC917","A",0.435936,0.443677,"NIC917",4.03446,-52.67816,"South America","LAC"
"23","QG800","A",0.452088,0.452088,"QG800",9.158057,-79.834221,"Central America","LAC"
"24","NIC57","A",1e-05,0.452733,"NIC57",4.08658,-52.67928,"South America","LAC"
"25","NIC945","A",1e-05,0.457438,"NIC945",4.03707,-52.6772,"South America","LAC"
"26","QG3547","A",1.2e-05,0.460296,"QG3547",10.42551667,-84.01403333,"Central America","LAC"
"27","QG3856","A",1e-05,0.460676,"QG3856",10.42540556,-84.00121667,"Central America","LAC"
"28","NIC2355","A",1e-05,0.465947,"NIC2355",4.041457996,-52.676275,"South America","LAC"
"29","NIC407","A",1e-05,0.467822,"NIC407",5.41418,-53.65416,"South America","LAC"
"30","NIC941","A",1e-05,0.472755,"NIC941",4.03687,-52.67743,"South America","LAC"
"31","NIC1432","A",1e-05,0.475476,"NIC1432",4.087813022,-52.67992197,"South America","LAC"
"32","JU1976","A",1e-05,0.477663,"JU1976",-2.96,-59.84,"South America","LAC"
"33","NIC1927","A",0.481028,0.481028,"NIC1927",14.719237,-61.100187,"Caribbean","LAC"
"34","QG2716","A",1e-05,0.48518,"QG2716",9.16835,-79.839279,"Central America","LAC"
"35","NIC478","A",1e-05,0.48625,"NIC478",4.08855,-52.67645,"South America","LAC"
"36","NIC1028","A",1e-05,0.491686,"NIC1028",4.03896,-52.66843,"South America","LAC"
"37","QG3795","A",0.002808,0.494059,"QG3795",10.42608333,-84.0092,"Central America","LAC"
"38","QG3880","A",0.494537,0.494537,"QG3880",10.43089,-84.00684,"Central America","LAC"
"39","NIC1851","A",0.374729,0.496251,"NIC1851",14.72499,-61.105335,"Caribbean","LAC"
"40","NIC1913","A",0.368885,0.502482,"NIC1913",14.724882,-61.105406,"Caribbean","LAC"
"41","NIC492","A",1e-05,0.503119,"NIC492",4.0864,-52.67639,"South America","LAC"
"42","NIC443","A",1e-05,0.504333,"NIC443",4.08447,-52.67858,"South America","LAC"
"43","NIC193","A",0.171429,0.50436,"NIC193",16.0207,-61.597,"Caribbean","LAC"
"44","NIC2365","A",1e-05,0.505176,"NIC2365",4.038977036,-52.667358,"South America","LAC"
"45","NIC125","A",0.494468,0.505263,"NIC125",16.0207,-61.597,"Caribbean","LAC"
"46","NIC1355","A",1e-05,0.50611,"NIC1355",4.057417978,-52.67890298,"South America","LAC"
"47","NIC249","A",0.16872,0.507557,"NIC249",16.0207,-61.597,"Caribbean","LAC"
"48","JU1849","A",1e-05,0.509036,"JU1849",4.086683,-52.68165,"South America","LAC"
