"","samples","cluster","frac_cluster","max_frac","strain","lat","long","geo","Lineage"
"1","NIC940","A",0.244016,0.270104,"NIC940",4.03091,-52.68124,"South America","LAC"
"2","QG800","A",1e-05,0.308249,"QG800",9.158057,-79.834221,"Central America","LAC"
"3","QG3828","A",1e-05,0.334838,"QG3828",10.42346389,-84.00128333,"Central America","LAC"
"4","NIC1341","A",1e-05,0.353191,"NIC1341",4.047429012,-52.67763203,"South America","LAC"
"5","NIC1290","A",1e-05,0.381495,"NIC1290",3.605792988,-53.17799502,"South America","LAC"
"6","QG3793","A",1e-05,0.385249,"QG3793",10.42583333,-84.00995,"Central America","LAC"
"7","NIC436","A",0.308977,0.386241,"NIC436",4.08678,-52.67515,"South America","LAC"
"8","NIC479","A",0.217898,0.390492,"NIC479",4.08631,-52.67243,"South America","LAC"
"9","NIC907","A",1e-05,0.390757,"NIC907",4.04842,-52.67683,"South America","LAC"
"10","NIC929","A",0.091144,0.405007,"NIC929",4.04027,-52.67537,"South America","LAC"
"11","QG2896","A",1e-05,0.411544,"QG2896",-16.10295,145.44645,"Australia","Au"
"12","QG2897","A",1e-05,0.411671,"QG2897",-16.10295,145.44645,"Australia","Au"
"13","QG2904","A",1e-05,0.411853,"QG2904",-16.10365,145.447317,"Australia","Au"
"14","QG2905","A",1e-05,0.411853,"QG2905",-16.10365,145.447317,"Australia","Au"
"15","QG2898","A",1e-05,0.413523,"QG2898",-16.103617,145.4467,"Australia","Au"
"16","NIC426","A",1e-05,0.413719,"NIC426",5.41125,-53.65478,"South America","LAC"
"17","QG2899","A",1e-05,0.413788,"QG2899",-16.103617,145.4467,"Australia","Au"
"18","NIC986","A",0.395378,0.41756,"NIC986",4.03726,-52.67243,"South America","LAC"
"19","NIC2355","A",1e-05,0.418349,"NIC2355",4.041457996,-52.676275,"South America","LAC"
"20","QG3514","A",1e-05,0.425385,"QG3514",10.43089,-84.00684,"Central America","LAC"
"21","NIC2373","A",1e-05,0.437755,"NIC2373",4.042470027,-52.67842798,"South America","LAC"
"22","HPT56","A",1e-05,0.442802,"HPT56",-8.52582,115.167492,"Indonesia","Indo1"
"23","QG823","A",1e-05,0.443058,"QG823",9.152413,-79.850852,"Central America","LAC"
"24","JU2505","A",1e-05,0.443474,"JU2505",10.4708,-84.6452,"Central America","LAC"
"25","NIC407","A",0.450198,0.453668,"NIC407",5.41418,-53.65416,"South America","LAC"
"26","NIC1422","A",0.043232,0.454825,"NIC1422",3.639726033,-53.20330401,"South America","LAC"
"27","NIC443","A",1e-05,0.454853,"NIC443",4.08447,-52.67858,"South America","LAC"
"28","NIC450","A",0.381907,0.459602,"NIC450",4.08926,-52.67607,"South America","LAC"
"29","NIC55","A",0.152176,0.461384,"NIC55",4.08225,-52.67965,"South America","LAC"
"30","NIC933","A",1.5e-05,0.461479,"NIC933",4.04237,-52.68256,"South America","LAC"
"31","NIC314","A",0.464385,0.464385,"NIC314",4.03715,-52.67214,"South America","LAC"
"32","NIC363","A",0.125201,0.466026,"NIC363",4.95234,-52.49148,"South America","LAC"
"33","NIC1927","A",1e-05,0.475928,"NIC1927",14.719237,-61.100187,"Caribbean","LAC"
"34","NIC945","A",1e-05,0.480245,"NIC945",4.03707,-52.6772,"South America","LAC"
"35","NIC1862","A",1e-05,0.4867,"NIC1862",14.843986,-61.214646,"Caribbean","LAC"
"36","QG840","A",1e-05,0.491565,"QG840",9.161421,-79.837195,"Central America","LAC"
"37","QG3848","A",1e-05,0.493663,"QG3848",10.43082,-84.01138,"Central America","LAC"
"38","QG2716","A",1e-05,0.49414,"QG2716",9.16835,-79.839279,"Central America","LAC"
"39","NIC1004","A",0.184737,0.497259,"NIC1004",4.03896,-52.66843,"South America","LAC"
"40","NIC454","A",0.502214,0.502214,"NIC454",4.08318,-52.68343,"South America","LAC"
"41","NIC461","A",0.502214,0.502214,"NIC461",4.08318,-52.68343,"South America","LAC"
"42","JU2750","A",1e-05,0.508351,"JU2750",16.1761,-61.6951,"Caribbean","LAC"
"43","QG4824","A",1e-05,0.517816,"QG4824",6.8569,158.2207,"Micronesia","Mic1"
"44","QG5654","A",1e-05,0.518391,"QG5654",6.8569,158.2207,"Micronesia","Mic1"
"45","QG4817","A",1e-05,0.518926,"QG4817",6.8569,158.2207,"Micronesia","Mic1"
"46","QG4702","A",1e-05,0.519193,"QG4702",6.8569,158.2207,"Micronesia","Mic1"
"47","NIC1856","A",1e-05,0.51985,"NIC1856",14.674356,-61.095002,"Caribbean","LAC"
"48","NIC1950","A",1e-05,0.521173,"NIC1950",14.743477,-61.095204,"Caribbean","HC"
"49","HPT33","A",1e-05,0.52639,"HPT33",-5.2563,119.86386,"Indonesia","Indo3"
"50","JU1838","A",0.114627,0.529975,"JU1838",4.085517,-52.681917,"South America","LAC"
"51","QG3843","A",1e-05,0.532024,"QG3843",10.42963,-84.00833,"Central America","LAC"
"52","QG3785","A",1e-05,0.532523,"QG3785",10.43082,-84.01138,"Central America","LAC"
"53","NIC1679","A",1e-05,0.534279,"NIC1679",22.08922,120.84876,"Taiwan","Tw7"
"54","NIC1028","A",1e-05,0.546397,"NIC1028",4.03896,-52.66843,"South America","LAC"
"55","QG3821","A",1e-05,0.548952,"QG3821",10.42540556,-84.00121667,"Central America","LAC"
"56","NIC417","A",0.330113,0.55451,"NIC417",4.07829,-52.68732,"South America","LAC"
"57","NIC339","A",0.557856,0.557856,"NIC339",5.41305,-53.65004,"South America","LAC"
"58","NIC1376","A",0.330515,0.564278,"NIC1376",4.083392993,-52.68151998,"South America","LAC"
"59","NIC1433","A",0.328766,0.565295,"NIC1433",4.055725001,-52.67804501,"South America","LAC"
"60","NIC408","A",0.567463,0.567463,"NIC408",5.40848,-53.65181,"South America","LAC"
"61","NIC57","A",0.570277,0.570277,"NIC57",4.08658,-52.67928,"South America","LAC"
"62","QG3522","A",1e-05,0.575393,"QG3522",10.42974,-84.00938,"Central America","LAC"
"63","QG3529","A",1e-05,0.578853,"QG3529",10.43288,-84.00678,"Central America","LAC"
"64","QG3863","A",1e-05,0.578997,"QG3863",10.42974,-84.00938,"Central America","LAC"
"65","NIC1188","A",1e-05,0.579456,"NIC1188",-12.88252903,-69.48456,"South America","LAC"
"66","NIC1355","A",1e-05,0.581453,"NIC1355",4.057417978,-52.67890298,"South America","LAC"
"67","NIC1651","A",1e-05,0.581661,"NIC1651",25.02814,121.74912,"Taiwan","Tw3"
"68","NIC944","A",1e-05,0.581917,"NIC944",4.03799,-52.6772,"South America","LAC"
"69","QG3856","A",1e-05,0.582437,"QG3856",10.42540556,-84.00121667,"Central America","LAC"
"70","NIC1555","A",1e-05,0.584641,"NIC1555",25.02132,121.73295,"Taiwan","Tw3"
"71","NIC1392","A",0.587778,0.587778,"NIC1392",3.601659033,-53.190647,"South America","LAC"
"72","QG3547","A",1e-05,0.595798,"QG3547",10.42551667,-84.01403333,"Central America","LAC"
"73","ECA806","A",1e-05,0.599355,"ECA806",20.813647,-156.118573,"Hawaii","Af"
"74","NIC1393","A",1e-05,0.600334,"NIC1393",3.621482989,-53.21409596,"South America","LAC"
"75","QG3880","A",1e-05,0.602503,"QG3880",10.43089,-84.00684,"Central America","LAC"
"76","NIC1432","A",1e-05,0.612754,"NIC1432",4.087813022,-52.67992197,"South America","LAC"
"77","JU1976","A",1e-05,0.620313,"JU1976",-2.96,-59.84,"South America","LAC"
"78","NIC1886","A",1e-05,0.62033,"NIC1886",14.705951,-61.092991,"Caribbean","LAC"
"79","NIC1177","A",1.7e-05,0.622795,"NIC1177",-12.881345,-69.49006297,"South America","LAC"
"80","NIC1381","A",0.235068,0.629542,"NIC1381",4.039456984,-52.67586404,"South America","LAC"
"81","QG942","A",1e-05,0.630295,"QG942",9.144538,-79.854772,"Central America","LAC"
"82","NIC1257","A",0.630739,0.630739,"NIC1257",4.085349999,-52.68294297,"South America","LAC"
"83","QG3834","A",1e-05,0.633314,"QG3834",10.42972,-84.00718,"Central America","LAC"
"84","NIC1939","A",1e-05,0.636777,"NIC1939",14.80577,-61.147328,"Caribbean","LAC"
"85","QG3845","A",1e-05,0.639553,"QG3845",10.43082,-84.01138,"Central America","LAC"
"86","QG3024","A",1e-05,0.639689,"QG3024",9.1584,-79.84555,"Central America","LAC"
"87","QG3850","A",1e-05,0.639982,"QG3850",10.42972,-84.00718,"Central America","LAC"
"88","EG6180","A",1e-05,0.640657,"EG6180",18.3,-65.8,"Caribbean","LAC"
"89","JU1819","A",0.173899,0.643655,"JU1819",4.08805,-52.675667,"South America","LAC"
"90","QG3818","A",1e-05,0.646952,"QG3818",10.4262,-84.0013167,"Central America","LAC"
"91","NIC1556","A",1e-05,0.64803,"NIC1556",25.02132,121.73295,"Taiwan","Tw2"
"92","NIC1560","A",1e-05,0.648048,"NIC1560",25.01519,121.73311,"Taiwan","Tw2"
"93","NIC1694","A",1e-05,0.648383,"NIC1694",25.02177,121.58537,"Taiwan","Tw2"
"94","TWN2103","A",1e-05,0.649489,"TWN2103",25.16666667,121.5166667,"Taiwan","Tw2"
"95","QG3786","A",1e-05,0.650206,"QG3786",10.42963,-84.00833,"Central America","LAC"
"96","NIC1192","A",1e-05,0.663855,"NIC1192",-12.849763,-69.45771201,"South America","LAC"
"97","NIC1476","A",0.123694,0.666291,"NIC1476",4.086242002,-52.67756699,"South America","LAC"
"98","NIC1126","A",1e-05,0.669373,"NIC1126",-12.874715,-69.49602501,"South America","LAC"
"99","JU1849","A",0.672641,0.672641,"JU1849",4.086683,-52.68165,"South America","LAC"
"100","NIC2365","A",1e-05,0.67345,"NIC2365",4.038977036,-52.667358,"South America","LAC"
"101","NIC1163","A",1e-05,0.675491,"NIC1163",-12.875965,-69.49581496,"South America","LAC"
"102","NIC1928","A",1e-05,0.675919,"NIC1928",14.719237,-61.100187,"Caribbean","HC"
"103","QG3799","A",1e-05,0.683053,"QG3799",10.43008,-84.00894,"Central America","LAC"
"104","NIC905","A",0.070725,0.688548,"NIC905",4.03799,-52.67317,"South America","LAC"
"105","NIC1038","A",0.172991,0.689156,"NIC1038",4.03896,-52.66843,"South America","LAC"
"106","NIC312","A",1e-05,0.690083,"NIC312",4.03892,-52.67656,"South America","LAC"
"107","NIC952","A",0.17181,0.690447,"NIC952",4.03894,-52.66867,"South America","LAC"
"108","QG3868","A",1e-05,0.693549,"QG3868",10.43888,-84.01353,"Central America","LAC"
"109","QG3831","A",1e-05,0.694387,"QG3831",10.43182,-84.01499,"Central America","LAC"
"110","NIC424","A",1e-05,0.696068,"NIC424",5.41432,-53.65382,"South America","LAC"
"111","NIC1372","A",0.053352,0.697041,"NIC1372",4.081040025,-52.68228097,"South America","LAC"
"112","NIC2362","A",1e-05,0.697791,"NIC2362",4.038404971,-52.677023,"South America","LAC"
"113","JU1635","A",1e-05,0.699276,"JU1635",17.121,-25.0492,"Africa","LAC"
"114","NIC925","A",1e-05,0.69991,"NIC925",4.03975,-52.67435,"South America","LAC"
"115","NIC2360","A",1e-05,0.700214,"NIC2360",4.03893102,-52.67661296,"South America","LAC"
"116","NIC1419","A",1e-05,0.70313,"NIC1419",3.603130979,-53.19263603,"South America","LAC"
"117","NIC459","A",0.296502,0.703238,"NIC459",4.08161,-52.68424,"South America","LAC"
"118","NIC413","A",0.704763,0.704763,"NIC413",4.07244,-52.69034,"South America","LAC"
"119","QG3521","A",1e-05,0.704894,"QG3521",10.42643333,-84.01193333,"Central America","LAC"
"120","NIC920","A",1.2e-05,0.708863,"NIC920",4.04232,-52.68144,"South America","LAC"
"121","NIC1277","A",0.710917,0.710917,"NIC1277",3.607720993,-53.19995603,"South America","LAC"
"122","QG3877","A",1e-05,0.711978,"QG3877",10.43008,-84.00894,"Central America","LAC"
"123","NIC359","A",0.714173,0.714173,"NIC359",4.0911,-52.68536,"South America","LAC"
"124","QG3795","A",1e-05,0.715688,"QG3795",10.42608333,-84.0092,"Central America","LAC"
"125","NIC94","A",0.715948,0.715948,"NIC94",4.08747,-52.67394,"South America","LAC"
"126","JU2752","A",1e-05,0.716024,"JU2752",16.1761,-61.6951,"Caribbean","LAC"
"127","NIC2375","A",1e-05,0.71707,"NIC2375",4.042458963,-52.67848103,"South America","LAC"
"128","NIC953","A",1e-05,0.71782,"NIC953",4.03828,-52.6715,"South America","LAC"
"129","NIC193","A",1e-05,0.719962,"NIC193",16.0207,-61.597,"Caribbean","LAC"
"130","NIC249","A",1e-05,0.721398,"NIC249",16.0207,-61.597,"Caribbean","LAC"
"131","QG3543","A",0.135079,0.723743,"QG3543",10.42641667,-84.01201667,"Central America","LAC"
"132","NIC917","A",1e-05,0.724748,"NIC917",4.03446,-52.67816,"South America","LAC"
