"","samples","cluster","frac_cluster","max_frac","strain","lat","long","geo","Lineage"
"1","QG3871","A",1e-05,0.298567,"QG3871",10.44027,-84.01227,"Central America","LAC"
"2","NIC1862","A",1e-05,0.325874,"NIC1862",14.843986,-61.214646,"Caribbean","LAC"
"3","NIC1927","A",1e-05,0.3642,"NIC1927",14.719237,-61.100187,"Caribbean","LAC"
"4","QG3793","A",1e-05,0.372592,"QG3793",10.42583333,-84.00995,"Central America","LAC"
"5","NIC1157","A",1e-05,0.381579,"NIC1157",-12.990649,-69.507455,"South America","LAC"
"6","NIC443","A",1e-05,0.39687,"NIC443",4.08447,-52.67858,"South America","LAC"
"7","NIC1156","A",1e-05,0.40499,"NIC1156",-12.990649,-69.507455,"South America","LAC"
"8","NIC940","A",1e-05,0.410591,"NIC940",4.03091,-52.68124,"South America","LAC"
"9","NIC479","A",1e-05,0.449212,"NIC479",4.08631,-52.67243,"South America","LAC"
"10","NIC416","A",1e-05,0.450216,"NIC416",4.03714,-52.67109,"South America","LAC"
"11","NIC436","A",1e-05,0.451499,"NIC436",4.08678,-52.67515,"South America","LAC"
"12","NIC965","A",1e-05,0.453705,"NIC965",4.03701,-52.67172,"South America","LAC"
"13","NIC927","A",1e-05,0.454695,"NIC927",4.04213,-52.68083,"South America","LAC"
"14","NIC1422","A",1e-05,0.457952,"NIC1422",3.639726033,-53.20330401,"South America","LAC"
"15","NIC917","A",1e-05,0.45993,"NIC917",4.03446,-52.67816,"South America","LAC"
"16","NIC961","A",1e-05,0.46423,"NIC961",4.03726,-52.67143,"South America","LAC"
"17","QG3800","A",1e-05,0.466702,"QG3800",10.42974,-84.00938,"Central America","LAC"
"18","JU2752","A",1e-05,0.469989,"JU2752",16.1761,-61.6951,"Caribbean","LAC"
"19","ECA790","A",1e-05,0.47202,"ECA790",22.053952,-159.367837,"Hawaii","HC"
"20","ECA794","A",1e-05,0.472193,"ECA794",22.053952,-159.367837,"Hawaii","HC"
"21","NIC1856","A",1e-05,0.47405,"NIC1856",14.674356,-61.095002,"Caribbean","LAC"
"22","QG3808","A",1e-05,0.475101,"QG3808",10.43288,-84.00678,"Central America","LAC"
"23","JU1819","A",1e-05,0.475995,"JU1819",4.08805,-52.675667,"South America","LAC"
"24","NIC407","A",1e-05,0.48037,"NIC407",5.41418,-53.65416,"South America","LAC"
"25","QG3828","A",1e-05,0.482156,"QG3828",10.42346389,-84.00128333,"Central America","LAC"
"26","NIC909","A",1e-05,0.485566,"NIC909",4.03955,-52.67374,"South America","LAC"
"27","NIC422","A",1e-05,0.500697,"NIC422",4.03943,-52.67587,"South America","LAC"
"28","QG3850","A",1e-05,0.505705,"QG3850",10.42972,-84.00718,"Central America","LAC"
"29","NIC389","A",1e-05,0.510603,"NIC389",5.29111,-53.05539,"South America","LAC"
"30","QG3529","A",1e-05,0.514039,"QG3529",10.43288,-84.00678,"Central America","LAC"
"31","NIC99","A",1e-05,0.51578,"NIC99",4.08747,-52.67394,"South America","LAC"
"32","NIC1886","A",1e-05,0.518105,"NIC1886",14.705951,-61.092991,"Caribbean","LAC"
"33","JU1846","A",1e-05,0.519764,"JU1846",4.0911,-52.674633,"South America","LAC"
"34","NIC2360","A",1e-05,0.522003,"NIC2360",4.03893102,-52.67661296,"South America","LAC"
"35","QG800","A",1e-05,0.52636,"QG800",9.158057,-79.834221,"Central America","LAC"
"36","NIC989","A",1e-05,0.527762,"NIC989",4.03713,-52.67196,"South America","LAC"
"37","NIC57","A",1e-05,0.528879,"NIC57",4.08658,-52.67928,"South America","LAC"
"38","NIC1950","A",1e-05,0.530021,"NIC1950",14.743477,-61.095204,"Caribbean","HC"
"39","QG4871","A",1e-05,0.531662,"QG4871",6.9204,158.2633,"Micronesia","Mic2"
"40","QG4870","A",1e-05,0.531663,"QG4870",6.9204,158.2633,"Micronesia","Mic2"
"41","QG4892","A",1e-05,0.531937,"QG4892",6.9204,158.2633,"Micronesia","Mic2"
"42","QG4740","A",1e-05,0.531958,"QG4740",6.9204,158.2633,"Micronesia","Mic2"
"43","NIC1004","A",1e-05,0.532334,"NIC1004",4.03896,-52.66843,"South America","LAC"
"44","NIC413","A",1e-05,0.534716,"NIC413",4.07244,-52.69034,"South America","LAC"
"45","NIC249","A",1e-05,0.535552,"NIC249",16.0207,-61.597,"Caribbean","LAC"
"46","NIC193","A",1e-05,0.536374,"NIC193",16.0207,-61.597,"Caribbean","LAC"
"47","NIC1338","A",1e-05,0.543382,"NIC1338",4.048259994,-52.67714798,"South America","LAC"
"48","NIC988","A",1e-05,0.545038,"NIC988",4.03726,-52.67243,"South America","LAC"
"49","NIC359","A",1e-05,0.546372,"NIC359",4.0911,-52.68536,"South America","LAC"
"50","NIC1432","A",1e-05,0.546979,"NIC1432",4.087813022,-52.67992197,"South America","LAC"
"51","NIC2375","A",1e-05,0.547706,"NIC2375",4.042458963,-52.67848103,"South America","LAC"
"52","JU2750","A",1e-05,0.548219,"JU2750",16.1761,-61.6951,"Caribbean","LAC"
"53","NIC1392","A",1e-05,0.548483,"NIC1392",3.601659033,-53.190647,"South America","LAC"
"54","QG3880","A",1e-05,0.549656,"QG3880",10.43089,-84.00684,"Central America","LAC"
"55","NIC1477","A",1e-05,0.551459,"NIC1477",4.086242002,-52.67756699,"South America","LAC"
"56","NIC987","A",1e-05,0.552226,"NIC987",4.03726,-52.67243,"South America","LAC"
"57","NIC2373","A",1e-05,0.552748,"NIC2373",4.042470027,-52.67842798,"South America","LAC"
"58","NIC469","A",1e-05,0.564767,"NIC469",4.0883,-52.67541,"South America","LAC"
"59","NIC934","A",1e-05,0.566255,"NIC934",4.04783,-52.67766,"South America","LAC"
"60","QG3856","A",1e-05,0.56694,"QG3856",10.42540556,-84.00121667,"Central America","LAC"
"61","QG3848","A",1e-05,0.568972,"QG3848",10.43082,-84.01138,"Central America","LAC"
"62","NIC773","A",1e-05,0.569433,"NIC773",15.3456,-61.30918,"Caribbean","LAC"
"63","NIC387","A",1e-05,0.571821,"NIC387",4.03671,-52.67728,"South America","LAC"
"64","NIC907","A",1e-05,0.577203,"NIC907",4.04842,-52.67683,"South America","LAC"
"65","NIC1651","A",0.577632,0.577632,"NIC1651",25.02814,121.74912,"Taiwan","Tw3"
"66","HPT33","A",1e-05,0.583194,"HPT33",-5.2563,119.86386,"Indonesia","Indo3"
