species,species_id_method,strain,isotype,previous_names,release,source_lab,latitude,longitude,landscape,locality_description,substrate,substrate_comments,substrate_temp,ambient_temp,ambient_humidity,associated_organism,sampled_by,isolated_by,sampling_date,notes,strain_set,issues,issue_notes,isotype_ref_strain,sequenced
Caenorhabditis tropicalis,ITS2,BRC20391,BRC20391,,20210901,BRC,25.016672,121.557423,Forest,,Rotting_nut/pod/seed/fruit,Figs (Ficus fistulosa),,,,,M. Chen,J. Wang,2015-10-23,,,False,,True,True
Caenorhabditis tropicalis,ITS2,BRC20400,BRC20400,,20210901,BRC,25.016672,121.557423,Forest,,Rotting_nut/pod/seed/fruit,Figs (Ficus fistulosa),,,,,M. Chen,J. Wang,2015-10-23,BRC20400 and BRC20401 are independent isolates from same sample,,False,,True,True
Caenorhabditis tropicalis,ITS2,BRC20464,BRC20464,,20210901,BRC,24.822726,121.735653,Forest,,Rotting_nut/pod/seed/fruit,"Figs, rotting on the ground",,,,,J. Wang,J. Wang,2016-01-30,,,False,,True,True
Caenorhabditis tropicalis,ITS2,BRC20548,BRC20548,,20210901,BRC,22.753556,120.731306,Forest,,Rotting_nut/pod/seed/fruit,Figs,,,,,V.-D. Dang,J. Wang,2020-05-29,,,False,,True,True
Caenorhabditis tropicalis,,ECA1299,ECA1299,,20210901,ECA,21.34198,-157.8095,Forest,Oahu,Rotting_nut/pod/seed/fruit,"Rotting, Fruit",24.0,21.9,,,T. Crombie,G. Zhang,2018-11-02,,,False,,True,True
Caenorhabditis tropicalis,,ECA1300,ECA1300,,20210901,ECA,21.34202,-157.8096,Forest,Oahu,Rotting_nut/pod/seed/fruit,"Rotting, Fruit",24.0,22.2,,,T. Crombie,N. Roberto,2018-11-02,,,False,,True,True
Caenorhabditis tropicalis,,ECA1301,ECA1301,,20210901,ECA,21.34202,-157.8096,Forest,Oahu,Rotting_nut/pod/seed/fruit,"Rotting, Fruit",24.0,22.2,,,T. Crombie,N. Roberto,2018-11-02,,,False,,True,True
Caenorhabditis tropicalis,,ECA1302,ECA1302,,20210901,ECA,21.34202,-157.8096,Forest,Oahu,Rotting_nut/pod/seed/fruit,"Rotting, Fruit",24.0,22.2,,,T. Crombie,N. Roberto,2018-11-02,,,False,,True,True
Caenorhabditis tropicalis,,ECA1303,ECA1303,,20210901,ECA,21.34202,-157.8096,Forest,Oahu,Rotting_nut/pod/seed/fruit,"Rotting, Fruit",24.0,22.2,,,T. Crombie,N. Roberto,2018-11-02,,,False,,True,True
Caenorhabditis tropicalis,,ECA1304,ECA1304,,20210901,ECA,21.34202,-157.8096,Forest,Oahu,Rotting_nut/pod/seed/fruit,"Rotting, Fruit",24.0,22.2,,,T. Crombie,N. Roberto,2018-11-02,,,False,,True,True
Caenorhabditis tropicalis,,ECA1305,ECA1305,,20210901,ECA,21.34091,-157.822,Forest,Oahu,Rotting_nut/pod/seed/fruit,"Rotting, Fruit",23.3,22.3,,,T. Crombie,R. Tanny,2018-11-02,,,False,,True,True
Caenorhabditis tropicalis,,ECA1306,ECA1306,,20210901,ECA,21.34293,-157.8239,Forest,Oahu,Rotting_flower,"Rotting, Flower",24.0,23.2,,,T. Crombie,G. Zhang,2018-11-02,,,False,,True,True
Caenorhabditis tropicalis,,ECA1307,ECA1307,,20210901,ECA,21.34198,-157.8095,Forest,Oahu,Rotting_nut/pod/seed/fruit,"Rotting, Fruit",24.0,21.9,,,T. Crombie,G. Zhang,2018-11-02,,D,False,,True,True
Caenorhabditis tropicalis,,ECA1309,ECA1306,,20210901,ECA,21.34293,-157.8239,Forest,Oahu,Rotting_flower,"Rotting, Flower",24.0,23.2,,,T. Crombie,G. Zhang,2018-11-02,,,False,,False,True
Caenorhabditis tropicalis,,ECA1310,ECA1310,,20210901,ECA,21.34293,-157.8239,Forest,Oahu,Rotting_flower,"Rotting, Flower",24.0,23.2,,,T. Crombie,G. Zhang,2018-11-02,,,False,,True,True
