group	strain	isotype	isotype_ref_strain
216	NIC1425	NIC1425	NIC1425
217	NIC1430	NIC1430	NIC1430
218	NIC1470	NIC1470	NIC1470
218	NIC1471	NIC1470	NIC1470
218	NIC1472	NIC1470	NIC1470
218	NIC1473	NIC1470	NIC1470
218	NIC1474	NIC1470	NIC1470
219	NIC1475	NIC1477	NIC1477
219	NIC1477	NIC1477	NIC1477
220	NIC1476	NIC1476	NIC1476
221	NIC1478	NIC1478	NIC1478
222	NIC1514	NIC1514	NIC1514
223	NIC1526	NIC1526	NIC1526
224	NIC1531	NIC1531	NIC1531
225	NIC1534	NIC1534	NIC1534
226	NIC1541	NIC1541	NIC1541
227	NIC1542	NIC1542	NIC1542
228	NIC1543	NIC1543	NIC1543
229	NIC1544	NIC1544	NIC1544
230	NIC1545	NIC1545	NIC1545
231	NIC1546	NIC1546	NIC1546
232	NIC1547	NIC1547	NIC1547
233	NIC1548	NIC1548	NIC1548
234	NIC1549	NIC1549	NIC1549
235	NIC1550	NIC1550	NIC1550
236	NIC1551	NIC1551	NIC1551
237	NIC1553	NIC1553	NIC1553
238	NIC1555	NIC1555	NIC1555
239	NIC1556	NIC1556	NIC1556
240	NIC1557	NIC1557	NIC1557
240	NIC1558	NIC1557	NIC1557
241	NIC1559	NIC1559	NIC1559
242	NIC1560	NIC1560	NIC1560
243	NIC1561	NIC1561	NIC1561
244	NIC1563	NIC1563	NIC1563
245	NIC1564	NIC1564	NIC1564
246	NIC1565	NIC1565	NIC1565
247	NIC1583	NIC1583	NIC1583
248	NIC1584	NIC1584	NIC1584
249	NIC1585	NIC1585	NIC1585
250	NIC1586	NIC1586	NIC1586
251	NIC1587	NIC1587	NIC1587
252	NIC1588	NIC1588	NIC1588
253	NIC1592	NIC1592	NIC1592
254	NIC1594	NIC1594	NIC1594
255	NIC1596	NIC1596	NIC1596
256	NIC1603	NIC1603	NIC1603
257	NIC1644	NIC1644	NIC1644
258	NIC1646	NIC1646	NIC1646
259	NIC1647	NIC1647	NIC1647
260	NIC1648	NIC1648	NIC1648
261	NIC1649	NIC1649	NIC1649
262	NIC1650	NIC1650	NIC1650
263	NIC1651	NIC1651	NIC1651
264	NIC1653	NIC1653	NIC1653
265	NIC1656	NIC1656	NIC1656
266	NIC1657	NIC1657	NIC1657
267	NIC1658	NIC1658	NIC1658
268	NIC1679	NIC1679	NIC1679
269	NIC1694	NIC1694	NIC1694
270	NIC1837	NIC1846	NIC1846
270	NIC1846	NIC1846	NIC1846
270	NIC1848	NIC1846	NIC1846
271	NIC1851	NIC1851	NIC1851
272	NIC1855	NIC1855	NIC1855
273	NIC1856	NIC1856	NIC1856
274	NIC1862	NIC1862	NIC1862
275	NIC1877	NIC1877	NIC1877
275	NIC1878	NIC1877	NIC1877
275	NIC1960	NIC1877	NIC1877
275	NIC1961	NIC1877	NIC1877
276	NIC1879	NIC1879	NIC1879
277	NIC1881	NIC1881	NIC1881
278	NIC1886	NIC1886	NIC1886
279	NIC1911	NIC1911	NIC1911
280	NIC1912	NIC1912	NIC1912
281	NIC1913	NIC1913	NIC1913
282	NIC1914	NIC1914	NIC1914
283	NIC1915	NIC1915	NIC1915
284	NIC1916	NIC1916	NIC1916
285	NIC1917	NIC1917	NIC1917
286	NIC1918	NIC1918	NIC1918
287	NIC1919	NIC1919	NIC1919
288	NIC192	NIC192	NIC192
289	NIC1927	NIC1927	NIC1927
290	NIC1928	NIC1928	NIC1928
291	NIC1929	NIC1929	NIC1929
291	NIC1930	NIC1929	NIC1929
292	NIC193	NIC193	NIC193
293	NIC1938	NIC1939	NIC1939
293	NIC1939	NIC1939	NIC1939
294	NIC1940	NIC1941	NIC1941
294	NIC1941	NIC1941	NIC1941
295	NIC1950	NIC1950	NIC1950
296	NIC1962	NIC1962	NIC1962
297	NIC1976	NIC1976	NIC1976
298	NIC203	NIC203	NIC203
299	NIC2355	NIC2355	NIC2355
300	NIC2357	NIC2357	NIC2357
301	NIC2360	NIC2360	NIC2360
302	NIC2361	NIC2361	NIC2361
303	NIC2362	NIC2362	NIC2362
304	NIC2363	NIC2363	NIC2363
305	NIC2364	NIC2364	NIC2364
306	NIC2365	NIC2365	NIC2365
307	NIC2366	NIC2366	NIC2366
308	NIC2367	NIC2367	NIC2367
309	NIC2368	NIC2368	NIC2368
310	NIC2370	NIC2371	NIC2371
310	NIC2371	NIC2371	NIC2371
311	NIC2373	NIC2373	NIC2373
312	NIC2375	NIC2375	NIC2375
313	NIC245	NIC247	NIC247
313	NIC247	NIC247	NIC247
314	NIC249	NIC249	NIC249
315	NIC280	NIC280	NIC280
316	NIC284	NIC284	NIC284
317	NIC286	NIC286	NIC286
318	NIC289	NIC294	NIC294
318	NIC294	NIC294	NIC294
319	NIC291	NIC291	NIC291
320	NIC300	NIC300	NIC300
321	NIC311	NIC311	NIC311
322	NIC312	NIC312	NIC312
323	NIC314	NIC314	NIC314
324	NIC321	NIC321	NIC321
324	NIC324	NIC321	NIC321
325	NIC322	NIC322	NIC322
326	NIC339	NIC339	NIC339
327	NIC344	NIC344	NIC344
328	NIC350	NIC350	NIC350
329	NIC354	NIC354	NIC354
329	NIC473	NIC354	NIC354
330	NIC359	NIC359	NIC359
331	NIC363	NIC363	NIC363
332	NIC365	NIC365	NIC365
333	NIC372	NIC372	NIC372
