N	eigenvalue	difference	twstat	p-value	effect.n
1	34.366571	NA	129.839	0	114.353
2	25.092169	-9.274402	126.004	0	151.533
3	17.437209	-7.654960	97.421	1.77379e-280	185.934
4	12.713656	-4.723553	65.718	2.79391e-156	207.367
5	11.521798	-1.191858	60.613	1.19178e-138	218.725
6	11.255451	-0.266348	65.069	5.33796e-154	228.976
7	10.935897	-0.319554	69.330	3.57288e-169	240.696
8	10.357964	-0.577933	70.200	2.48451e-172	253.967
9	9.876403	-0.481560	71.912	1.33355e-178	267.855
10	9.775469	-0.100934	79.620	9.46479e-208	282.659
11	9.532017	-0.243452	86.160	1.29943e-233	300.508
12	9.211619	-0.320398	92.119	4.70916e-258	321.358
13	8.222123	-0.989496	84.450	9.36291e-227	345.322
14	8.154979	-0.067143	93.794	4.55212e-265	366.891
15	7.726156	-0.428823	96.045	1.34889e-274	393.147
16	7.472785	-0.253371	102.199	3.26516e-301	421.351
17	7.289329	-0.183456	110.903	0	453.595
18	7.145476	-0.143853	122.179	0	491.780
19	6.707739	-0.437737	125.569	0	538.395
20	5.551334	-1.156405	100.733	8.51224e-295	589.360
21	5.405282	-0.146052	106.243	3.8132e-319	626.881
22	5.297846	-0.107436	113.830	0	669.073
23	5.030920	-0.266925	115.110	0	717.832
24	4.042537	-0.988383	80.165	7.27407e-210	769.479
25	3.690277	-0.352260	68.984	6.31514e-168	801.151
26	3.334537	-0.355739	55.510	9.30715e-122	827.784
27	3.237135	-0.097402	54.076	3.81993e-117	848.559
28	3.030891	-0.206245	46.307	3.1377e-93	869.101
29	3.003749	-0.027142	47.793	1.16924e-97	886.608
30	2.871334	-0.132415	43.226	2.86498e-84	905.070
31	2.655445	-0.215889	33.196	2.47361e-57	921.881
32	2.636043	-0.019401	34.148	9.80017e-60	934.892
33	2.625489	-0.010554	35.673	1.18542e-63	948.460
34	2.540195	-0.085294	32.604	7.41136e-56	962.834
35	2.438867	-0.101328	28.245	2.1194e-45	976.185
36	2.381014	-0.057853	26.350	4.28205e-41	988.024
37	2.293328	-0.087687	22.355	1.6185e-32	999.297
38	2.230380	-0.062948	19.732	2.79967e-27	1009.233
39	2.123189	-0.107191	13.980	5.35291e-17	1018.344
40	2.043870	-0.079319	9.810	1.01413e-10	1025.590
41	1.964076	-0.079794	5.410	8.52154e-06	1031.564
42	1.918679	-0.045397	3.193	0.00116985	1036.253
43	1.891920	-0.026759	2.181	0.00764724	1040.335
44	1.884346	-0.007573	2.465	0.00462813	1044.158
45	1.847709	-0.036637	0.713	0.0716522	1048.089
46	1.775195	-0.072513	-3.641	0.981204	1051.553
47	1.747649	-0.027546	-4.934	0.999641	1053.864
48	1.725164	-0.022485	-5.906	0.999996	1055.854
49	1.724315	-0.000849	-5.354	0.999936	1057.609
50	1.699755	-0.024560	-6.501	1	1059.513
51	1.661299	-0.038456	-8.689	1	1061.138
52	1.637910	-0.023389	-9.838	1	1062.230
53	1.619788	-0.018123	-10.631	1	1063.051
54	1.598668	-0.021119	-11.665	1	1063.689
55	1.592571	-0.006097	-11.616	1	1064.088
56	1.581300	-0.011271	-11.951	1	1064.501
57	1.569271	-0.012029	-12.352	1	1064.837
58	1.566579	-0.002692	-12.067	1	1065.083
59	1.551696	-0.014883	-12.689	1	1065.394
60	1.545949	-0.005747	-12.641	1	1065.564
61	1.536488	-0.009461	-12.873	1	1065.745
62	1.521099	-0.015390	-13.559	1	1065.873
63	1.510558	-0.010540	-13.894	1	1065.844
64	1.508168	-0.002391	-13.618	1	1065.739
65	1.499329	-0.008838	-13.829	1	1065.696
66	1.485252	-0.014077	-14.447	1	1065.604
67	1.470518	-0.014734	-15.130	1	1065.371
68	1.464749	-0.005769	-15.136	1	1064.984
69	1.460085	-0.004664	-15.059	1	1064.594
70	1.450091	-0.009994	-15.395	1	1064.218
71	1.440326	-0.009765	-15.721	1	1063.766
72	1.434792	-0.005534	-15.724	1	1063.239
73	1.424084	-0.010708	-16.133	1	1062.708
74	1.418086	-0.005998	-16.182	1	1062.085
75	1.398063	-0.020023	-17.336	1	1061.447
76	1.393409	-0.004653	-17.301	1	1060.555
77	1.385567	-0.007843	-17.518	1	1059.667
78	1.375757	-0.009810	-17.895	1	1058.728
79	1.368593	-0.007164	-18.071	1	1057.704
80	1.362725	-0.005868	-18.147	1	1056.639
81	1.350680	-0.012044	-18.718	1	1055.552
82	1.333577	-0.017103	-19.705	1	1054.341
83	1.328244	-0.005334	-19.766	1	1052.918
84	1.319379	-0.008865	-20.112	1	1051.478
85	1.314743	-0.004636	-20.124	1	1049.962
86	1.309818	-0.004925	-20.160	1	1048.438
87	1.308992	-0.000825	-19.867	1	1046.900
88	1.304313	-0.004679	-19.882	1	1045.418
89	1.294091	-0.010222	-20.347	1	1043.926
90	1.290715	-0.003376	-20.265	1	1042.333
91	1.284049	-0.006666	-20.449	1	1040.752
92	1.275042	-0.009008	-20.829	1	1039.127
93	1.268133	-0.006909	-21.043	1	1037.418
94	1.266721	-0.001412	-20.812	1	1035.661
95	1.259207	-0.007514	-21.078	1	1033.944
96	1.257532	-0.001675	-20.870	1	1032.167
97	1.255993	-0.001539	-20.647	1	1030.426
98	1.252898	-0.003094	-20.551	1	1028.724
99	1.245214	-0.007684	-20.833	1	1027.036
100	1.243532	-0.001682	-20.623	1	1025.284
101	1.238039	-0.005493	-20.726	1	1023.568
102	1.232134	-0.005905	-20.867	1	1021.826
103	1.230075	-0.002059	-20.690	1	1020.048
104	1.213430	-0.016646	-21.728	1	1018.300
105	1.206813	-0.006617	-21.945	1	1016.335
106	1.200672	-0.006141	-22.125	1	1014.320
107	1.198586	-0.002086	-21.969	1	1012.262
108	1.195266	-0.003320	-21.915	1	1010.229
109	1.192898	-0.002367	-21.781	1	1008.200
110	1.185964	-0.006934	-22.030	1	1006.191
111	1.178607	-0.007357	-22.319	1	1004.125
112	1.173276	-0.005331	-22.442	1	1001.995
113	1.166531	-0.006745	-22.687	1	999.833
114	1.157898	-0.008634	-23.096	1	997.617
115	1.156429	-0.001469	-22.904	1	995.313
116	1.148491	-0.007939	-23.259	1	993.040
117	1.145625	-0.002866	-23.188	1	990.691
118	1.140435	-0.005190	-23.314	1	988.349
119	1.138732	-0.001703	-23.146	1	985.975
120	1.134708	-0.004024	-23.174	1	983.626
121	1.132970	-0.001737	-23.008	1	981.265
122	1.126161	-0.006809	-23.274	1	978.929
123	1.124925	-0.001236	-23.067	1	976.533
124	1.122874	-0.002051	-22.927	1	974.172
125	1.119292	-0.003582	-22.918	1	971.830
126	1.115748	-0.003545	-22.906	1	969.483
127	1.114114	-0.001633	-22.730	1	967.130
128	1.110277	-0.003837	-22.742	1	964.806
129	1.107316	-0.002961	-22.679	1	962.472
130	1.100921	-0.006394	-22.913	1	960.142
131	1.096444	-0.004477	-22.984	1	957.760
132	1.095803	-0.000641	-22.725	1	955.356
133	1.090027	-0.005776	-22.909	1	952.995
134	1.087822	-0.002205	-22.785	1	950.591
135	1.082035	-0.005786	-22.972	1	948.204
136	1.077576	-0.004459	-23.046	1	945.773
137	1.074890	-0.002686	-22.968	1	943.320
138	1.071581	-0.003309	-22.943	1	940.874
139	1.070198	-0.001384	-22.750	1	938.426
140	1.067765	-0.002432	-22.647	1	936.009
