species,species_id_method,strain,isotype,previous_names,release,source_lab,latitude,longitude,landscape,locality_description,substrate,substrate_comments,substrate_temp,ambient_temp,ambient_humidity,associated_organism,sampled_by,isolated_by,sampling_date,notes,strain_set,issues,issue_notes,isotype_ref_strain,sequenced
Caenorhabditis briggsae,,QG576,QG581,,20210803,QG,45.5423,-74.01235,Agricultural_land,,Rotting_nut/pod/seed/fruit,"hermaphroditic wild isolate from rotten apple #5 collected on 8/12/11 in St. Joseph-du-Lac, QC: 45°32.538' N, 74°0.741'W.  Plated on 8/14/11 in NY.  Singled on 8/17/11; mated successfully to AF16",,,,,M. Bernstein,M. Bernstein,2011-08-12,"hermaphroditic wild isolate from rotten apple #5 collected on 8/12/11 in St. Joseph-du-Lac, QC: 45°32.538' N, 74°0.741'W.  Plated on 8/14/11 in NY.  Singled on 8/17/11; mated successfully to AF16",,False,,False,True
Caenorhabditis briggsae,,QG577,QG581,,20210803,QG,45.5423,-74.01235,Agricultural_land,,Rotting_nut/pod/seed/fruit,"hermaphroditic wild isolate from rotten apple #5 collected on 8/12/11 in St. Joseph-du-Lac, QC: 45°32.538' N, 74°0.741'W.  Plated on 8/14/11 in NY.  Singled on 8/17/11; mated successfully to AF16",,,,,M. Bernstein,M. Bernstein,2011-08-12,"hermaphroditic wild isolate from rotten apple #5 collected on 8/12/11 in St. Joseph-du-Lac, QC: 45°32.538' N, 74°0.741'W.  Plated on 8/14/11 in NY.  Singled on 8/17/11; mated successfully to AF16",,False,,False,True
Caenorhabditis briggsae,,QG578,QG581,,20210803,QG,45.5423,-74.01235,Agricultural_land,,Rotting_nut/pod/seed/fruit,"hermaphroditic wild isolate from rotten apple #5 collected on 8/12/11 in St. Joseph-du-Lac, QC: 45°32.538' N, 74°0.741'W.  Plated on 8/14/11 in NY.  Singled on 8/17/11; mated successfully to AF16",,,,,M. Bernstein,M. Bernstein,2011-08-12,"hermaphroditic wild isolate from rotten apple #5 collected on 8/12/11 in St. Joseph-du-Lac, QC: 45°32.538' N, 74°0.741'W.  Plated on 8/14/11 in NY.  Singled on 8/17/11; mated successfully to AF16",,False,,False,True
Caenorhabditis briggsae,,QG579,QG581,,20210803,QG,45.5423,-74.01235,Agricultural_land,,Rotting_nut/pod/seed/fruit,"hermaphroditic wild isolate from rotten apple #5 collected on 8/12/11 in St. Joseph-du-Lac, QC: 45°32.538' N, 74°0.741'W.  Plated on 8/14/11 in NY.  Singled on 8/17/11; mated successfully to AF16",,,,,M. Bernstein,M. Bernstein,2011-08-12,"hermaphroditic wild isolate from rotten apple #5 collected on 8/12/11 in St. Joseph-du-Lac, QC: 45°32.538' N, 74°0.741'W.  Plated on 8/14/11 in NY.  Singled on 8/17/11; mated successfully to AF16",,False,,False,True
Caenorhabditis briggsae,,QG580,NIC60,,20210803,QG,45.5423,-74.01235,Agricultural_land,,Rotting_nut/pod/seed/fruit,"hermaphroditic wild isolate from rotten apple #5 collected on 8/12/11 in St. Joseph-du-Lac, QC: 45°32.538' N, 74°0.741'W.  Plated on 8/14/11 in NY.  Singled on 8/17/11; mated successfully to AF16",,,,,M. Bernstein,M. Bernstein,2011-08-12,"hermaphroditic wild isolate from rotten apple #5 collected on 8/12/11 in St. Joseph-du-Lac, QC: 45°32.538' N, 74°0.741'W.  Plated on 8/14/11 in NY.  Singled on 8/17/11; mated successfully to AF16",,False,,False,True
Caenorhabditis briggsae,,QG581,QG581,,20210803,QG,45.5423,-74.01235,Agricultural_land,,Rotting_nut/pod/seed/fruit,"hermaphroditic wild isolate from rotten apple #5 collected on 8/12/11 in St. Joseph-du-Lac, QC: 45°32.538' N, 74°0.741'W.  Plated on 8/14/11 in NY.  Singled on 8/17/11; mated successfully to AF16",,,,,M. Bernstein,M. Bernstein,2011-08-12,"hermaphroditic wild isolate from rotten apple #5 collected on 8/12/11 in St. Joseph-du-Lac, QC: 45°32.538' N, 74°0.741'W.  Plated on 8/14/11 in NY.  Singled on 8/17/11; mated successfully to AF16",,False,,True,True
Caenorhabditis briggsae,,QG584,QG588,,20210803,QG,41.52503056,-70.67271389,Urban_garden,"on the ground in the park just south of Lilly Lab at MBL, Woods Hole, MA",Rotting_nut/pod/seed/fruit,"isolated from two rotting fruits (rose hips?) on the ground in the park just south of Lilly Lab at MBL, Woods Hole, MA: 41°31.30.11''N, 70°40'21.77''W, collected 8/11/11, plated 8/12/11. Adult singled 8/14/11. Frozen, never bleached, 8/26/11. Species identity confirmed by cross to C. briggsae AF16.",,,,,M. Rockman,M. Rockman,2011-08-11,"isolated from two rotting fruits (rose hips?) on the ground in the park just south of Lilly Lab at MBL, Woods Hole, MA: 41°31.30.11''N, 70°40'21.77''W, collected 8/11/11, plated 8/12/11. Adult singled 8/14/11. Frozen, never bleached, 8/26/11. Species identity confirmed by cross to C. briggsae AF16.",,False,,False,True
Caenorhabditis briggsae,,QG585,QG588,,20210803,QG,41.52503056,-70.67271389,Urban_garden,"on the ground in the park just south of Lilly Lab at MBL, Woods Hole, MA",Rotting_nut/pod/seed/fruit,"isolated from two rotting fruits (rose hips?) on the ground in the park just south of Lilly Lab at MBL, Woods Hole, MA: 41°31.30.11''N, 70°40'21.77''W, collected 8/11/11, plated 8/12/11. Adult singled 8/14/11. Frozen, never bleached, 8/26/11.",,,,,M. Rockman,M. Rockman,2011-08-11,"isolated from two rotting fruits (rose hips?) on the ground in the park just south of Lilly Lab at MBL, Woods Hole, MA: 41°31.30.11''N, 70°40'21.77''W, collected 8/11/11, plated 8/12/11. Adult singled 8/14/11. Frozen, never bleached, 8/26/11.",,False,,False,True
Caenorhabditis briggsae,,QG586,QG588,,20240129,QG,41.52503056,-70.67271389,Urban_garden,"on the ground in the park just south of Lilly Lab at MBL, Woods Hole, MA",Rotting_nut/pod/seed/fruit,"isolated from two rotting fruits (rose hips?) on the ground in the park just south of Lilly Lab at MBL, Woods Hole, MA: 41°31.30.11''N, 70°40'21.77''W, collected 8/11/11, plated 8/12/11. Adult singled 8/14/11. Frozen, never bleached, 8/26/11.",,,,,M. Rockman,M. Rockman,2011-08-11,"isolated from two rotting fruits (rose hips?) on the ground in the park just south of Lilly Lab at MBL, Woods Hole, MA: 41°31.30.11''N, 70°40'21.77''W, collected 8/11/11, plated 8/12/11. Adult singled 8/14/11. Frozen, never bleached, 8/26/11.",,False,,False,True
Caenorhabditis briggsae,,QG587,QG588,,20210803,QG,41.52503056,-70.67271389,Urban_garden,"on the ground in the park just south of Lilly Lab at MBL, Woods Hole, MA",Rotting_nut/pod/seed/fruit,"isolated from two rotting fruits (rose hips?) on the ground in the park just south of Lilly Lab at MBL, Woods Hole, MA: 41°31.30.11''N, 70°40'21.77''W, collected 8/11/11, plated 8/12/11. Adult singled 8/14/11. Frozen, never bleached, 8/26/11.",,,,,M. Rockman,M. Rockman,2011-08-11,"isolated from two rotting fruits (rose hips?) on the ground in the park just south of Lilly Lab at MBL, Woods Hole, MA: 41°31.30.11''N, 70°40'21.77''W, collected 8/11/11, plated 8/12/11. Adult singled 8/14/11. Frozen, never bleached, 8/26/11.",,False,,False,True
