"","samples","cluster","frac_cluster","max_frac","strain","lat","long","geo"
"1","QG3789","A",1e-05,0.311217,"QG3789",10.42608333,-84.0092,"Central America"
"2","QG3821","A",1e-05,0.332988,"QG3821",10.42540556,-84.00121667,"Central America"
"3","QG942","A",1e-05,0.335752,"QG942",9.144538,-79.854772,"Central America"
"4","QG3856","A",1e-05,0.362931,"QG3856",10.42540556,-84.00121667,"Central America"
"5","QG3811","A",1e-05,0.369815,"QG3811",10.43288,-84.00678,"Central America"
"6","NIC1411","A",1e-05,0.37148,"NIC1411",3.596770959,-53.17791598,"South America"
"7","NIC1856","A",1e-05,0.379357,"NIC1856",14.674356,-61.095002,"Caribbean"
"8","NIC934","A",1e-05,0.380621,"NIC934",4.04783,-52.67766,"South America"
"9","NIC1004","A",1e-05,0.387545,"NIC1004",4.03896,-52.66843,"South America"
"10","NIC1405","A",1e-05,0.395431,"NIC1405",3.600050965,-53.18947999,"South America"
"11","NIC1387","A",1e-05,0.406381,"NIC1387",3.603495006,-53.19458197,"South America"
"12","NIC479","A",1e-05,0.412693,"NIC479",4.08631,-52.67243,"South America"
"13","QG800","A",1e-05,0.414739,"QG800",9.158057,-79.834221,"Central America"
"14","NIC945","A",1e-05,0.433198,"NIC945",4.03707,-52.6772,"South America"
"15","NIC56","A",1e-05,0.444695,"NIC56",4.08263,-52.67992,"South America"
"16","NIC458","A",1e-05,0.445268,"NIC458",4.08141,-52.68219,"South America"
"17","NIC1430","A",1e-05,0.447595,"NIC1430",4.049461037,-52.67627399,"South America"
"18","NIC1950","A",1e-05,0.448136,"NIC1950",14.743477,-61.095204,"Caribbean"
"19","QG3522","A",1e-05,0.45674,"QG3522",10.42974,-84.00938,"Central America"
"20","HPT56","A",1e-05,0.460647,"HPT56",-8.52582,115.167492,"Malay Archipelago"
"21","NIC2375","A",1e-05,0.472351,"NIC2375",4.042458963,-52.67848103,"South America"
"22","QG840","A",1e-05,0.474802,"QG840",9.161421,-79.837195,"Central America"
"23","QG3793","A",1e-05,0.480651,"QG3793",10.42583333,-84.00995,"Central America"
"24","NIC1391","A",1e-05,0.486826,"NIC1391",3.596770959,-53.17791598,"South America"
"25","QG2716","A",1e-05,0.490193,"QG2716",9.16835,-79.839279,"Central America"
"26","NIC929","A",1e-05,0.494029,"NIC929",4.04027,-52.67537,"South America"
"27","NIC389","A",1.4e-05,0.494129,"NIC389",5.29111,-53.05539,"South America"
"28","NIC1316","A",1e-05,0.499967,"NIC1316",4.548271028,-52.21274,"South America"
"29","NIC1028","A",1e-05,0.50079,"NIC1028",4.03896,-52.66843,"South America"
"30","NIC1313","A",1e-05,0.501625,"NIC1313",4.54814597,-52.21200599,"South America"
"31","NIC1136","A",1e-05,0.50166,"NIC1136",-12.872141,-69.49788203,"South America"
"32","NIC1453","A",1e-05,0.507605,"NIC1453",4.554173984,-52.21073999,"South America"
"33","QG3543","A",1e-05,0.511624,"QG3543",10.42641667,-84.01201667,"Central America"
"34","NIC586","A",1e-05,0.511749,"NIC586",15.40493,-61.34619,"Caribbean"
"35","NIC314","A",1e-05,0.511827,"NIC314",4.03715,-52.67214,"South America"
"36","NIC1307","A",1e-05,0.513662,"NIC1307",4.868027978,-52.34595903,"South America"
"37","NIC2355","A",1e-05,0.513756,"NIC2355",4.041457996,-52.676275,"South America"
"38","NIC443","A",1e-05,0.514768,"NIC443",4.08447,-52.67858,"South America"
"39","NIC454","A",1e-05,0.515725,"NIC454",4.08318,-52.68343,"South America"
"40","BRC20391","A",1.4e-05,0.515742,"BRC20391",25.016672,121.557423,"Taiwan"
