"","samples","cluster","frac_cluster","max_frac","strain","lat","long","geo"
"1","QG3852","A",1e-05,0.356736,"QG3852",10.41900556,-84.00699722,"Central America"
"2","NIC986","A",1e-05,0.376062,"NIC986",4.03726,-52.67243,"South America"
"3","JU1849","A",1e-05,0.386599,"JU1849",4.086683,-52.68165,"South America"
"4","NIC443","A",1e-05,0.402779,"NIC443",4.08447,-52.67858,"South America"
"5","QG2896","A",1e-05,0.406062,"QG2896",-16.10295,145.44645,"Australia"
"6","QG2897","A",1e-05,0.406191,"QG2897",-16.10295,145.44645,"Australia"
"7","QG2904","A",1e-05,0.40638,"QG2904",-16.10365,145.447317,"Australia"
"8","QG2905","A",1e-05,0.40638,"QG2905",-16.10365,145.447317,"Australia"
"9","HPT56","A",1e-05,0.406705,"HPT56",-8.52582,115.167492,"Malay Archipelago"
"10","QG2898","A",1e-05,0.408071,"QG2898",-16.103617,145.4467,"Australia"
"11","QG2899","A",1e-05,0.408316,"QG2899",-16.103617,145.4467,"Australia"
"12","NIC2375","A",1e-05,0.410474,"NIC2375",4.042458963,-52.67848103,"South America"
"13","NIC2367","A",1.2e-05,0.412058,"NIC2367",4.038957004,-52.66788497,"South America"
"14","HPT39","A",1e-05,0.415527,"HPT39",-5.252764,119.865139,"Malay Archipelago"
"15","HPT25","A",1e-05,0.419469,"HPT25",-8.5315,116.239193,"Malay Archipelago"
"16","NIC1563","A",1e-05,0.431694,"NIC1563",25.00481,121.73369,"Taiwan"
"17","NIC1157","A",1e-05,0.439023,"NIC1157",-12.990649,-69.507455,"South America"
"18","BRC20391","A",1e-05,0.439583,"BRC20391",25.016672,121.557423,"Taiwan"
"19","QG3880","A",1e-05,0.450505,"QG3880",10.43089,-84.00684,"Central America"
"20","NIC436","A",1e-05,0.451287,"NIC436",4.08678,-52.67515,"South America"
"21","NIC1156","A",1e-05,0.454724,"NIC1156",-12.990649,-69.507455,"South America"
"22","NIC2355","A",1e-05,0.462969,"NIC2355",4.041457996,-52.676275,"South America"
"23","NIC479","A",1e-05,0.469307,"NIC479",4.08631,-52.67243,"South America"
"24","NIC1927","A",1e-05,0.469845,"NIC1927",14.719237,-61.100187,"Caribbean"
"25","QG3807","A",1e-05,0.480809,"QG3807",10.43182,-84.01499,"Central America"
"26","NIC1270","A",1e-05,0.482813,"NIC1270",3.599450989,-53.18744604,"South America"
"27","NIC2360","A",1e-05,0.486386,"NIC2360",4.03893102,-52.67661296,"South America"
"28","JU2750","A",1e-05,0.487484,"JU2750",16.1761,-61.6951,"Caribbean"
"29","QG3871","A",1.5e-05,0.488485,"QG3871",10.44027,-84.01227,"Central America"
"30","NIC407","A",1e-05,0.490635,"NIC407",5.41418,-53.65416,"South America"
"31","NIC1343","A",1e-05,0.493871,"NIC1343",4.048513966,-52.67673198,"South America"
"32","NIC945","A",1e-05,0.503072,"NIC945",4.03707,-52.6772,"South America"
"33","NIC1382","A",1e-05,0.503931,"NIC1382",4.038440008,-52.67334703,"South America"
"34","NIC99","A",1e-05,0.516956,"NIC99",4.08747,-52.67394,"South America"
"35","QG800","A",1e-05,0.518379,"QG800",9.158057,-79.834221,"Central America"
"36","NIC249","A",1e-05,0.519801,"NIC249",16.0207,-61.597,"Caribbean"
"37","NIC413","A",1e-05,0.519888,"NIC413",4.07244,-52.69034,"South America"
"38","NIC193","A",1e-05,0.520601,"NIC193",16.0207,-61.597,"Caribbean"
"39","JU1846","A",1e-05,0.520848,"JU1846",4.0911,-52.674633,"South America"
"40","NIC1950","A",1.8e-05,0.521455,"NIC1950",14.743477,-61.095204,"Caribbean"
"41","NIC1856","A",1e-05,0.521602,"NIC1856",14.674356,-61.095002,"Caribbean"
"42","NIC363","A",1e-05,0.521995,"NIC363",4.95234,-52.49148,"South America"
"43","QG3828","A",1e-05,0.52292,"QG3828",10.42346389,-84.00128333,"Central America"
"44","QG3795","A",1e-05,0.523872,"QG3795",10.42608333,-84.0092,"Central America"
"45","QG3529","A",1e-05,0.525099,"QG3529",10.43288,-84.00678,"Central America"
"46","QG3547","A",1e-05,0.526586,"QG3547",10.42551667,-84.01403333,"Central America"
"47","NIC1277","A",1e-05,0.529516,"NIC1277",3.607720993,-53.19995603,"South America"
"48","NIC940","A",1e-05,0.530071,"NIC940",4.03091,-52.68124,"South America"
"49","QG4870","A",1e-05,0.531522,"QG4870",6.9204,158.2633,"Micronesia"
"50","QG4871","A",1e-05,0.531522,"QG4871",6.9204,158.2633,"Micronesia"
"51","QG4892","A",1e-05,0.531802,"QG4892",6.9204,158.2633,"Micronesia"
"52","QG4740","A",1e-05,0.531816,"QG4740",6.9204,158.2633,"Micronesia"
"53","NIC1381","A",1e-05,0.53886,"NIC1381",4.039456984,-52.67586404,"South America"
"54","NIC1862","A",1e-05,0.543517,"NIC1862",14.843986,-61.214646,"Caribbean"
"55","NIC1341","A",1e-05,0.549374,"NIC1341",4.047429012,-52.67763203,"South America"
"56","NIC1477","A",1e-05,0.549901,"NIC1477",4.086242002,-52.67756699,"South America"
"57","JU1845","A",1e-05,0.558949,"JU1845",4.089583,-52.67705,"South America"
"58","NIC1651","A",1e-05,0.560672,"NIC1651",25.02814,121.74912,"Taiwan"
"59","NIC359","A",1e-05,0.562965,"NIC359",4.0911,-52.68536,"South America"
"60","NIC1028","A",1.2e-05,0.563057,"NIC1028",4.03896,-52.66843,"South America"
"61","QG840","A",1e-05,0.566566,"QG840",9.161421,-79.837195,"Central America"
"62","NIC469","A",1e-05,0.569886,"NIC469",4.0883,-52.67541,"South America"
"63","NIC2361","A",1.1e-05,0.57108,"NIC2361",4.038404971,-52.677023,"South America"
"64","NIC938","A",1e-05,0.57397,"NIC938",4.03397,-52.67852,"South America"
"65","QG3829","A",1e-05,0.57636,"QG3829",10.42346389,-84.00128333,"Central America"
"66","NIC57","A",1e-05,0.579371,"NIC57",4.08658,-52.67928,"South America"
"67","NIC384","A",1e-05,0.582396,"NIC384",4.06126,-52.67946,"South America"
"68","NIC312","A",1e-05,0.587765,"NIC312",4.03892,-52.67656,"South America"
