"","samples","cluster","frac_cluster","max_frac","strain","lat","long","geo"
"1","QG800","A",1e-05,0.381735,"QG800",9.158057,-79.834221,"Central America"
"2","NIC1856","A",1e-05,0.382897,"NIC1856",14.674356,-61.095002,"Caribbean"
"3","QG942","A",1e-05,0.393549,"QG942",9.144538,-79.854772,"Central America"
"4","NIC1028","A",1e-05,0.408749,"NIC1028",4.03896,-52.66843,"South America"
"5","NIC1290","A",1e-05,0.422804,"NIC1290",3.605792988,-53.17799502,"South America"
"6","JU2750","A",1e-05,0.428143,"JU2750",16.1761,-61.6951,"Caribbean"
"7","NIC2363","A",1e-05,0.428808,"NIC2363",4.037193032,-52.67742399,"South America"
"8","NIC1268","A",1e-05,0.43572,"NIC1268",3.608203959,-53.175201,"South America"
"9","NIC1382","A",1e-05,0.448047,"NIC1382",4.038440008,-52.67334703,"South America"
"10","NIC917","A",1e-05,0.451369,"NIC917",4.03446,-52.67816,"South America"
"11","NIC1422","A",1e-05,0.451907,"NIC1422",3.639726033,-53.20330401,"South America"
"12","NIC945","A",1e-05,0.458063,"NIC945",4.03707,-52.6772,"South America"
"13","NIC1563","A",1e-05,0.461345,"NIC1563",25.00481,121.73369,"Taiwan"
"14","NIC1927","A",1e-05,0.461383,"NIC1927",14.719237,-61.100187,"Caribbean"
"15","HPT56","A",1e-05,0.476674,"HPT56",-8.52582,115.167492,"Malay Archipelago"
"16","BRC20391","A",1e-05,0.477194,"BRC20391",25.016672,121.557423,"Taiwan"
"17","QG2716","A",1e-05,0.487803,"QG2716",9.16835,-79.839279,"Central America"
"18","NIC384","A",1e-05,0.49406,"NIC384",4.06126,-52.67946,"South America"
"19","QG3795","A",1e-05,0.494673,"QG3795",10.42608333,-84.0092,"Central America"
"20","JU3170","A",1.6e-05,0.496652,"JU3170",0.289,6.612,"Africa"
"21","QG3852","A",1e-05,0.508304,"QG3852",10.41900556,-84.00699722,"Central America"
"22","NIC988","A",1e-05,0.511683,"NIC988",4.03726,-52.67243,"South America"
"23","NIC443","A",1e-05,0.515539,"NIC443",4.08447,-52.67858,"South America"
"24","NIC987","A",1e-05,0.518852,"NIC987",4.03726,-52.67243,"South America"
"25","NIC907","A",1e-05,0.521184,"NIC907",4.04842,-52.67683,"South America"
"26","NIC1950","A",1e-05,0.521391,"NIC1950",14.743477,-61.095204,"Caribbean"
"27","NIC965","A",1e-05,0.529573,"NIC965",4.03701,-52.67172,"South America"
"28","NIC94","A",1e-05,0.531485,"NIC94",4.08747,-52.67394,"South America"
"29","NIC2355","A",1e-05,0.532277,"NIC2355",4.041457996,-52.676275,"South America"
"30","NIC1651","A",1e-05,0.535877,"NIC1651",25.02814,121.74912,"Taiwan"
"31","NIC1862","A",1e-05,0.536881,"NIC1862",14.843986,-61.214646,"Caribbean"
"32","NIC426","A",1e-05,0.538888,"NIC426",5.41125,-53.65478,"South America"
"33","QG4870","A",1e-05,0.540855,"QG4870",6.9204,158.2633,"Micronesia"
"34","QG4871","A",1e-05,0.540862,"QG4871",6.9204,158.2633,"Micronesia"
"35","QG4892","A",1e-05,0.541132,"QG4892",6.9204,158.2633,"Micronesia"
"36","QG4740","A",1e-05,0.541144,"QG4740",6.9204,158.2633,"Micronesia"
"37","NIC944","A",1e-05,0.541841,"NIC944",4.03799,-52.6772,"South America"
"38","QG3523","A",1e-05,0.542278,"QG3523",10.43288,-84.00678,"Central America"
"39","JU1975","A",1e-05,0.549813,"JU1975",-2.96,-59.84,"South America"
"40","QG3809","A",1e-05,0.550612,"QG3809",10.43288,-84.00678,"Central America"
"41","NIC1188","A",1e-05,0.555388,"NIC1188",-12.88252903,-69.48456,"South America"
"42","NIC416","A",1e-05,0.556197,"NIC416",4.03714,-52.67109,"South America"
"43","QG3529","A",1e-05,0.557579,"QG3529",10.43288,-84.00678,"Central America"
"44","NIC961","A",1e-05,0.563443,"NIC961",4.03726,-52.67143,"South America"
"45","NIC920","A",1e-05,0.566957,"NIC920",4.04232,-52.68144,"South America"
"46","QG3877","A",1e-05,0.567895,"QG3877",10.43008,-84.00894,"Central America"
"47","HPT33","A",1e-05,0.568426,"HPT33",-5.2563,119.86386,"Malay Archipelago"
"48","QG853","A",1e-05,0.58356,"QG853",9.159372,-79.835975,"Central America"
"49","NIC312","A",1e-05,0.584041,"NIC312",4.03892,-52.67656,"South America"
"50","NIC1419","A",1e-05,0.58735,"NIC1419",3.603130979,-53.19263603,"South America"
"51","NIC407","A",1e-05,0.594846,"NIC407",5.41418,-53.65416,"South America"
"52","NIC1300","A",1e-05,0.595627,"NIC1300",3.594842032,-53.17887696,"South America"
"53","NIC420","A",1.4e-05,0.598314,"NIC420",5.41089,-53.6565,"South America"
"54","NIC1381","A",1e-05,0.599351,"NIC1381",4.039456984,-52.67586404,"South America"
"55","NIC479","A",1e-05,0.608837,"NIC479",4.08631,-52.67243,"South America"
"56","QG3514","A",1e-05,0.611846,"QG3514",10.43089,-84.00684,"Central America"
"57","NIC1886","A",1e-05,0.624351,"NIC1886",14.705951,-61.092991,"Caribbean"
"58","JU1838","A",1e-05,0.626058,"JU1838",4.085517,-52.681917,"South America"
"59","NIC57","A",1e-05,0.62721,"NIC57",4.08658,-52.67928,"South America"
"60","QG3522","A",1e-05,0.628562,"QG3522",10.42974,-84.00938,"Central America"
"61","NIC1393","A",1e-05,0.630495,"NIC1393",3.621482989,-53.21409596,"South America"
"62","NIC925","A",1e-05,0.631846,"NIC925",4.03975,-52.67435,"South America"
"63","NIC1939","A",1e-05,0.631892,"NIC1939",14.80577,-61.147328,"Caribbean"
"64","QG4780","A",1e-05,0.634868,"QG4780",6.9066,158.1818,"Micronesia"
"65","NIC929","A",1e-05,0.635243,"NIC929",4.04027,-52.67537,"South America"
"66","QG4759","A",1e-05,0.635251,"QG4759",6.9066,158.1818,"Micronesia"
"67","QG4739","A",1e-05,0.635355,"QG4739",6.9066,158.1818,"Micronesia"
"68","QG5104","A",1e-05,0.635662,"QG5104",6.9066,158.1818,"Micronesia"
"69","NIC1005","A",1e-05,0.636237,"NIC1005",4.03896,-52.66843,"South America"
"70","NIC1341","A",1e-05,0.645219,"NIC1341",4.047429012,-52.67763203,"South America"
"71","NIC1555","A",1e-05,0.649778,"NIC1555",25.02132,121.73295,"Taiwan"
"72","NIC964","A",1e-05,0.650383,"NIC964",4.03701,-52.67172,"South America"
"73","QG840","A",1e-05,0.65338,"QG840",9.161421,-79.837195,"Central America"
"74","QG3799","A",1e-05,0.653429,"QG3799",10.43008,-84.00894,"Central America"
"75","NIC1192","A",1e-05,0.653931,"NIC1192",-12.849763,-69.45771201,"South America"
"76","NIC2362","A",1e-05,0.654096,"NIC2362",4.038404971,-52.677023,"South America"
"77","NIC1126","A",1e-05,0.658584,"NIC1126",-12.874715,-69.49602501,"South America"
