K	CV
K=10 0.06605
K=10 0.06634
K=10 0.06659
K=10 0.06686
K=10 0.06777
K=10 0.06787
K=10 0.06894
K=10 0.07111
K=10 0.07178
K=10 0.07227
K=11 0.06493
K=11 0.06495
K=11 0.06513
K=11 0.06614
K=11 0.06624
K=11 0.06738
K=11 0.06910
K=11 0.06920
K=11 0.07035
K=11 0.07400
K=12 0.06256
K=12 0.06326
K=12 0.06360
K=12 0.06406
K=12 0.06414
K=12 0.06473
K=12 0.06553
K=12 0.06625
K=12 0.06682
K=12 0.06780
K=13 0.06026
K=13 0.06091
K=13 0.06120
K=13 0.06176
K=13 0.06181
K=13 0.06214
K=13 0.06221
K=13 0.06265
K=13 0.06302
K=13 0.06407
K=14 0.06009
K=14 0.06036
K=14 0.06043
K=14 0.06079
K=14 0.06117
K=14 0.06161
K=14 0.06164
K=14 0.06181
K=14 0.06224
K=14 0.06436
K=15 0.05881
K=15 0.05902
K=15 0.05914
K=15 0.05919
K=15 0.05920
K=15 0.05955
K=15 0.05966
K=15 0.05998
K=15 0.06012
K=15 0.06030
K=16 0.05668
K=16 0.05761
K=16 0.05830
K=16 0.05875
K=16 0.05891
K=16 0.05898
K=16 0.05920
K=16 0.05942
K=16 0.05943
K=16 0.05957
K=17 0.05609
K=17 0.05674
K=17 0.05705
K=17 0.05720
K=17 0.05762
K=17 0.05804
K=17 0.05814
K=17 0.05823
K=17 0.05901
K=17 0.06070
K=18 0.05559
K=18 0.05591
K=18 0.05653
K=18 0.05661
K=18 0.05681
K=18 0.05692
K=18 0.05711
K=18 0.05718
K=18 0.05752
K=18 0.05830
K=19 0.05494
K=19 0.05514
K=19 0.05534
K=19 0.05568
K=19 0.05611
K=19 0.05629
K=19 0.05638
K=19 0.05652
K=19 0.05671
K=19 0.05740
K=20 0.05452
K=20 0.05487
K=20 0.05489
K=20 0.05509
K=20 0.05556
K=20 0.05565
K=20 0.05568
K=20 0.05591
K=20 0.05641
K=20 0.05815
K=2 0.10797
K=2 0.10797
K=2 0.10802
K=2 0.10802
K=2 0.10803
K=2 0.10804
K=2 0.10804
K=2 0.10806
K=2 0.10807
K=2 0.10810
K=21 0.05346
K=21 0.05347
K=21 0.05394
K=21 0.05419
K=21 0.05424
K=21 0.05426
K=21 0.05434
K=21 0.05440
K=21 0.05497
K=21 0.05498
K=22 0.05191
K=22 0.05252
K=22 0.05372
K=22 0.05377
K=22 0.05404
K=22 0.05419
K=22 0.05427
K=22 0.05436
K=22 0.05458
K=22 0.05568
K=23 0.05103
K=23 0.05204
K=23 0.05215
K=23 0.05216
K=23 0.05254
K=23 0.05274
K=23 0.05316
K=23 0.05486
K=23 0.05501
K=23 0.05627
K=24 0.05127
K=24 0.05138
K=24 0.05142
K=24 0.05205
K=24 0.05246
K=24 0.05274
K=24 0.05391
K=24 0.05395
K=24 0.05401
K=24 0.05421
K=25 0.05140
K=25 0.05183
K=25 0.05185
K=25 0.05219
K=25 0.05233
K=25 0.05250
K=25 0.05260
K=25 0.05300
K=25 0.05313
K=25 0.05371
K=26 0.05105
K=26 0.05139
K=26 0.05171
K=26 0.05181
K=26 0.05252
K=26 0.05254
K=26 0.05276
K=26 0.05346
K=26 0.05397
K=26 0.05500
K=27 0.05017
K=27 0.05077
K=27 0.05138
K=27 0.05146
K=27 0.05166
K=27 0.05177
K=27 0.05195
K=27 0.05205
K=27 0.05257
K=27 0.05287
K=28 0.05033
K=28 0.05048
K=28 0.05052
K=28 0.05112
K=28 0.05134
K=28 0.05186
K=28 0.05268
K=28 0.05279
K=28 0.05342
K=28 0.05524
K=29 0.04944
K=29 0.05002
K=29 0.05047
K=29 0.05062
K=29 0.05072
K=29 0.05084
K=29 0.05199
K=29 0.05267
K=29 0.05379
K=29 0.05400
K=30 0.04928
K=30 0.04932
K=30 0.04952
K=30 0.04963
K=30 0.05009
K=30 0.05123
K=30 0.05130
K=30 0.05140
K=30 0.05193
K=30 0.05258
K=3 0.09489
K=3 0.09502
K=3 0.09504
K=3 0.09505
K=3 0.09512
K=3 0.09514
K=3 0.09516
K=3 0.09885
K=3 0.10397
K=3 0.10432
K=4 0.08912
K=4 0.08918
K=4 0.08946
K=4 0.08977
K=4 0.08991
K=4 0.09078
K=4 0.09079
K=4 0.09107
K=4 0.09109
K=4 0.09311
K=5 0.08395
K=5 0.08445
K=5 0.08449
K=5 0.08499
K=5 0.08642
K=5 0.08656
K=5 0.08781
K=5 0.08820
K=5 0.08867
K=5 0.08947
K=6 0.07902
K=6 0.07921
K=6 0.07929
K=6 0.07929
K=6 0.07938
K=6 0.07965
K=6 0.07986
K=6 0.08031
K=6 0.08261
K=6 0.08344
K=7 0.07405
K=7 0.07408
K=7 0.07420
K=7 0.07670
K=7 0.07675
K=7 0.07675
K=7 0.07773
K=7 0.07792
K=7 0.07850
K=7 0.07897
K=8 0.07155
K=8 0.07234
K=8 0.07302
K=8 0.07351
K=8 0.07359
K=8 0.07469
K=8 0.07480
K=8 0.07491
K=8 0.07538
K=8 0.07698
K=9 0.06835
K=9 0.06864
K=9 0.06878
K=9 0.06982
K=9 0.07006
K=9 0.07172
K=9 0.07276
K=9 0.07358
K=9 0.07375
K=9 0.07525
