"","samples","cluster","frac_cluster","max_frac","strain","lat","long","geo"
"1","NIC57","A",1e-05,0.345598,"NIC57",4.08658,-52.67928,"South America"
"2","NIC478","A",1e-05,0.394713,"NIC478",4.08855,-52.67645,"South America"
"3","NIC1927","A",1e-05,0.411577,"NIC1927",14.719237,-61.100187,"Caribbean"
"4","QG3547","A",1e-05,0.412133,"QG3547",10.42551667,-84.01403333,"Central America"
"5","NIC2355","A",1e-05,0.421969,"NIC2355",4.041457996,-52.676275,"South America"
"6","NIC443","A",1e-05,0.422745,"NIC443",4.08447,-52.67858,"South America"
"7","NIC51","A",1e-05,0.472099,"NIC51",4.08729,-52.68139,"South America"
"8","NIC479","A",1e-05,0.476362,"NIC479",4.08631,-52.67243,"South America"
"9","NIC1563","A",0.051001,0.477902,"NIC1563",25.00481,121.73369,"Taiwan"
"10","NIC986","A",1e-05,0.480642,"NIC986",4.03726,-52.67243,"South America"
"11","NIC417","A",1e-05,0.483686,"NIC417",4.07829,-52.68732,"South America"
"12","BRC20391","A",0.028853,0.488526,"BRC20391",25.016672,121.557423,"Taiwan"
"13","NIC1433","A",1e-05,0.49159,"NIC1433",4.055725001,-52.67804501,"South America"
"14","NIC1376","A",1e-05,0.4929,"NIC1376",4.083392993,-52.68151998,"South America"
"15","QG2716","A",1e-05,0.493636,"QG2716",9.16835,-79.839279,"Central America"
"16","QG3811","A",1e-05,0.499462,"QG3811",10.43288,-84.00678,"Central America"
"17","QG3789","A",1e-05,0.502922,"QG3789",10.42608333,-84.0092,"Central America"
"18","NIC1679","A",1.1e-05,0.505102,"NIC1679",22.08922,120.84876,"Taiwan"
"19","NIC934","A",1e-05,0.508576,"NIC934",4.04783,-52.67766,"South America"
"20","QG3521","A",1e-05,0.509503,"QG3521",10.42643333,-84.01193333,"Central America"
"21","NIC2366","A",1e-05,0.510207,"NIC2366",4.038928002,-52.66763904,"South America"
"22","NIC2373","A",1e-05,0.510216,"NIC2373",4.042470027,-52.67842798,"South America"
"23","QG823","A",1e-05,0.510602,"QG823",9.152413,-79.850852,"Central America"
"24","NIC1164","A",1e-05,0.515134,"NIC1164",-12.87692699,-69.49483403,"South America"
"25","NIC1121","A",1e-05,0.515822,"NIC1121",-12.87416004,-69.49736402,"South America"
"26","NIC1145","A",1e-05,0.517146,"NIC1145",-12.87499001,-69.49504701,"South America"
"27","NIC1856","A",1e-05,0.518392,"NIC1856",14.674356,-61.095002,"Caribbean"
"28","NIC1950","A",1e-05,0.522018,"NIC1950",14.743477,-61.095204,"Caribbean"
"29","NIC1170","A",1e-05,0.522337,"NIC1170",-12.87956603,-69.49155604,"South America"
"30","NIC469","A",1e-05,0.528401,"NIC469",4.0883,-52.67541,"South America"
