"","samples","cluster","frac_cluster","max_frac","strain","lat","long","geo"
"1","NIC1157","A",1e-05,0.301429,"NIC1157",-12.990649,-69.507455,"South America"
"2","NIC1156","A",1e-05,0.319828,"NIC1156",-12.990649,-69.507455,"South America"
"3","NIC944","A",1e-05,0.330616,"NIC944",4.03799,-52.6772,"South America"
"4","NIC1594","A",0.282181,0.382209,"NIC1594",24.68622,121.13734,"Taiwan"
"5","NIC1592","A",0.282024,0.382635,"NIC1592",24.68622,121.13734,"Taiwan"
"6","NIC1257","A",1e-05,0.382816,"NIC1257",4.085349999,-52.68294297,"South America"
"7","NIC1382","A",1e-05,0.395675,"NIC1382",4.038440008,-52.67334703,"South America"
"8","QG3786","A",1e-05,0.396692,"QG3786",10.42963,-84.00833,"Central America"
"9","NIC344","A",1e-05,0.413027,"NIC344",5.41063,-53.6564,"South America"
"10","NIC1927","A",1e-05,0.417586,"NIC1927",14.719237,-61.100187,"Caribbean"
"11","NIC1432","A",1e-05,0.432106,"NIC1432",4.087813022,-52.67992197,"South America"
"12","NIC939","A",1e-05,0.432378,"NIC939",4.03128,-52.68028,"South America"
"13","NIC2363","A",1e-05,0.440606,"NIC2363",4.037193032,-52.67742399,"South America"
"14","QG3793","A",1e-05,0.441493,"QG3793",10.42583333,-84.00995,"Central America"
"15","JU2750","A",1e-05,0.443101,"JU2750",16.1761,-61.6951,"Caribbean"
"16","QG3877","A",1e-05,0.444602,"QG3877",10.43008,-84.00894,"Central America"
"17","NIC436","A",1e-05,0.44593,"NIC436",4.08678,-52.67515,"South America"
"18","NIC934","A",1e-05,0.454361,"NIC934",4.04783,-52.67766,"South America"
"19","NIC1341","A",1e-05,0.460529,"NIC1341",4.047429012,-52.67763203,"South America"
"20","QG3850","A",1e-05,0.462468,"QG3850",10.42972,-84.00718,"Central America"
"21","NIC443","A",1e-05,0.467127,"NIC443",4.08447,-52.67858,"South America"
"22","HPT56","A",1e-05,0.468545,"HPT56",-8.52582,115.167492,"Malay Archipelago"
"23","NIC1563","A",1e-05,0.46892,"NIC1563",25.00481,121.73369,"Taiwan"
"24","NIC1862","A",1e-05,0.479705,"NIC1862",14.843986,-61.214646,"Caribbean"
"25","NIC1422","A",1e-05,0.481134,"NIC1422",3.639726033,-53.20330401,"South America"
