N	eigenvalue	difference	twstat	p-value	effect.n
1	31.070914	NA	88.600	1.5968e-243	111.648
2	24.123490	-6.947424	81.610	1.64884e-215	135.061
3	19.219299	-4.904191	70.937	5.05261e-175	155.462
4	14.762311	-4.456988	51.166	5.70984e-108	171.819
5	13.214909	-1.547402	46.050	1.80529e-92	181.680
6	13.059027	-0.155882	51.457	7.06851e-109	190.297
7	12.904422	-0.154605	57.888	1.5519e-129	200.776
8	11.654292	-1.250130	53.785	3.24174e-116	213.723
9	11.463035	-0.191257	59.609	2.86328e-135	225.636
10	10.992377	-0.470658	62.992	8.89824e-147	240.001
11	10.415079	-0.577298	65.032	7.21356e-154	256.154
12	9.733048	-0.682032	65.088	4.57909e-154	273.696
13	9.339441	-0.393607	68.579	1.82027e-166	291.865
14	8.705821	-0.633621	68.035	1.63645e-164	312.236
15	7.652278	-1.053543	58.409	2.90937e-131	333.084
16	7.346362	-0.305916	59.754	9.36152e-136	350.300
17	7.281365	-0.064997	65.833	1.09909e-156	368.645
18	7.163387	-0.117978	71.739	5.76364e-178	390.441
19	7.115567	-0.047820	80.218	4.53145e-210	416.063
20	6.657116	-0.458450	79.862	1.09084e-208	447.564
21	5.450654	-1.206462	57.471	3.67602e-128	480.154
22	5.267629	-0.183025	58.247	9.98139e-131	501.311
23	4.696980	-0.570649	47.022	2.37764e-95	523.505
24	4.474398	-0.222582	44.423	1.02952e-87	540.814
25	4.001782	-0.472616	33.060	5.41514e-57	557.356
26	3.900212	-0.101570	32.506	1.29729e-55	569.387
27	3.841180	-0.059033	33.261	1.69983e-57	581.430
28	3.538280	-0.302900	25.411	5.14399e-39	594.017
29	3.377622	-0.160658	21.807	2.14406e-31	603.731
30	3.290400	-0.087222	20.529	7.76062e-29	612.273
31	3.188309	-0.102090	18.549	5.04495e-25	620.486
32	3.054258	-0.134051	15.158	5.86347e-19	628.118
33	2.990878	-0.063380	14.219	2.17875e-17	634.690
34	2.819297	-0.171581	8.945	1.46471e-09	641.034
35	2.759224	-0.060073	7.751	1.62959e-08	645.762
36	2.712963	-0.046261	7.028	1.25981e-07	650.179
37	2.591127	-0.121836	3.180	0.00120127	654.424
38	2.496538	-0.094589	0.242	0.12815	657.587
39	2.473194	-0.023345	0.113	0.14845	659.971
40	2.442526	-0.030668	-0.335	0.236647	662.341
41	2.421116	-0.021409	-0.418	0.256274	664.612
42	2.386347	-0.034769	-1.080	0.440724	666.879
43	2.370576	-0.015772	-0.962	0.404776	668.989
44	2.343992	-0.026583	-1.313	0.514024	671.147
45	2.329241	-0.014751	-1.169	0.468503	673.230
46	2.320666	-0.008575	-0.754	0.344106	675.369
47	2.308942	-0.011724	-0.468	0.268301	677.639
48	2.297199	-0.011743	-0.176	0.202264	680.009
49	2.258579	-0.038620	-1.088	0.443353	682.480
50	2.245222	-0.013357	-0.900	0.386103	684.717
51	2.191492	-0.053731	-2.556	0.859928	687.027
52	2.169066	-0.022426	-2.843	0.909273	688.897
53	2.118070	-0.050996	-4.474	0.998162	690.704
54	2.111710	-0.006360	-4.084	0.993999	692.088
55	2.073196	-0.038514	-5.198	0.999876	693.586
56	2.056094	-0.017101	-5.342	0.999933	694.801
57	2.043029	-0.013065	-5.304	0.999921	695.986
58	2.017951	-0.025078	-5.845	0.999994	697.191
59	1.999493	-0.018459	-6.089	0.999998	698.262
60	1.969805	-0.029687	-6.892	1	699.276
61	1.959471	-0.010334	-6.779	1	700.090
62	1.943263	-0.016208	-6.955	1	700.938
63	1.933509	-0.009754	-6.820	1	701.747
64	1.932561	-0.000948	-6.246	0.999999	702.597
65	1.931398	-0.001163	-5.667	0.999985	703.604
66	1.915474	-0.015923	-5.816	0.999993	704.774
67	1.902002	-0.013472	-5.850	0.999994	705.913
68	1.860015	-0.041987	-7.347	1	707.051
69	1.855996	-0.004019	-6.946	1	707.794
70	1.846496	-0.009500	-6.819	1	708.649
71	1.842230	-0.004266	-6.418	1	709.545
72	1.831694	-0.010536	-6.336	1	710.556
73	1.817280	-0.014414	-6.459	1	711.597
74	1.811140	-0.006140	-6.152	0.999999	712.611
75	1.792058	-0.019082	-6.528	1	713.718
76	1.773877	-0.018181	-6.873	1	714.728
77	1.759701	-0.014177	-7.017	1	715.650
78	1.745948	-0.013753	-7.146	1	716.537
79	1.711113	-0.034835	-8.437	1	717.395
80	1.694576	-0.016537	-8.767	1	717.903
81	1.679037	-0.015539	-9.056	1	718.326
82	1.675106	-0.003931	-8.711	1	718.674
83	1.645363	-0.029743	-9.801	1	719.117
84	1.629126	-0.016238	-10.168	1	719.269
85	1.615879	-0.013247	-10.381	1	719.324
86	1.613881	-0.001997	-9.964	1	719.324
87	1.612045	-0.001836	-9.528	1	719.434
88	1.606164	-0.005881	-9.314	1	719.662
89	1.600753	-0.005412	-9.068	1	719.950
90	1.594876	-0.005876	-8.844	1	720.308
91	1.581113	-0.013763	-9.076	1	720.730
92	1.569874	-0.011240	-9.170	1	721.090
93	1.551775	-0.018099	-9.674	1	721.425
94	1.536333	-0.015442	-10.039	1	721.622
95	1.524415	-0.011918	-10.208	1	721.719
96	1.512646	-0.011769	-10.377	1	721.769
97	1.505480	-0.007166	-10.276	1	721.773
98	1.486972	-0.018508	-10.860	1	721.804
99	1.484669	-0.002304	-10.481	1	721.674
100	1.470248	-0.014421	-10.831	1	721.648
101	1.467227	-0.003020	-10.496	1	721.524
102	1.453455	-0.013772	-10.815	1	721.492
103	1.451067	-0.002388	-10.443	1	721.370
104	1.442906	-0.008161	-10.420	1	721.351
105	1.429745	-0.013160	-10.712	1	721.338
106	1.418442	-0.011303	-10.898	1	721.243
107	1.407047	-0.011394	-11.097	1	721.093
108	1.393890	-0.013158	-11.417	1	720.886
109	1.364497	-0.029393	-12.781	1	720.587
110	1.359274	-0.005223	-12.641	1	719.911
111	1.351609	-0.007666	-12.656	1	719.268
112	1.343539	-0.008069	-12.700	1	718.616
113	1.330087	-0.013452	-13.095	1	717.949
114	1.327284	-0.002804	-12.811	1	717.170
115	1.310218	-0.017066	-13.451	1	716.463
116	1.300960	-0.009258	-13.599	1	715.577
117	1.286989	-0.013971	-14.061	1	714.647
118	1.281383	-0.005606	-13.987	1	713.587
119	1.268796	-0.012587	-14.374	1	712.540
120	1.263147	-0.005649	-14.312	1	711.385
121	1.254737	-0.008410	-14.433	1	710.239
122	1.250874	-0.003863	-14.256	1	709.054
123	1.234713	-0.016161	-14.900	1	707.910
124	1.223614	-0.011099	-15.222	1	706.588
125	1.222188	-0.001426	-14.900	1	705.175
126	1.212856	-0.009332	-15.107	1	703.838
127	1.211115	-0.001741	-14.805	1	702.439
128	1.203322	-0.007793	-14.909	1	701.113
129	1.194839	-0.008483	-15.065	1	699.751
