"strain","isotype","lat","long","geo"
"BRC20391","BRC20391",25.016672,121.557423,"Taiwan"
"BRC20400","BRC20400",25.016672,121.557423,"Taiwan"
"BRC20464","BRC20464",24.822726,121.735653,"Taiwan"
"BRC20548","BRC20548",22.753556,120.731306,"Taiwan"
"NIC1541","NIC1541",25.05792,121.77076,"Taiwan"
"NIC1542","NIC1542",25.05704,121.77109,"Taiwan"
"NIC1543","NIC1543",25.05704,121.77109,"Taiwan"
"NIC1544","NIC1544",25.05343,121.77265,"Taiwan"
"NIC1545","NIC1545",25.05343,121.77265,"Taiwan"
"NIC1546","NIC1546",25.05343,121.77265,"Taiwan"
"NIC1547","NIC1547",25.05343,121.77265,"Taiwan"
"NIC1548","NIC1548",25.05343,121.77265,"Taiwan"
"NIC1549","NIC1549",25.05343,121.77265,"Taiwan"
"NIC1550","NIC1550",25.05343,121.77265,"Taiwan"
"NIC1551","NIC1551",25.02212,121.73275,"Taiwan"
"NIC1553","NIC1553",25.02212,121.73275,"Taiwan"
"NIC1555","NIC1555",25.02132,121.73295,"Taiwan"
"NIC1556","NIC1556",25.02132,121.73295,"Taiwan"
"NIC1557","NIC1557",25.01713,121.73247,"Taiwan"
"NIC1559","NIC1559",25.01519,121.73311,"Taiwan"
"NIC1560","NIC1560",25.01519,121.73311,"Taiwan"
"NIC1561","NIC1561",25.00481,121.73369,"Taiwan"
"NIC1563","NIC1563",25.00481,121.73369,"Taiwan"
"NIC1564","NIC1564",25.00469,121.7343,"Taiwan"
"NIC1565","NIC1565",23.86597,120.90747,"Taiwan"
"NIC1583","NIC1583",23.58773,121.34154,"Taiwan"
"NIC1584","NIC1584",23.58773,121.34154,"Taiwan"
"NIC1585","NIC1585",23.58773,121.34154,"Taiwan"
"NIC1586","NIC1586",23.58878,121.33879,"Taiwan"
"NIC1587","NIC1587",23.58801,121.34578,"Taiwan"
"NIC1588","NIC1588",23.58801,121.34578,"Taiwan"
"NIC1592","NIC1592",24.68622,121.13734,"Taiwan"
"NIC1594","NIC1594",24.68622,121.13734,"Taiwan"
"NIC1596","NIC1596",24.6871,121.13633,"Taiwan"
"NIC1603","NIC1603",24.68897,121.13965,"Taiwan"
"NIC1644","NIC1644",25.06464,121.82481,"Taiwan"
"NIC1646","NIC1646",25.06549,121.82703,"Taiwan"
"NIC1647","NIC1647",25.06574,121.82753,"Taiwan"
"NIC1648","NIC1648",25.06574,121.82753,"Taiwan"
"NIC1649","NIC1649",25.06574,121.82753,"Taiwan"
"NIC1650","NIC1650",25.06574,121.82753,"Taiwan"
"NIC1651","NIC1651",25.02814,121.74912,"Taiwan"
"NIC1653","NIC1653",25.02814,121.74912,"Taiwan"
"NIC1656","NIC1656",25.02814,121.74912,"Taiwan"
"NIC1657","NIC1657",25.02814,121.74912,"Taiwan"
"NIC1658","NIC1658",25.02814,121.74912,"Taiwan"
"NIC1679","NIC1679",22.08922,120.84876,"Taiwan"
"NIC1694","NIC1694",25.02177,121.58537,"Taiwan"
"NIC517","NIC517",25.00739,121.900472,"Taiwan"
"NIC530","NIC530",24.6,121,"Taiwan"
"NIC894","NIC894",22.01967,121.57357,"Taiwan"
"NIC895","NIC895",22.01967,121.57357,"Taiwan"
"NIC898","NIC898",22.01967,121.57357,"Taiwan"
"TWN2103","TWN2103",25.16666667,121.5166667,"Taiwan"
