"strain","isotype","lat","long","geo"
"ECA1299","ECA1299",21.34198,-157.8095,"Hawaii"
"ECA1300","ECA1300",21.34202,-157.8096,"Hawaii"
"ECA1301","ECA1301",21.34202,-157.8096,"Hawaii"
"ECA1302","ECA1302",21.34202,-157.8096,"Hawaii"
"ECA1303","ECA1303",21.34202,-157.8096,"Hawaii"
"ECA1304","ECA1304",21.34202,-157.8096,"Hawaii"
"ECA1305","ECA1305",21.34091,-157.822,"Hawaii"
"ECA1306","ECA1306",21.34293,-157.8239,"Hawaii"
"ECA1307","ECA1307",21.34198,-157.8095,"Hawaii"
"ECA1309","ECA1309",21.34293,-157.8239,"Hawaii"
"ECA1310","ECA1310",21.34293,-157.8239,"Hawaii"
"ECA1311","ECA1311",20.04062,-155.4413,"Hawaii"
"ECA1312","ECA1312",20.04062,-155.4413,"Hawaii"
"ECA1313","ECA1313",20.04062,-155.4413,"Hawaii"
"ECA1401","ECA1401",21.342699,-157.821547,"Hawaii"
"ECA1403","ECA1403",21.342699,-157.821547,"Hawaii"
"ECA1405","ECA1405",21.342699,-157.821547,"Hawaii"
"ECA1445","ECA1445",19.8552394,-155.1527495,"Hawaii"
"ECA1447","ECA1447",19.8552394,-155.1527495,"Hawaii"
"ECA1449","ECA1449",19.8552394,-155.1527495,"Hawaii"
"ECA1451","ECA1451",19.8552394,-155.1527495,"Hawaii"
"ECA1453","ECA1453",19.854497,-155.15326,"Hawaii"
"ECA1481","ECA1481",21.39448889,-157.9002278,"Hawaii"
"ECA1518","ECA1518",21.39774444,-157.8914889,"Hawaii"
"ECA1579","ECA1579",21.317253,-157.81937,"Hawaii"
"ECA1581","ECA1581",21.317253,-157.81937,"Hawaii"
"ECA1583","ECA1583",21.317253,-157.81937,"Hawaii"
"ECA1585","ECA1585",21.317253,-157.81937,"Hawaii"
"ECA1599","ECA1599",21.394489,-157.90023,"Hawaii"
"ECA1603","ECA1603",21.39578611,-157.9005111,"Hawaii"
"ECA2087","ECA2087",21.394489,-157.90023,"Hawaii"
"ECA2898","ECA2898",21.355658,-157.7645652,"Hawaii"
"ECA2899","ECA2899",21.355658,-157.7645652,"Hawaii"
"ECA2900","ECA2900",21.355658,-157.7645652,"Hawaii"
"ECA2910","ECA2910",21.355658,-157.7645652,"Hawaii"
"ECA2920","ECA2920",21.355658,-157.7645652,"Hawaii"
"ECA2954","ECA2954",22.0638967,-159.3522759,"Hawaii"
"ECA2955","ECA2955",22.0638967,-159.3522759,"Hawaii"
"ECA2976","ECA2976",22.0638967,-159.3522759,"Hawaii"
"ECA3053","ECA3053",20.0389764,-155.4399684,"Hawaii"
"ECA788","ECA788",21.362625,-157.779914,"Hawaii"
"ECA789","ECA789",21.336056,-157.799786,"Hawaii"
"ECA790","ECA790",22.053952,-159.367837,"Hawaii"
"ECA791","ECA791",22.193317,-159.478956,"Hawaii"
"ECA792","ECA792",22.193317,-159.478956,"Hawaii"
"ECA793","ECA793",22.194578,-159.478478,"Hawaii"
"ECA794","ECA794",22.053952,-159.367837,"Hawaii"
"ECA796","ECA796",19.905167,-155.139322,"Hawaii"
"ECA797","ECA797",19.590717,-155.067906,"Hawaii"
"ECA798","ECA798",19.906725,-155.141275,"Hawaii"
"ECA799","ECA799",19.589467,-155.068069,"Hawaii"
"ECA800","ECA800",20.78352803,-156.0650423,"Hawaii"
"ECA801","ECA801",20.78352803,-156.0650423,"Hawaii"
"ECA802","ECA802",20.78352803,-156.0650423,"Hawaii"
"ECA803","ECA803",20.78352803,-156.0650423,"Hawaii"
"ECA804","ECA804",20.807406,-156.096654,"Hawaii"
"ECA805","ECA805",20.807406,-156.096654,"Hawaii"
"ECA806","ECA806",20.813647,-156.118573,"Hawaii"
"QG131","QG131",22.22955,-159.4764,"Hawaii"
