samples	cluster	strain	lat	long	geo	Lineage
NIC1592	A	NIC1592	24.68622	121.13734	Taiwan	Tw6
NIC1594	A	NIC1594	24.68622	121.13734	Taiwan	Tw6
JU1821	AA	JU1821	4.087967	-52.675167	South America	LAC
JU1850	AA	JU1850	4.086683	-52.68165	South America	LAC
NIC1354	AA	NIC1354	4.071575012	-52.68970096	South America	LAC
NIC1359	AA	NIC1359	4.053170029	-52.67738703	South America	LAC
NIC1376	AA	NIC1376	4.083392993	-52.68151998	South America	LAC
NIC1433	AA	NIC1433	4.055725001	-52.67804501	South America	LAC
NIC284	AA	NIC284	4.07513	-52.6921	South America	LAC
NIC404	AA	NIC404	5.41011	-53.65462	South America	LAC
NIC417	AA	NIC417	4.07829	-52.68732	South America	LAC
NIC468	AA	NIC468	4.0883	-52.67541	South America	LAC
NIC903	AA	NIC903	4.04877	-52.67666	South America	LAC
NIC1478	AA	NIC1478	4.086242002	-52.67756699	South America	LAC
ECA2909	AB	ECA2909	19.11058638	-155.8263837	Hawaii	HC
ECA2954	AB	ECA2954	22.0638967	-159.3522759	Hawaii	HC
ECA2955	AB	ECA2955	22.0638967	-159.3522759	Hawaii	HC
ECA2976	AB	ECA2976	22.0638967	-159.3522759	Hawaii	HC
ECA791	AB	ECA791	22.193317	-159.478956	Hawaii	HC
ECA792	AB	ECA792	22.193317	-159.478956	Hawaii	HC
ECA793	AB	ECA793	22.194578	-159.478478	Hawaii	HC
ECA798	AB	ECA798	19.906725	-155.141275	Hawaii	HC
ECA799	AB	ECA799	19.589467	-155.068069	Hawaii	HC
NIC122	AB	NIC122	16.1779	-61.6563	Caribbean	HC
NIC1919	AB	NIC1919	14.676352	-61.090455	Caribbean	HC
NIC567	AB	NIC567	15.37806	-61.33964	Caribbean	HC
NIC1918	AB	NIC1918	14.676352	-61.090455	Caribbean	HC
NIC192	AB	NIC192	16.0459	-61.6262	Caribbean	HC
ECA797	AB	ECA797	19.590717	-155.067906	Hawaii	HC
NIC1916	AB	NIC1916	14.67639	-61.090457	Caribbean	HC
NIC1915	AB	NIC1915	14.67639	-61.090457	Caribbean	HC
NIC584	AB	NIC584	15.40368	-61.34699	Caribbean	HC
