samples	cluster	strain	lat	long	geo	Lineage
BRC20464	A	BRC20464	24.822726	121.735653	Taiwan	Tw3
NIC1541	A	NIC1541	25.05792	121.77076	Taiwan	Tw3
NIC1542	A	NIC1542	25.05704	121.77109	Taiwan	Tw3
NIC1544	A	NIC1544	25.05343	121.77265	Taiwan	Tw3
NIC1545	A	NIC1545	25.05343	121.77265	Taiwan	Tw3
NIC1546	A	NIC1546	25.05343	121.77265	Taiwan	Tw3
NIC1549	A	NIC1549	25.05343	121.77265	Taiwan	Tw3
NIC1550	A	NIC1550	25.05343	121.77265	Taiwan	Tw3
NIC1551	A	NIC1551	25.02212	121.73275	Taiwan	Tw3
NIC1553	A	NIC1553	25.02212	121.73275	Taiwan	Tw3
NIC1557	A	NIC1557	25.01713	121.73247	Taiwan	Tw3
NIC1564	A	NIC1564	25.00469	121.7343	Taiwan	Tw3
NIC1644	A	NIC1644	25.06464	121.82481	Taiwan	Tw3
NIC1646	A	NIC1646	25.06549	121.82703	Taiwan	Tw3
NIC1647	A	NIC1647	25.06574	121.82753	Taiwan	Tw3
NIC1648	A	NIC1648	25.06574	121.82753	Taiwan	Tw3
NIC1649	A	NIC1649	25.06574	121.82753	Taiwan	Tw3
NIC517	A	NIC517	25.00739	121.900472	Taiwan	Tw3
NIC530	A	NIC530	24.6	121	Taiwan	Tw3
NIC1548	A	NIC1548	25.05343	121.77265	Taiwan	Tw3
NIC1561	A	NIC1561	25.00481	121.73369	Taiwan	Tw3
NIC1650	A	NIC1650	25.06574	121.82753	Taiwan	Tw3
JU1630	AA	JU1630	17.1064	-25.1222	Africa	Af
JU1632	AA	JU1632	17.1508	-25.1314	Africa	Af
JU1634	AA	JU1634	17.12	-25.049	Africa	Af
JU1636	AA	JU1636	17.129	-25.0966	Africa	Af
JU1639	AA	JU1639	17.149	-25.0696	Africa	Af
JU1640	AA	JU1640	15.084	-23.5215	Africa	Af
JU1641	AA	JU1641	14.9174	-23.6049	Africa	Af
JU1818	AA	JU1818	4.595467	-52.262633	South America	Af
JU1631	AA	JU1631	17.1404	-25.1261	Africa	Af
JU1633	AA	JU1633	17.115	-25.05	Africa	Af
QG3526	AB	QG3526	10.42643333	-84.01193333	Central America	LAC
QG3545	AB	QG3545	10.42361667	-84.00118611	Central America	LAC
QG3546	AB	QG3546	10.43288	-84.00678	Central America	LAC
QG3812	AB	QG3812	10.42963	-84.00833	Central America	LAC
QG3824	AB	QG3824	10.44022	-84.01188	Central America	LAC
QG3862	AB	QG3862	10.42608333	-84.0092	Central America	LAC
QG3872	AB	QG3872	10.44027	-84.01227	Central America	LAC
QG3873	AB	QG3873	10.44027	-84.01227	Central America	LAC
QG3805	AB	QG3805	10.42608333	-84.0092	Central America	LAC
QG3797	AB	QG3797	10.42974	-84.00938	Central America	LAC
QG4739	B	QG4739	6.9066	158.1818	Micronesia	Mic1
QG4759	B	QG4759	6.9066	158.1818	Micronesia	Mic1
QG4780	B	QG4780	6.9066	158.1818	Micronesia	Mic1
QG5104	B	QG5104	6.9066	158.1818	Micronesia	Mic1
NIC1556	C	NIC1556	25.02132	121.73295	Taiwan	Tw2
NIC1560	C	NIC1560	25.01519	121.73311	Taiwan	Tw2
NIC1694	C	NIC1694	25.02177	121.58537	Taiwan	Tw2
TWN2103	C	TWN2103	25.16666667	121.5166667	Taiwan	Tw2
HPT25	D	HPT25	-8.5315	116.239193	Indonesia	Indo2
HPT39	D	HPT39	-5.252764	119.865139	Indonesia	Indo2
NIC1592	D	NIC1592	24.68622	121.13734	Taiwan	Tw6
NIC1594	D	NIC1594	24.68622	121.13734	Taiwan	Tw6
JU1870	E	JU1870	4.082883	-52.679783	South America	LAC
NIC1252	E	NIC1252	4.085349999	-52.68294297	South America	LAC
NIC444	E	NIC444	4.08422	-52.67452	South America	LAC
NIC489	E	NIC489	4.08695	-52.67731	South America	LAC
QG2899	F	QG2899	-16.103617	145.4467	Australia	Au
QG2905	F	QG2905	-16.10365	145.447317	Australia	Au
QG2896	F	QG2896	-16.10295	145.44645	Australia	Au
QG2898	F	QG2898	-16.103617	145.4467	Australia	Au
QG2897	F	QG2897	-16.10295	145.44645	Australia	Au
QG2904	F	QG2904	-16.10365	145.447317	Australia	Au
ECA1299	G	ECA1299	21.34198	-157.8095	Hawaii	Hw3
ECA1301	G	ECA1301	21.34202	-157.8096	Hawaii	Hw3
ECA1302	G	ECA1302	21.34202	-157.8096	Hawaii	Hw3
ECA1403	G	ECA1403	21.342699	-157.821547	Hawaii	Hw3
ECA788	G	ECA788	21.362625	-157.779914	Hawaii	Hw3
ECA789	G	ECA789	21.336056	-157.799786	Hawaii	Hw3
ECA1304	G	ECA1304	21.34202	-157.8096	Hawaii	Hw3
ECA1305	G	ECA1305	21.34091	-157.822	Hawaii	Hw3
ECA1307	G	ECA1307	21.34198	-157.8095	Hawaii	Hw3
ECA1405	G	ECA1405	21.342699	-157.821547	Hawaii	Hw3
ECA1401	G	ECA1401	21.342699	-157.821547	Hawaii	Hw3
ECA1303	G	ECA1303	21.34202	-157.8096	Hawaii	Hw3
ECA1300	G	ECA1300	21.34202	-157.8096	Hawaii	Hw3
QG1000	H	QG1000	9.170850606	-79.84289876	Central America	LAC
QG2724	H	QG2724	9.1598	-79.8399	Central America	LAC
QG2770	H	QG2770	9.1576	-79.83393333	Central America	LAC
QG3008	H	QG3008	9.16005	-79.841	Central America	LAC
QG3010	H	QG3010	9.159966667	-79.84096667	Central America	LAC
QG3011	H	QG3011	9.159966667	-79.84096667	Central America	LAC
QG3013	H	QG3013	9.159766667	-79.841	Central America	LAC
QG3037	H	QG3037	9.164533333	-79.84156667	Central America	LAC
QG3038	H	QG3038	9.164533333	-79.84156667	Central America	LAC
QG3055	H	QG3055	9.16484	-79.83659	Central America	LAC
QG3064	H	QG3064	9.16092	-79.84046	Central America	LAC
QG834	H	QG834	9.15385	-79.83077	Central America	LAC
QG836	H	QG836	9.15447	-79.82758	Central America	LAC
QG841	H	QG841	9.161421	-79.837195	Central America	LAC
QG845	H	QG845	9.15443	-79.82735	Central America	LAC
QG846	H	QG846	9.15443	-79.82735	Central America	LAC
QG852	H	QG852	9.15443	-79.82735	Central America	LAC
QG935	H	QG935	9.159499	-79.838839	Central America	LAC
QG1004	H	QG1004	9.164456	-79.844623	Central America	LAC
QG921	H	QG921	9.164456	-79.844623	Central America	LAC
QG987	H	QG987	9.147419	-79.85312	Central America	LAC
NIC1005	I	NIC1005	4.03896	-52.66843	South America	LAC
NIC1425	I	NIC1425	4.039971968	-52.674937	South America	LAC
NIC2357	I	NIC2357	4.039690001	-52.67415999	South America	LAC
NIC2365	I	NIC2365	4.038977036	-52.667358	South America	LAC
NIC2366	I	NIC2366	4.038928002	-52.66763904	South America	LAC
NIC2368	I	NIC2368	4.039645996	-52.67438103	South America	LAC
NIC2371	I	NIC2371	4.042387968	-52.67838799	South America	LAC
NIC916	I	NIC916	4.03928	-52.67371	South America	LAC
NIC962	I	NIC962	4.03875	-52.6677	South America	LAC
NIC972	I	NIC972	4.03701	-52.67172	South America	LAC
NIC975	I	NIC975	4.03819	-52.67066	South America	LAC
NIC977	I	NIC977	4.03819	-52.67066	South America	LAC
NIC1911	J	NIC1911	14.804986	-61.146231	Caribbean	LAC
NIC1941	J	NIC1941	14.80577	-61.147328	Caribbean	LAC
NIC894	K	NIC894	22.01967	121.57357	Taiwan	Tw4
NIC895	K	NIC895	22.01967	121.57357	Taiwan	Tw4
NIC898	K	NIC898	22.01967	121.57357	Taiwan	Tw4
QG4653	K	QG4653	6.9639	158.1907	Micronesia	Mic1
QG4659	K	QG4659	6.8567	158.2225	Micronesia	Mic1
QG4671	K	QG4671	6.9639	158.1908	Micronesia	Mic1
QG4713	K	QG4713	6.9674	158.1904	Micronesia	Mic1
QG4741	K	QG4741	6.8538	158.2157	Micronesia	Mic1
QG4867	K	QG4867	6.8567	158.2225	Micronesia	Mic1
QG4891	K	QG4891	6.8567	158.2225	Micronesia	Mic1
QG4897	K	QG4897	6.8567	158.2225	Micronesia	Mic1
QG5510	K	QG5510	6.9639	158.1907	Micronesia	Mic1
QG5602	K	QG5602	6.9639	158.1908	Micronesia	Mic1
QG5638	K	QG5638	6.9639	158.1908	Micronesia	Mic1
QG5655	K	QG5655	6.9639	158.1907	Micronesia	Mic1
ECA1447	L	ECA1447	19.8552394	-155.1527495	Hawaii	Hw2
ECA1449	L	ECA1449	19.8552394	-155.1527495	Hawaii	Hw2
ECA1451	L	ECA1451	19.8552394	-155.1527495	Hawaii	Hw2
ECA1453	L	ECA1453	19.854497	-155.15326	Hawaii	Hw2
ECA806	L	ECA806	20.813647	-156.118573	Hawaii	Af
JU1373	L	JU1373	-21.0473	55.6885	Africa	Af
JU1374	L	JU1374	-21.0484	55.6878	Africa	Af
JU1800	L	JU1800	-21.0471	55.6887	Africa	Af
NIC1526	L	NIC1526	-16.755721	49.99665	Africa	Af
NIC1531	L	NIC1531	-16.755873	49.996516	Africa	Af
NIC1534	L	NIC1534	-17.088793	49.827329	Africa	Af
ECA1445	L	ECA1445	19.8552394	-155.1527495	Hawaii	Hw2
NIC1121	M	NIC1121	-12.87416004	-69.49736402	South America	LAC
NIC1132	M	NIC1132	-12.87564397	-69.49700503	South America	LAC
