samples	cluster	strain	lat	long	geo	Lineage
ECA1518	A	ECA1518	21.39774444	-157.8914889	Hawaii	Hw1
ECA800	A	ECA800	20.78352803	-156.0650423	Hawaii	Hw1
ECA801	A	ECA801	20.78352803	-156.0650423	Hawaii	Hw1
ECA802	A	ECA802	20.78352803	-156.0650423	Hawaii	Hw1
ECA803	A	ECA803	20.78352803	-156.0650423	Hawaii	Hw1
ECA804	A	ECA804	20.807406	-156.096654	Hawaii	Hw1
ECA805	A	ECA805	20.807406	-156.096654	Hawaii	Hw1
ECA1306	A	ECA1306	21.34293	-157.8239	Hawaii	Hw1
ECA1309	A	ECA1309	21.34293	-157.8239	Hawaii	Hw1
ECA1310	A	ECA1310	21.34293	-157.8239	Hawaii	Hw1
ECA1481	A	ECA1481	21.39448889	-157.9002278	Hawaii	Hw1
ECA1579	A	ECA1579	21.317253	-157.81937	Hawaii	Hw1
ECA1581	A	ECA1581	21.317253	-157.81937	Hawaii	Hw1
ECA1583	A	ECA1583	21.317253	-157.81937	Hawaii	Hw1
ECA1585	A	ECA1585	21.317253	-157.81937	Hawaii	Hw1
ECA1599	A	ECA1599	21.394489	-157.90023	Hawaii	Hw1
ECA1603	A	ECA1603	21.39578611	-157.9005111	Hawaii	Hw1
ECA2898	A	ECA2898	21.355658	-157.7645652	Hawaii	Hw1
ECA2899	A	ECA2899	21.355658	-157.7645652	Hawaii	Hw1
ECA2910	A	ECA2910	21.355658	-157.7645652	Hawaii	Hw1
ECA2920	A	ECA2920	21.355658	-157.7645652	Hawaii	Hw1
ECA2087	A	ECA2087	21.394489	-157.90023	Hawaii	Hw1
ECA2900	A	ECA2900	21.355658	-157.7645652	Hawaii	Hw1
NIC1656	AA	NIC1656	25.02814	121.74912	Taiwan	Tw3
NIC1657	AA	NIC1657	25.02814	121.74912	Taiwan	Tw3
QG4671	AB	QG4671	6.9639	158.1908	Micronesia	Mic
QG4702	AB	QG4702	6.8569	158.2207	Micronesia	Mic
QG4713	AB	QG4713	6.9674	158.1904	Micronesia	Mic
QG4739	AB	QG4739	6.9066	158.1818	Micronesia	Mic
QG4759	AB	QG4759	6.9066	158.1818	Micronesia	Mic
QG4780	AB	QG4780	6.9066	158.1818	Micronesia	Mic
QG4817	AB	QG4817	6.8569	158.2207	Micronesia	Mic
QG4824	AB	QG4824	6.8569	158.2207	Micronesia	Mic
QG4866	AB	QG4866	6.8567	158.2225	Micronesia	Mic
QG5104	AB	QG5104	6.9066	158.1818	Micronesia	Mic
QG5602	AB	QG5602	6.9639	158.1908	Micronesia	Mic
QG5638	AB	QG5638	6.9639	158.1908	Micronesia	Mic
QG5654	AB	QG5654	6.8569	158.2207	Micronesia	Mic
QG4741	AB	QG4741	6.8538	158.2157	Micronesia	Mic
QG4891	AB	QG4891	6.8567	158.2225	Micronesia	Mic
QG4653	AB	QG4653	6.9639	158.1907	Micronesia	Mic
QG4897	AB	QG4897	6.8567	158.2225	Micronesia	Mic
QG5655	AB	QG5655	6.9639	158.1907	Micronesia	Mic
QG4659	AB	QG4659	6.8567	158.2225	Micronesia	Mic
QG4867	AB	QG4867	6.8567	158.2225	Micronesia	Mic
QG5510	AB	QG5510	6.9639	158.1907	Micronesia	Mic
NIC1121	B	NIC1121	-12.87416004	-69.49736402	South America	LAC
NIC1132	B	NIC1132	-12.87564397	-69.49700503	South America	LAC
NIC1136	B	NIC1136	-12.872141	-69.49788203	South America	LAC
NIC1145	B	NIC1145	-12.87499001	-69.49504701	South America	LAC
NIC1161	B	NIC1161	-12.87576098	-69.496324	South America	LAC
NIC1164	B	NIC1164	-12.87692699	-69.49483403	South America	LAC
QG3521	B	QG3521	10.42643333	-84.01193333	Central America	LAC
QG3535	B	QG3535	10.43792	-84.01132	Central America	LAC
QG3811	B	QG3811	10.43288	-84.00678	Central America	LAC
QG3839	B	QG3839	10.43792	-84.01132	Central America	LAC
NIC1140	C	NIC1140	-12.87255297	-69.49927501	South America	LAC
NIC1144	C	NIC1144	-12.87499001	-69.49504701	South America	LAC
NIC1146	C	NIC1146	-12.875765	-69.49353903	South America	LAC
NIC1149	C	NIC1149	-12.87644897	-69.49256002	South America	LAC
NIC1150	C	NIC1150	-12.87688499	-69.49274903	South America	LAC
NIC1151	C	NIC1151	-12.87644704	-69.49407396	South America	LAC
NIC1152	C	NIC1152	-12.87629499	-69.49540299	South America	LAC
NIC1153	C	NIC1153	-12.87629499	-69.49540299	South America	LAC
NIC1160	C	NIC1160	-12.875118	-69.49683102	South America	LAC
NIC1168	C	NIC1168	-12.87918197	-69.49254099	South America	LAC
NIC1176	C	NIC1176	-12.88127099	-69.49013798	South America	LAC
NIC1179	C	NIC1179	-12.882596	-69.48865003	South America	LAC
NIC1180	C	NIC1180	-12.88253004	-69.48824904	South America	LAC
NIC1175	C	NIC1175	-12.88087302	-69.49066697	South America	LAC
NIC1167	C	NIC1167	-12.87739897	-69.49448098	South America	LAC
NIC1169	C	NIC1169	-12.87919999	-69.49226297	South America	LAC
NIC1147	C	NIC1147	-12.87586299	-69.49340601	South America	LAC
NIC1543	D	NIC1543	25.05704	121.77109	Taiwan	Tw3
NIC1547	D	NIC1547	25.05343	121.77265	Taiwan	Tw3
NIC1556	D	NIC1556	25.02132	121.73295	Taiwan	Tw2
NIC1559	D	NIC1559	25.01519	121.73311	Taiwan	Tw3
NIC1560	D	NIC1560	25.01519	121.73311	Taiwan	Tw2
NIC1694	D	NIC1694	25.02177	121.58537	Taiwan	Tw2
TWN2103	D	TWN2103	25.16666667	121.5166667	Taiwan	Tw2
BRC20400	D	BRC20400	25.016672	121.557423	Taiwan	Tw3
NIC1653	D	NIC1653	25.02814	121.74912	Taiwan	Tw3
NIC1005	E	NIC1005	4.03896	-52.66843	South America	LAC
NIC1012	E	NIC1012	4.03793	-52.67185	South America	LAC
NIC1016	E	NIC1016	4.03793	-52.67185	South America	LAC
NIC1033	E	NIC1033	4.03724	-52.67196	South America	LAC
NIC1384	E	NIC1384	4.047968974	-52.67714404	South America	LAC
NIC2361	E	NIC2361	4.038404971	-52.677023	South America	LAC
NIC2371	E	NIC2371	4.042387968	-52.67838799	South America	LAC
NIC382	E	NIC382	4.03801	-52.67711	South America	LAC
NIC396	E	NIC396	4.03893	-52.67352	South America	LAC
NIC416	E	NIC416	4.03714	-52.67109	South America	LAC
NIC926	E	NIC926	4.03837	-52.67075	South America	LAC
NIC947	E	NIC947	4.03997	-52.67496	South America	LAC
NIC956	E	NIC956	4.0401	-52.67504	South America	LAC
NIC961	E	NIC961	4.03726	-52.67143	South America	LAC
NIC962	E	NIC962	4.03875	-52.6677	South America	LAC
NIC964	E	NIC964	4.03701	-52.67172	South America	LAC
NIC965	E	NIC965	4.03701	-52.67172	South America	LAC
NIC970	E	NIC970	4.03085	-52.68408	South America	LAC
NIC972	E	NIC972	4.03701	-52.67172	South America	LAC
NIC975	E	NIC975	4.03819	-52.67066	South America	LAC
NIC977	E	NIC977	4.03819	-52.67066	South America	LAC
NIC999	E	NIC999	4.03938	-52.67617	South America	LAC
NIC942	E	NIC942	4.04007	-52.67494	South America	LAC
NIC958	E	NIC958	4.03502	-52.67796	South America	LAC
NIC372	E	NIC372	4.03712	-52.67044	South America	LAC
NIC1877	F	NIC1877	14.744997	-61.092154	Caribbean	LAC
