samples	cluster	strain	lat	long	geo	Lineage
QG3545	A	QG3545	10.42361667	-84.00118611	Central America	LAC
QG3805	A	QG3805	10.42608333	-84.0092	Central America	LAC
QG3812	A	QG3812	10.42963	-84.00833	Central America	LAC
QG3873	A	QG3873	10.44027	-84.01227	Central America	LAC
QG3862	A	QG3862	10.42608333	-84.0092	Central America	LAC
QG3526	A	QG3526	10.42643333	-84.01193333	Central America	LAC
QG3797	A	QG3797	10.42974	-84.00938	Central America	LAC
QG3546	A	QG3546	10.43288	-84.00678	Central America	LAC
QG3872	A	QG3872	10.44027	-84.01227	Central America	LAC
QG1000	AA	QG1000	9.170850606	-79.84289876	Central America	LAC
QG1004	AA	QG1004	9.164456	-79.844623	Central America	LAC
QG3010	AA	QG3010	9.159966667	-79.84096667	Central America	LAC
QG3011	AA	QG3011	9.159966667	-79.84096667	Central America	LAC
QG3013	AA	QG3013	9.159766667	-79.841	Central America	LAC
QG3038	AA	QG3038	9.164533333	-79.84156667	Central America	LAC
QG834	AA	QG834	9.15385	-79.83077	Central America	LAC
QG836	AA	QG836	9.15447	-79.82758	Central America	LAC
QG845	AA	QG845	9.15443	-79.82735	Central America	LAC
QG846	AA	QG846	9.15443	-79.82735	Central America	LAC
QG921	AA	QG921	9.164456	-79.844623	Central America	LAC
QG935	AA	QG935	9.159499	-79.838839	Central America	LAC
QG987	AA	QG987	9.147419	-79.85312	Central America	LAC
QG2770	AA	QG2770	9.1576	-79.83393333	Central America	LAC
QG3055	AA	QG3055	9.16484	-79.83659	Central America	LAC
QG852	AA	QG852	9.15443	-79.82735	Central America	LAC
QG2724	AA	QG2724	9.1598	-79.8399	Central America	LAC
QG3064	AA	QG3064	9.16092	-79.84046	Central America	LAC
QG3008	AA	QG3008	9.16005	-79.841	Central America	LAC
QG841	AA	QG841	9.161421	-79.837195	Central America	LAC
QG3037	AA	QG3037	9.164533333	-79.84156667	Central America	LAC
JU1870	AB	JU1870	4.082883	-52.679783	South America	LAC
NIC1252	AB	NIC1252	4.085349999	-52.68294297	South America	LAC
NIC444	AB	NIC444	4.08422	-52.67452	South America	LAC
NIC129	B	NIC129	16.0207	-61.597	Caribbean	LAC
NIC1846	B	NIC1846	13.1938	-59.637	Caribbean	LAC
NIC1851	B	NIC1851	14.72499	-61.105335	Caribbean	LAC
