samples	cluster	strain	lat	long	geo	Lineage
JU1836	A	JU1836	4.087883	-52.680033	South America	LAC
JU1848	A	JU1848	4.090933	-52.674933	South America	LAC
JU1871	A	JU1871	4.082883	-52.679783	South America	LAC
NIC1354	A	NIC1354	4.071575012	-52.68970096	South America	LAC
NIC1470	A	NIC1470	4.090107987	-52.68292302	South America	LAC
NIC1514	A	NIC1514	4.085349999	-52.68294297	South America	LAC
NIC286	A	NIC286	4.08808	-52.67976	South America	LAC
NIC291	A	NIC291	4.092299	-52.675813	South America	LAC
NIC294	A	NIC294	4.09492	-52.68604	South America	LAC
NIC445	A	NIC445	4.08558	-52.67682	South America	LAC
NIC475	A	NIC475	4.08631	-52.67243	South America	LAC
NIC491	A	NIC491	4.08507	-52.68325	South America	LAC
NIC91	A	NIC91	4.08747	-52.67394	South America	LAC
NIC1438	A	NIC1438	4.08830001	-52.68124396	South America	LAC
QG4781	AA	QG4781	6.9174	158.2615	Micronesia	Mic2
QG5161	AA	QG5161	6.9066	158.1818	Micronesia	Mic2
QG5364	AA	QG5364	6.9169	158.2622	Micronesia	Mic2
QG5405	AA	QG5405	6.9066	158.1818	Micronesia	Mic2
QG5502	AA	QG5502	6.9174	158.2615	Micronesia	Mic2
QG5503	AA	QG5503	6.9174	158.2615	Micronesia	Mic2
QG5576	AA	QG5576	6.9181	158.2619	Micronesia	Mic2
QG5650	AA	QG5650	6.9181	158.2619	Micronesia	Mic2
QG5550	AA	QG5550	6.9171	158.2622	Micronesia	Mic2
QG5552	AA	QG5552	6.9171	158.2622	Micronesia	Mic2
QG5365	AA	QG5365	6.9169	158.2622	Micronesia	Mic2
QG5588	AA	QG5588	6.9066	158.1818	Micronesia	Mic2
QG4754	AA	QG4754	6.9169	158.2622	Micronesia	Mic2
QG5366	AA	QG5366	6.9169	158.2622	Micronesia	Mic2
QG4779	AA	QG4779	6.9171	158.2622	Micronesia	Mic2
QG5629	AA	QG5629	6.9169	158.2622	Micronesia	Mic2
QG5551	AA	QG5551	6.9171	158.2622	Micronesia	Mic2
QG5628	AA	QG5628	6.9171	158.2622	Micronesia	Mic2
NIC1000	AB	NIC1000	4.0391	-52.6675	South America	LAC
NIC1293	AB	NIC1293	3.644524002	-53.19812902	South America	LAC
NIC1301	AB	NIC1301	3.620189996	-53.20809804	South America	LAC
NIC1305	AB	NIC1305	3.614802025	-53.19812601	South America	LAC
NIC1337	AB	NIC1337	4.048613962	-52.676549	South America	LAC
NIC1411	AB	NIC1411	3.596770959	-53.17791598	South America	LAC
NIC1420	AB	NIC1420	3.603495006	-53.19458197	South America	LAC
NIC2364	AB	NIC2364	4.035310037	-52.67778299	South America	LAC
NIC344	AB	NIC344	5.41063	-53.6564	South America	LAC
NIC350	AB	NIC350	4.0903	-52.6842	South America	LAC
NIC387	AB	NIC387	4.03671	-52.67728	South America	LAC
NIC422	AB	NIC422	4.03943	-52.67587	South America	LAC
NIC909	AB	NIC909	4.03955	-52.67374	South America	LAC
NIC927	AB	NIC927	4.04213	-52.68083	South America	LAC
NIC948	AB	NIC948	4.03711	-52.67206	South America	LAC
NIC959	AB	NIC959	4.03201	-52.68039	South America	LAC
NIC980	AB	NIC980	4.03822	-52.67031	South America	LAC
QG1000	B	QG1000	9.170850606	-79.84289876	Central America	LAC
QG2724	B	QG2724	9.1598	-79.8399	Central America	LAC
QG2770	B	QG2770	9.1576	-79.83393333	Central America	LAC
QG3008	B	QG3008	9.16005	-79.841	Central America	LAC
QG3010	B	QG3010	9.159966667	-79.84096667	Central America	LAC
QG3013	B	QG3013	9.159766667	-79.841	Central America	LAC
QG3037	B	QG3037	9.164533333	-79.84156667	Central America	LAC
QG3038	B	QG3038	9.164533333	-79.84156667	Central America	LAC
QG3064	B	QG3064	9.16092	-79.84046	Central America	LAC
QG834	B	QG834	9.15385	-79.83077	Central America	LAC
QG836	B	QG836	9.15447	-79.82758	Central America	LAC
QG841	B	QG841	9.161421	-79.837195	Central America	LAC
QG845	B	QG845	9.15443	-79.82735	Central America	LAC
QG846	B	QG846	9.15443	-79.82735	Central America	LAC
QG935	B	QG935	9.159499	-79.838839	Central America	LAC
QG987	B	QG987	9.147419	-79.85312	Central America	LAC
QG852	B	QG852	9.15443	-79.82735	Central America	LAC
QG1004	B	QG1004	9.164456	-79.844623	Central America	LAC
QG921	B	QG921	9.164456	-79.844623	Central America	LAC
QG3055	B	QG3055	9.16484	-79.83659	Central America	LAC
QG3011	B	QG3011	9.159966667	-79.84096667	Central America	LAC
BRC20400	C	BRC20400	25.016672	121.557423	Taiwan	Tw3
NIC1559	C	NIC1559	25.01519	121.73311	Taiwan	Tw3
NIC1547	C	NIC1547	25.05343	121.77265	Taiwan	Tw3
NIC1653	C	NIC1653	25.02814	121.74912	Taiwan	Tw3
NIC1543	C	NIC1543	25.05704	121.77109	Taiwan	Tw3
JU1428	D	JU1428	4.08	-52.68	South America	LAC
