samples	cluster	strain	lat	long	geo	Lineage
ECA2909	A	ECA2909	19.11058638	-155.8263837	Hawaii	HC
ECA2954	A	ECA2954	22.0638967	-159.3522759	Hawaii	HC
ECA2955	A	ECA2955	22.0638967	-159.3522759	Hawaii	HC
ECA2976	A	ECA2976	22.0638967	-159.3522759	Hawaii	HC
ECA3053	A	ECA3053	20.0389764	-155.4399684	Hawaii	HC
ECA791	A	ECA791	22.193317	-159.478956	Hawaii	HC
ECA792	A	ECA792	22.193317	-159.478956	Hawaii	HC
ECA793	A	ECA793	22.194578	-159.478478	Hawaii	HC
NIC192	A	NIC192	16.0459	-61.6262	Caribbean	HC
NIC122	A	NIC122	16.1779	-61.6563	Caribbean	HC
ECA796	A	ECA796	19.905167	-155.139322	Hawaii	HC
NIC1144	AA	NIC1144	-12.87499001	-69.49504701	South America	LAC
NIC1147	AA	NIC1147	-12.87586299	-69.49340601	South America	LAC
NIC1150	AA	NIC1150	-12.87688499	-69.49274903	South America	LAC
NIC1160	AA	NIC1160	-12.875118	-69.49683102	South America	LAC
NIC1167	AA	NIC1167	-12.87739897	-69.49448098	South America	LAC
NIC1175	AA	NIC1175	-12.88087302	-69.49066697	South America	LAC
NIC1176	AA	NIC1176	-12.88127099	-69.49013798	South America	LAC
NIC1179	AA	NIC1179	-12.882596	-69.48865003	South America	LAC
NIC1146	AA	NIC1146	-12.875765	-69.49353903	South America	LAC
NIC1151	AA	NIC1151	-12.87644704	-69.49407396	South America	LAC
NIC1149	AA	NIC1149	-12.87644897	-69.49256002	South America	LAC
NIC1169	AA	NIC1169	-12.87919999	-69.49226297	South America	LAC
NIC1140	AA	NIC1140	-12.87255297	-69.49927501	South America	LAC
NIC1153	AA	NIC1153	-12.87629499	-69.49540299	South America	LAC
NIC1180	AA	NIC1180	-12.88253004	-69.48824904	South America	LAC
NIC1168	AA	NIC1168	-12.87918197	-69.49254099	South America	LAC
NIC1862	AB	NIC1862	14.843986	-61.214646	Caribbean	LAC
JU1870	B	JU1870	4.082883	-52.679783	South America	LAC
NIC1252	B	NIC1252	4.085349999	-52.68294297	South America	LAC
NIC458	B	NIC458	4.08141	-52.68219	South America	LAC
