samples	cluster	strain	lat	long	geo	Lineage
NIC1556	A	NIC1556	25.02132	121.73295	Taiwan	Tw2
NIC1560	A	NIC1560	25.01519	121.73311	Taiwan	Tw2
NIC1694	A	NIC1694	25.02177	121.58537	Taiwan	Tw2
NIC894	A	NIC894	22.01967	121.57357	Taiwan	Tw4
NIC895	A	NIC895	22.01967	121.57357	Taiwan	Tw4
NIC898	A	NIC898	22.01967	121.57357	Taiwan	Tw4
QG4671	A	QG4671	6.9639	158.1908	Micronesia	Mic
QG4713	A	QG4713	6.9674	158.1904	Micronesia	Mic
QG4741	A	QG4741	6.8538	158.2157	Micronesia	Mic
QG5602	A	QG5602	6.9639	158.1908	Micronesia	Mic
QG5638	A	QG5638	6.9639	158.1908	Micronesia	Mic
QG4891	A	QG4891	6.8567	158.2225	Micronesia	Mic
QG4702	A	QG4702	6.8569	158.2207	Micronesia	Mic
QG4817	A	QG4817	6.8569	158.2207	Micronesia	Mic
QG5655	A	QG5655	6.9639	158.1907	Micronesia	Mic
QG4867	A	QG4867	6.8567	158.2225	Micronesia	Mic
QG4897	A	QG4897	6.8567	158.2225	Micronesia	Mic
QG4653	A	QG4653	6.9639	158.1907	Micronesia	Mic
QG5510	A	QG5510	6.9639	158.1907	Micronesia	Mic
TWN2103	A	TWN2103	25.16666667	121.5166667	Taiwan	Tw2
QG4659	A	QG4659	6.8567	158.2225	Micronesia	Mic
QG4824	A	QG4824	6.8569	158.2207	Micronesia	Mic
QG5654	A	QG5654	6.8569	158.2207	Micronesia	Mic
QG4629	AA	QG4629	6.8679	158.1784	Micronesia	Mic
QG4695	AA	QG4695	6.8648	158.1774	Micronesia	Mic
QG4696	AA	QG4696	6.9668	158.1916	Micronesia	Mic
QG4714	AA	QG4714	6.8577	158.2157	Micronesia	Mic
QG4730	AA	QG4730	6.9196	158.2631	Micronesia	Mic
QG4894	AA	QG4894	6.9196	158.2631	Micronesia	Mic
QG4904	AA	QG4904	6.9196	158.2631	Micronesia	Mic
QG5159	AA	QG5159	6.918	158.2617	Micronesia	Mic
QG5160	AA	QG5160	6.918	158.2617	Micronesia	Mic
QG5262	AA	QG5262	6.8648	158.1774	Micronesia	Mic
QG5643	AA	QG5643	6.9179	158.2617	Micronesia	Mic
QG5652	AA	QG5652	6.918	158.2617	Micronesia	Mic
QG4669	AA	QG4669	6.9684	158.1899	Micronesia	Mic
QG5237	AA	QG5237	6.8632	158.1746	Micronesia	Mic
QG5256	AA	QG5256	6.8632	158.1746	Micronesia	Mic
QG4878	AA	QG4878	6.8632	158.1746	Micronesia	Mic
QG5220	AA	QG5220	6.8632	158.1746	Micronesia	Mic
