"sample","lineage"
"NIC1257","LAC"
"NIC193","LAC"
"NIC249","LAC"
"NIC1355","LAC"
"NIC413","LAC"
"NIC1386","LAC"
"JU1849","LAC"
"NIC51","LAC"
"NIC1389","LAC"
"NIC1272","LAC"
"NIC1275","LAC"
"NIC1278","LAC"
"NIC1410","LAC"
"NIC929","LAC"
"NIC312","LAC"
"NIC925","LAC"
"NIC2362","LAC"
"NIC1393","LAC"
"NIC2373","LAC"
"NIC907","LAC"
"NIC2355","LAC"
"NIC489","LAC"
"NIC384","LAC"
"NIC1430","LAC"
"NIC469","LAC"
"NIC359","LAC"
"NIC444","LAC"
"NIC354","LAC"
"JU1870","LAC"
"NIC1252","LAC"
"NIC496","LAC"
"NIC85","LAC"
"NIC1290","LAC"
"NIC443","LAC"
"NIC56","LAC"
"NIC458","LAC"
"NIC55","LAC"
"NIC57","LAC"
"NIC387","LAC"
"NIC933","LAC"
"NIC909","LAC"
"NIC422","LAC"
"NIC927","LAC"
"NIC393","LAC"
"NIC1328","LAC"
"NIC955","LAC"
"NIC1382","LAC"
"NIC934","LAC"
"NIC1163","LAC"
"NIC1126","LAC"
"NIC1192","LAC"
"NIC1150","LAC"
"NIC1176","LAC"
"NIC1160","LAC"
"NIC1169","LAC"
"NIC1147","LAC"
"NIC1153","LAC"
"NIC1167","LAC"
"NIC1168","LAC"
"NIC1175","LAC"
"NIC1180","LAC"
"NIC1146","LAC"
"NIC1151","LAC"
"NIC1149","LAC"
"NIC1144","LAC"
"NIC1142","LAC"
"NIC1116","LAC"
"NIC1152","LAC"
"NIC1179","LAC"
"NIC1140","LAC"
"NIC203","LAC"
"QG3850","LAC"
"NIC1181","LAC"
"NIC1341","LAC"
"QG800","LAC"
"QG3793","LAC"
"NIC2375","LAC"
"NIC1432","LAC"
"NIC999","LAC"
"NIC2363","LAC"
"NIC942","LAC"
"NIC1384","LAC"
"NIC972","LAC"
"NIC2371","LAC"
"NIC958","LAC"
"NIC1033","LAC"
"NIC1005","LAC"
"NIC962","LAC"
"NIC975","LAC"
"NIC977","LAC"
"NIC1338","LAC"
"NIC989","LAC"
"NIC983","LAC"
"NIC939","LAC"
"NIC941","LAC"
"NIC2364","LAC"
"NIC2360","LAC"
"NIC917","LAC"
"NIC2366","LAC"
"NIC2367","LAC"
"NIC2365","LAC"
"NIC2368","LAC"
"NIC2357","LAC"
"NIC1425","LAC"
"NIC916","LAC"
"NIC1383","LAC"
"QG3024","LAC"
"QG3546","LAC"
"QG3812","LAC"
"QG3873","LAC"
"QG3824","LAC"
"QG3862","LAC"
"QG3805","LAC"
"QG3526","LAC"
"NIC363","LAC"
"NIC417","LAC"
"NIC1433","LAC"
"NIC1376","LAC"
"NIC94","LAC"
"NIC459","LAC"
"NIC1476","LAC"
"JU1975","LAC"
"NIC1344","LAC"
"QG3789","LAC"
"NIC479","LAC"
"NIC903","LAC"
"NIC1478","LAC"
"NIC1359","LAC"
"NIC441","LAC"
"NIC1354","LAC"
"NIC284","LAC"
"NIC294","LAC"
"JU1850","LAC"
"JU1821","LAC"
"JU1851","LAC"
"NIC445","LAC"
