samples	cluster	strain	lat	long	geo	Lineage
NIC1846	A	NIC1846	13.1938	-59.637	Caribbean	LAC
NIC535	A	NIC535	15.23686	-61.34787	Caribbean	LAC
NIC589	A	NIC589	15.40528	-61.34618	Caribbean	LAC
NIC591	A	NIC591	15.40585	-61.34613	Caribbean	LAC
NIC746	A	NIC746	15.31929	-61.30588	Caribbean	LAC
NIC124	A	NIC124	16.0435	-61.643	Caribbean	LAC
NIC129	A	NIC129	16.0207	-61.597	Caribbean	LAC
NIC1912	A	NIC1912	14.724882	-61.105406	Caribbean	LAC
NIC540	A	NIC540	15.23686	-61.34787	Caribbean	LAC
BRC20400	AA	BRC20400	25.016672	121.557423	Taiwan	Tw3
NIC1543	AA	NIC1543	25.05704	121.77109	Taiwan	Tw3
NIC1559	AA	NIC1559	25.01519	121.73311	Taiwan	Tw3
QG4653	AA	QG4653	6.9639	158.1907	Micronesia	Mic1
QG4741	AA	QG4741	6.8538	158.2157	Micronesia	Mic1
QG4897	AA	QG4897	6.8567	158.2225	Micronesia	Mic1
QG4891	AA	QG4891	6.8567	158.2225	Micronesia	Mic1
NIC1547	AA	NIC1547	25.05343	121.77265	Taiwan	Tw3
QG4866	AA	QG4866	6.8567	158.2225	Micronesia	Mic1
QG4867	AA	QG4867	6.8567	158.2225	Micronesia	Mic1
QG5510	AA	QG5510	6.9639	158.1907	Micronesia	Mic1
NIC1653	AA	NIC1653	25.02814	121.74912	Taiwan	Tw3
QG4659	AA	QG4659	6.8567	158.2225	Micronesia	Mic1
QG4817	AA	QG4817	6.8569	158.2207	Micronesia	Mic1
QG5654	AA	QG5654	6.8569	158.2207	Micronesia	Mic1
QG4702	AA	QG4702	6.8569	158.2207	Micronesia	Mic1
QG5638	AA	QG5638	6.9639	158.1908	Micronesia	Mic1
QG4824	AA	QG4824	6.8569	158.2207	Micronesia	Mic1
QG4671	AA	QG4671	6.9639	158.1908	Micronesia	Mic1
QG4713	AA	QG4713	6.9674	158.1904	Micronesia	Mic1
QG4759	AA	QG4759	6.9066	158.1818	Micronesia	Mic1
QG5602	AA	QG5602	6.9639	158.1908	Micronesia	Mic1
QG5655	AA	QG5655	6.9639	158.1907	Micronesia	Mic1
QG4739	AA	QG4739	6.9066	158.1818	Micronesia	Mic1
